Order Number,Item,Pinyin,Frequency
189,的 样子,de   yang4 zi,148
451,椅子 上,yi3 zi   shang4,83
740,的 桌子,de   zhuo1 zi,59
743,的 箱子,de   xiang1 zi,59
744,脑子 里,nao3 zi   li3,59
746,的 鼻子,de   bi2 zi,59
956,桌子 上,zhuo1 zi   shang4,51
997,的 儿子,de   er2 zi,49
1101,箱子 里,xiang1 zi   li3,46
1152,的 孩子,de   hai2 zi,44
1204,桌子 旁,zhuo1 zi   pang2,43
1439,把 椅子,ba3   yi3 zi,38
1455,的 脖子,de   bo2 zi,37
1594,着 身子,zhe   shen1 zi,35
1633,的 椅子,de   yi3 zi,34
1748,的 笼子,de   long2 zi,32
1789,的 影子,de   ying3 zi,31
1807,张 桌子,zhang1   zhuo1 zi,31
1971,在 桌子,zai4   zhuo1 zi,29
2021,的 帽子,de   mao4 zi,28
2246,的 盘子,de   pan2 zi,26
2302,镜子 里,jing4 zi   li3,26
2346,的 日子,de   ri4 zi,25
2366,教工 桌子,jiao4 gong1   zhuo1 zi,25
2469,着 嗓子,zhe   sang3 zi,24
2480,脖子 上,bo2 zi   shang4,24
2578,一下子 就,yi1 xia4 zi   jiu4,23
2638,一 把 椅子,yi1   ba3   yi3 zi,23
2903,的 房子,de   fang2 zi,21
2974,房子 里,fang2 zi   li3,21
3236,在 箱子,zai4   xiang1 zi,20
3324,的 椅子 上,de   yi3 zi   shang4,19
3377,凳子 上,deng4 zi   shang4,19
3398,笼子 里,long2 zi   li3,19
3436,的 脑子,de   nao3 zi,19
3487,的 袜子,de   wa4 zi,19
3528,的 袍子,de   pao2 zi,18
3581,了 清嗓子,le   qing1 sang3 zi,18
3619,从 椅子,cong2   yi3 zi,18
3671,狐 猸子,hu2   mei2 zi,18
3734,海德薇 的 笼子,hai3 de2 wei1   de   long2 zi,18
3735,盘子 里,pan2 zi   li3,18
3779,起 身子,qi3   shen1 zi,17
3811,桌子 底下,zhuo1 zi   di3 xia4,17
3864,的 胡子,de   hu2 zi,17
3920,的 绳子,de   sheng2 zi,17
3994,清 了 清嗓子,qing1   le   qing1 sang3 zi,17
4073,着 箱子,zhe   xiang1 zi,16
4220,把 椅子 上,ba3   yi3 zi   shang4,16
4227,一 张 桌子,yi1   zhang1   zhuo1 zi,16
4404,着 桌子,zhe   zhuo1 zi,15
4477,在 椅子,zai4   yi3 zi,15
4937,从 椅子 上,cong2   yi3 zi   shang4,14
4940,侧 着 身子,ce4   zhe   shen1 zi,14
5003,个 孩子,ge4   hai2 zi,14
5136,的 妻子,de   qi1 zi3,14
5149,的 桌子 上,de   zhuo1 zi   shang4,14
5156,这 辈子,zhe4   bei4 zi,14
5174,一 把 椅子 上,yi1   ba3   yi3 zi   shang4,14
5248,村子 里,cun1 zi   li3,13
5339,的 桌子 旁,de   zhuo1 zi   pang2,13
5355,袍子 里,pao2 zi   li3,13
5508,尖头 叉子,jian1 tou2   cha1 zi,13
5555,这 孩子,zhe4   hai2 zi,13
5578,这些 日子,zhe4 xie1   ri4 zi,13
5875,空 椅子,kong1   yi3 zi,12
6021,从 桌子,cong2   zhuo1 zi,12
6139,面 镜子,mian4   jing4 zi,12
