Order Number,Item,Pinyin,Frequency
160,的 名字,de   ming2 zi4,163
1100,个 字,ge4   zi4,46
1864,一 个 字,yi1   ge4   zi4,30
2152,他 的 名字,ta1   de   ming2 zi4,27
2240,个 名字,ge4   ming2 zi4,26
2432,十字 车站,shi2 zi4   che1 zhan4,24
2484,国王 十字,guo2 wang2   shi2 zi4,24
2533,国王 十字 车站,guo2 wang2   shi2 zi4   che1 zhan4,24
3122,的 文字,de   wen2 zi4,20
3175,你 的 名字,ni3   de   ming2 zi4,20
3575,的 字,de   zi4,18
4327,名字 投进,ming2 zi4   tou2 jin4,16
4438,我 的 名字,wo3   de   ming2 zi4,15
4704,名字 都,ming2 zi4   dou1,15
4745,连 名字,lian2   ming2 zi4,14
4746,连 名字 都,lian2   ming2 zi4   dou1,14
4749,连 名字 都 不 能,lian2   ming2 zi4   dou1   bu4   neng2,14
4878,连 名字 都 不,lian2   ming2 zi4   dou1   bu4,14
5053,连 名字 都 不 能 提,lian2   ming2 zi4   dou1   bu4   neng2   ti2,14
5096,名字 都 不 能 提,ming2 zi4   dou1   bu4   neng2   ti2,14
5097,名字 都 不 能,ming2 zi4   dou1   bu4   neng2,14
5099,名字 都 不 能 提 的,ming2 zi4   dou1   bu4   neng2   ti2   de,14
5104,这 个 名字,zhe4   ge4   ming2 zi4,14
5150,名字 都 不,ming2 zi4   dou1   bu4,14
6782,把 你 的 名字,ba3   ni3   de   ming2 zi4,11
7071,的 名字 投进,de   ming2 zi4   tou2 jin4,11
7074,他们 的 名字,ta1 men   de   ming2 zi4,11
8630,去 国王 十字,qu4   guo2 wang2   shi2 zi4,9
8633,去 国王 十字 车站,qu4   guo2 wang2   shi2 zi4   che1 zhan4,9
8733,把 我 的 名字,ba3   wo3   de   ming2 zi4,9
9020,那个 名字,na4 ge   ming2 zi4,9
9571,说 一 个 字,shuo1   yi1   ge4   zi4,8
10226,名字 投,ming2 zi4   tou2,8
10227,名字 时,ming2 zi4   shi2,8
10498,哈利 的 名字,ha1 li4   de   ming2 zi4,8
10687,人 的 名字,ren2   de   ming2 zi4,8
10713,的 名字 时,de   ming2 zi4   shi2,8
11211,行 字,xing2   zi4,7
11236,字 的,zi4   de,7
11499,那个 连 名字,na4 ge   lian2   ming2 zi4,7
11500,那个 连 名字 都 不,na4 ge   lian2   ming2 zi4   dou1   bu4,7
11807,两 个 字,liang3   ge4   zi4,7
12192,名字 了,ming2 zi4   le,7
12196,名字 投进 火焰杯,ming2 zi4   tou2 jin4   huo3 yan4 bei1,7
12199,名字 放进,ming2 zi4   fang4 jin4,7
12228,上 签字,shang4   qian1 zi4,7
12514,那个 连 名字 都,na4 ge   lian2   ming2 zi4   dou1,7
12520,那个 连 名字 都 不 能,na4 ge   lian2   ming2 zi4   dou1   bu4   neng2,7
12699,张 字条,zhang1   zi4 tiao2,7
12792,的 名字 放进,de   ming2 zi4   fang4 jin4,7
12823,的 字母,de   zi4 mu3,7
12824,的 字样,de   zi4 yang4,7
14263,字 也,zi4   ye3,6
14756,把 名字,ba3   ming2 zi4,6
14892,个 字 也,ge4   zi4   ye3,6
15022,名字 投 进去,ming2 zi4   tou2   jin4 qu4,6
15023,名字 的,ming2 zi4   de,6
15155,一 个 字 也,yi1   ge4   zi4   ye3,6
15359,上面 的 字,shang4 mian4   de   zi4,6
15423,每 一 个 字,mei3   yi1   ge4   zi4,6
15479,再 说 一 个 字,zai4   shuo1   yi1   ge4   zi4,6
15825,的 名字 投,de   ming2 zi4   tou2,6
16742,一 字,yi1   zi4,5
17092,表 上 签字,biao3   shang4   qian1 zi4,5
17247,一 个 名字,yi1   ge4   ming2 zi4,5
18122,几 个 字,ji3   ge4   zi4,5
18628,十字 车站 的,shi2 zi4   che1 zhan4   de,5
19342,名字 叫,ming2 zi4   jiao4,5
20433,国王 十字 车站 的,guo2 wang2   shi2 zi4   che1 zhan4   de,5
20523,的 名字 投 进去,de   ming2 zi4   tou2   jin4 qu4,5
20525,的 名字 投进 火焰杯,de   ming2 zi4   tou2 jin4   huo3 yan4 bei1,5
20684,的 每 一 个 字,de   mei3   yi1   ge4   zi4,5
