Order Number,Item,Pinyin,Frequency
1256,孪生 兄弟,luan2 sheng1   xiong1 di4,41
5756,韦斯莱 孪生 兄弟,wei2 si1 lai2   luan2 sheng1   xiong1 di4,13
5759,韦斯莱 孪生,wei2 si1 lai2   luan2 sheng1,13
7474,孪生 兄弟 中,luan2 sheng1   xiong1 di4   zhong1,10
9548,孪生 兄弟 中 的,luan2 sheng1   xiong1 di4   zhong1   de,8
11308,对 孪生,dui4   luan2 sheng1,7
13704,对 孪生 兄弟,dui4   luan2 sheng1   xiong1 di4,6
17205,孪生 兄弟 中 的 一 个,luan2 sheng1   xiong1 di4   zhong1   de   yi1   ge4,5
17210,孪生 兄弟 中 的 一,luan2 sheng1   xiong1 di4   zhong1   de   yi1,5
20580,的 孪生,de   luan2 sheng1,5
20584,的 孪生 兄弟,de   luan2 sheng1   xiong1 di4,5
