Order Number,Item,Pinyin,Frequency
693,肯定 是,ken3 ding4   shi4,62
824,一定 是,yi2 ding4   shi4,56
834,肯定 会,ken3 ding4   hui4,55
1711,他 肯定,ta1   ken3 ding4,32
1760,一定 要,yi2 ding4   yao4,32
1949,肯定 不,ken3 ding4   bu4,29
2175,一定 会,yi2 ding4   hui4,27
2388,可以 肯定,ke3 yi3   ken3 ding4,25
3479,你 一定,ni3   yi2 ding4,19
3849,你 肯定,ni3   ken3 ding4,17
3887,能 肯定,neng2   ken3 ding4,17
4329,他们 肯定,ta1 men   ken3 ding4,16
4463,肯定 也,ken3 ding4   ye3,15
4832,他 一定,ta1   yi2 ding4,14
5021,敢 肯定,gan3   ken3 ding4,14
5244,肯定 有,ken3 ding4   you3,13
5933,肯定 很,ken3 ding4   hen3,12
6012,我 一定,wo3   yi2 ding4,12
6537,一定 很,yi2 ding4   hen3,11
6603,她 肯定,ta1   ken3 ding4,11
6940,哈利 可以 肯定,ha1 li4   ke3 yi3   ken3 ding4,11
7404,肯定 要,ken3 ding4   yao4,10
7926,不 一定,bu4   yi2 ding4,10
8410,肯定 地,ken3 ding4   di4,9
8413,肯定 会 被,ken3 ding4   hui4   bei4,9
8708,打定 主意,da3 ding4   zhu3 yi4,9
9557,一定 是 在,yi2 ding4   shi4   zai4,8
9982,我 敢 肯定,wo3   gan3   ken3 ding4,8
10984,坚定 地,jian1 ding4   di4,7
11135,她 一定,ta1   yi2 ding4,7
11145,肯定 不 是,ken3 ding4   bu4   shi4,7
11146,肯定 不 会,ken3 ding4   bu4   hui4,7
11148,肯定 这,ken3 ding4   zhe4,7
11355,不 能 肯定,bu4   neng2   ken3 ding4,7
11553,你 能 肯定,ni3   neng2   ken3 ding4,7
11892,我们 一定,wo3 men   yi2 ding4,7
12270,这 肯定,zhe4   ken3 ding4,7
13467,肯定 地 说,ken3 ding4   di4   shuo1,6
13471,肯定 能,ken3 ding4   neng2,6
14337,一定 能,yi2 ding4   neng2,6
14526,我 可以 肯定,wo3   ke3 yi3   ken3 ding4,6
14594,我 肯定,wo3   ken3 ding4,6
14631,他 一定 是,ta1   yi2 ding4   shi4,6
15308,那 一定,na4   yi2 ding4,6
15320,哈利 决定,ha1 li4   jue2 ding4,6
15466,他 肯定 会,ta1   ken3 ding4   hui4,6
15468,他 肯定 是,ta1   ken3 ding4   shi4,6
15859,他们 肯定 会,ta1 men   ken3 ding4   hui4,6
16396,坚定 地 说,jian1 ding4   di4   shuo1,5
16589,不 敢 肯定,bu4   gan3   ken3 ding4,5
16882,她 一定 是,ta1   yi2 ding4   shi4,5
16909,肯定 在,ken3 ding4   zai4,5
16913,肯定 没有,ken3 ding4   mei2 you3,5
16914,肯定 是 这样,ken3 ding4   shi4   zhe4 yang4,5
16915,肯定 是 一,ken3 ding4   shi4   yi1,5
16917,肯定 已经,ken3 ding4   yi3 jing1,5
17003,自己 一定,zi4 ji3   yi2 ding4,5
17164,你们 一定,ni3 men   yi2 ding4,5
17258,它 肯定,ta1   ken3 ding4,5
17299,定 了,ding4   le,5
17515,做出 决定,zuo4 chu1   jue2 ding4,5
17639,这 一定,zhe4   yi2 ding4,5
17755,肯定 知道,ken3 ding4   zhi1 dao4,5
18644,我 决定,wo3   jue2 ding4,5
18982,他 决定,ta1   jue2 ding4,5
19112,拿定 了,na2 ding4   le,5
19113,拿定 了 主意,na2 ding4   le   zhu3 yi4,5
19114,拿定 主意,na2 ding4   zhu3 yi4,5
20029,他 肯定 不,ta1   ken3 ding4   bu4,5
20313,他们 一定,ta1 men   yi2 ding4,5
20856,的 规定,de   gui1 ding4,5
