Order Number,Item,Pinyin,Frequency
14,小 天狼星,xiao3   tian1 lang2 xing1,550
121,的 小,de   xiao3,188
190,小 精灵,xiao3   jing1 ling2,147
315,家养 小,jia1 yang3   xiao3,105
322,小 矮星,xiao3   ai3 xing1,104
329,家养 小 精灵,jia1 yang3   xiao3   jing1 ling2,102
342,小声 说,xiao3 sheng1   shuo1,100
597,个 小时,ge4   xiao3 shi2,69
676,个 小,ge4   xiao3,63
705,小 天狼星 说,xiao3   tian1 lang2 xing1   shuo1,61
859,小 天狼星 的,xiao3   tian1 lang2 xing1   de,54
987,小 天狼星 布莱克,xiao3   tian1 lang2 xing1   bu4 lai2 ke4,50
988,小小 的,xiao3 xiao3   de,49
1031,小 的,xiao3   de,48
1177,的 小屋,de   xiao3 wu1,43
1308,格兰杰 小姐,ge2 lan2 jie2   xiao3 jie3,40
1342,着 小,zhe   xiao3,39
1344,小心 地,xiao3 xin1   di4,39
1397,哈利 小声,ha1 li4   xiao3 sheng1,38
1467,一 个 小,yi1   ge4   xiao3,37
1661,一 小,yi1   xiao3,33
1674,小心翼翼 地,xiao3 xin1 yi4 yi4   di4,33
1756,海格 的 小屋,hai3 ge2   de   xiao3 wu1,32
1865,一 小时,yi1   xiao3 shi2,30
1983,很 小,hen3   xiao3,29
2013,赫敏 小声,he4 min3   xiao3 sheng1,28
2157,小 路,xiao3   lu4,27
2170,小声 问,xiao3 sheng1   wen4,27
2557,不 小心,bu4   xiao3 xin1,24
2572,的 家养 小 精灵,de   jia1 yang3   xiao3   jing1 ling2,23
2584,一 个 小时,yi1   ge4   xiao3 shi2,23
2603,了 小,le   xiao3,23
2631,是 小,shi4   xiao3,23
2722,的 家养 小,de   jia1 yang3   xiao3,23
2774,几 个 小时,ji3   ge4   xiao3 shi2,22
2837,地 小声,di4   xiao3 sheng1,22
2934,他 小声,ta1   xiao3 sheng1,21
3106,太 小,tai4   xiao3,20
3254,小 眼睛,xiao3   yan3 jing1,20
3380,最 小,zui4   xiao3,19
3514,着 小 天狼星,zhe   xiao3   tian1 lang2 xing1,18
3544,和 小,he2   xiao3,18
3554,赫敏 小声 说,he4 min3   xiao3 sheng1   shuo1,18
3701,小 姑娘,xiao3   gu1 niang2,18
3894,半 小时,ban4   xiao3 shi2,17
3909,小 克劳奇,xiao3   ke4 lao2 qi2,17
3915,小时 后,xiao3 shi2   hou4,17
3960,最 小 的,zui4   xiao3   de,17
3970,在 小,zai4   xiao3,17
4134,把 小,ba3   xiao3,16
4213,小 了,xiao3   le,16
4224,只 小,zhi3   xiao3,16
4263,小惠 金区,xiao3 hui4   jin1 qu1,16
4290,哈利 小声 说,ha1 li4   xiao3 sheng1   shuo1,16
4298,地 小声 说,di4   xiao3 sheng1   shuo1,16
4390,小声 地,xiao3 sheng1   di4,15
4455,给 小,gei3   xiao3,15
4522,家养 小精灵,jia1 yang3   xiao3 jing1 ling2,15
4534,小 精灵 的,xiao3   jing1 ling2   de,15
4743,和 小 天狼星,he2   xiao3   tian1 lang2 xing1,14
4815,了 小 天狼星,le   xiao3   tian1 lang2 xing1,14
4819,给 小 天狼星,gei3   xiao3   tian1 lang2 xing1,14
4822,小声 对,xiao3 sheng1   dui4,14
4980,小 矮星 彼得,xiao3   ai3 xing1   bi3 de2,14
5041,个 小小,ge4   xiao3 xiao3,14
5294,小 矮人,xiao3   ai3 ren2,13
5408,家养 小 精灵 的,jia1 yang3   xiao3   jing1 ling2   de,13
5466,小巷 里,xiao3 xiang4   li3,13
5489,小 矮星 的,xiao3   ai3 xing1   de,13
5523,个 小小 的,ge4   xiao3 xiao3   de,13
5560,个 家养 小,ge4   jia1 yang3   xiao3,13
5562,是 小 天狼星,shi4   xiao3   tian1 lang2 xing1,13
5563,个 家养 小 精灵,ge4   jia1 yang3   xiao3   jing1 ling2,13
5893,哈利 小声 问,ha1 li4   xiao3 sheng1   wen4,12
6013,从 小,cong2   xiao3,12
6016,半 个 小时,ban4   ge4   xiao3 shi2,12
6069,小 天狼星 和,xiao3   tian1 lang2 xing1   he2,12
6079,小 矮妖,xiao3   ai3 yao1,12
6683,小 木屋,xiao3   mu4 wu1,11
6721,对 小,dui4   xiao3,11
6772,小 天狼星 是,xiao3   tian1 lang2 xing1   shi4,11
6836,他 小声 说,ta1   xiao3 sheng1   shuo1,11
7044,小 推车,xiao3   tui1 che1,11
7092,的 小 眼睛,de   xiao3   yan3 jing1,11
7296,一 小时 后,yi1   xiao3 shi2   hou4,10
7356,太 小 了,tai4   xiao3   le,10
7365,小 隔间,xiao3   ge2 jian1,10
7367,小时 前,xiao3 shi2   qian2,10
7511,小 得,xiao3   de2,10
7636,小 声音,xiao3   sheng1 yin1,10
7643,小 天狼星 的 信,xiao3   tian1 lang2 xing1   de   xin4,10
7660,把 小 天狼星,ba3   xiao3   tian1 lang2 xing1,10
7841,那 个 小,na4   ge4   xiao3,10
7985,一 个 小小,yi1   ge4   xiao3 xiao3,10
8019,一 个 小小 的,yi1   ge4   xiao3 xiao3   de,10
8029,的 小巷,de   xiao3 xiang4,10
8340,小 包,xiao3   bao1,9
8350,小 猫头鹰,xiao3   mao1 tou2 ying1,9
8352,小 男孩,xiao3   nan2 hai2,9
8382,罗恩小声 说,luo2 en1 xiao3 sheng1   shuo1,9
8412,她 小声,ta1   xiao3 sheng1,9
8707,小 天狼星 不,xiao3   tian1 lang2 xing1   bu4,9
8745,小屋 的,xiao3 wu1   de,9
8747,一 只 小,yi1   zhi3   xiao3,9
8749,小心 把,xiao3 xin1   ba3,9
8754,小猪 的,xiao3 zhu1   de,9
9052,一 个 家养 小,yi1   ge4   jia1 yang3   xiao3,9
9145,一 个 家养 小 精灵,yi1   ge4   jia1 yang3   xiao3   jing1 ling2,9
9217,的 小 路,de   xiao3   lu4,9
9337,不 小心 把,bu4   xiao3 xin1   ba3,9
9423,大小 的,da4 xiao3   de,8
9618,小 天狼星 在,xiao3   tian1 lang2 xing1   zai4,8
9628,小声 说道,xiao3 sheng1   shuo1 dao4,8
9632,缩小 了,suo1 xiao3   le,8
9633,小跑 着,xiao3 pao3   zhe,8
10015,又 小,you4   xiao3,8
10058,小 火龙,xiao3   huo3 long2,8
10066,跟 小,gen1   xiao3,8
10086,小 路 上,xiao3   lu4   shang4,8
10094,小屋 里,xiao3 wu1   li3,8
10109,小精灵 的,xiao3 jing1 ling2   de,8
10167,个 小精灵,ge4   xiao3 jing1 ling2,8
10752,的 小 姑娘,de   xiao3   gu1 niang2,8
10766,很 小 的,hen3   xiao3   de,8
10825,了 一 个 小,le   yi1   ge4   xiao3,8
10921,不 小,bu4   xiao3,8
11147,她 小声 说,ta1   xiao3 sheng1   shuo1,7
11158,一 小 块,yi1   xiao3   kuai4,7
11310,对 小 天狼星,dui4   xiao3   tian1 lang2 xing1,7
11338,小 单间,xiao3   dan1 jian1,7
11347,小 点,xiao3   dian3,7
11358,小声 地 说,xiao3 sheng1   di4   shuo1,7
11514,年纪 太 小,nian2 ji4   tai4   xiao3,7
11801,两 个 小时,liang3   ge4   xiao3 shi2,7
11948,小 块,xiao3   kuai4,7
11962,小 天狼星 就,xiao3   tian1 lang2 xing1   jiu4,7
12032,小 精灵 是,xiao3   jing1 ling2   shi4,7
12041,小心 点儿,xiao3 xin1   dian3 er2,7
12303,这些 小,zhe4 xie1   xiao3,7
12404,望 着 小,wang4   zhe   xiao3,7
12416,他 的 家养 小,ta1   de   jia1 yang3   xiao3,7
12420,他 的 家养 小 精灵,ta1   de   jia1 yang3   xiao3   jing1 ling2,7
12830,的 家养 小精灵,de   jia1 yang3   xiao3 jing1 ling2,7
12834,的 小 天狼星,de   xiao3   tian1 lang2 xing1,7
12836,在 小 天狼星,zai4   xiao3   tian1 lang2 xing1,7
12838,在 小惠,zai4   xiao3 hui4,7
12839,在 小惠 金区,zai4   xiao3 hui4   jin1 qu1,7
13140,着 家养 小,zhe   jia1 yang3   xiao3,6
13143,着 家养 小 精灵,zhe   jia1 yang3   xiao3   jing1 ling2,6
13147,着 小 矮星,zhe   xiao3   ai3 xing1,6
13171,但 小,dan4   xiao3,6
13221,知道 小,zhi1 dao4   xiao3,6
13222,知道 小 天狼星,zhi1 dao4   xiao3   tian1 lang2 xing1,6
13671,说 小,shuo1   xiao3,6
13741,小 东西,xiao3   dong1 xi1,6
13752,小 天狼星 说 着,xiao3   tian1 lang2 xing1   shuo1   zhe,6
13753,小 妖精,xiao3   yao1 jing1,6
13754,小 很,xiao3   hen3,6
13755,小 很 小,xiao3   hen3   xiao3,6
13756,小 木屋 里,xiao3   mu4 wu1   li3,6
13761,小 的 时候,xiao3   de   shi2 hou4,6
13764,跟 小 天狼星,gen1   xiao3   tian1 lang2 xing1,6
13765,小 矮星 和,xiao3   ai3 xing1   he2,6
13769,小 胡子,xiao3   hu2 zi,6
13779,小时 之后,xiao3 shi2   zhi1 hou4,6
13781,小时 的,xiao3 shi2   de,6
13803,较 小 的,jiao4   xiao3   de,6
13804,较 小,jiao4   xiao3,6
13848,像 小,xiang4   xiao3,6
14154,张 小,zhang1   xiao3,6
14195,几 小时,ji3   xiao3 shi2,6
14242,很 小 很,hen3   xiao3   hen3,6
14245,很 小 很 小,hen3   xiao3   hen3   xiao3,6
14712,小 塑像,xiao3   su4 xiang4,6
14790,小 精灵 权益,xiao3   jing1 ling2   quan2 yi4,6
15098,是 家养 小,shi4   jia1 yang3   xiao3,6
15099,是 家养 小 精灵,shi4   jia1 yang3   xiao3   jing1 ling2,6
15132,这个 小,zhe4 ge   xiao3,6
15286,望 着 小 天狼星,wang4   zhe   xiao3   tian1 lang2 xing1,6
15297,他 的 小屋,ta1   de   xiao3 wu1,6
15334,来到 海格 的 小屋,lai2 dao4   hai3 ge2   de   xiao3 wu1,6
15543,海格 小屋,hai3 ge2   xiao3 wu1,6
15729,的 一 小,de   yi1   xiao3,6
15889,的 小 声音,de   xiao3   sheng1 yin1,6
15891,的 小 精灵,de   xiao3   jing1 ling2,6
15893,的 小个子,de   xiao3 ge4 zi,6
15901,在 小巷,zai4   xiao3 xiang4,6
16067,了 一 小时,le   yi1   xiao3 shi2,6
16349,着 小猪,zhe   xiao3 zhu1,5
16408,但 小 天狼星,dan4   xiao3   tian1 lang2 xing1,5
16780,给 小 天狼星 写信,gei3   xiao3   tian1 lang2 xing1   xie3 xin4,5
16819,罗恩 小声,luo2 en1   xiao3 sheng1,5
16867,一些 小,yi1 xie1   xiao3,5
17000,好 几 个 小时,hao3   ji3   ge4   xiao3 shi2,5
17321,说 小 天狼星,shuo1   xiao3   tian1 lang2 xing1,5
17384,赫敏 小心翼翼 地,he4 min3   xiao3 xin1 yi4 yi4   di4,5
17385,赫敏 小心翼翼,he4 min3   xiao3 xin1 yi4 yi4,5
17444,小 哈利,xiao3   ha1 li4,5
17453,小 天狼星 发出,xiao3   tian1 lang2 xing1   fa1 chu1,5
