Order Number,Item,Pinyin,Frequency
22,邓布 利多,deng4 bu4   li4 duo1,466
186,邓布利多 说,deng4 bu4 li4 duo1   shuo1,150
375,克拉布 和,ke4 la1 bu4   he2,93
510,克拉布 和 高尔,ke4 la1 bu4   he2   gao1 er3,77
614,邓布 利多 的,deng4 bu4   li4 duo1   de,68
620,邓布利多 教授,deng4 bu4 li4 duo1   jiao4 shou4,67
958,天狼星 布莱克,tian1 lang2 xing1   bu4 lai2 ke4,50
987,小 天狼星 布莱克,xiao3   tian1 lang2 xing1   bu4 lai2 ke4,50
1679,布莱克 的,bu4 lai2 ke4   de,33
1839,布 利多,bu4   li4 duo1,30
1931,邓 布,deng4   bu4,29
1932,邓 布 利多,deng4   bu4   li4 duo1,29
2304,是 邓布利多,shi4   deng4 bu4 li4 duo1,26
3057,着 邓布利多,zhe   deng4 bu4 li4 duo1,21
3288,邓布利多 在,deng4 bu4 li4 duo1   zai4,19
3291,布斯巴顿 的,bu4 si1 ba1 dun4   de,19
3386,邓布 利多 教授,deng4 bu4   li4 duo1   jiao4 shou4,19
3437,在 邓布 利多,zai4   deng4 bu4   li4 duo1,19
3443,在 邓布,zai4   deng4 bu4,19
3655,布斯 巴顿,bu4 si1   ba1 dun4,18
3682,邓布利多 平静,deng4 bu4 li4 duo1   ping2 jing4,18
3683,邓布利多 平静 地,deng4 bu4 li4 duo1   ping2 jing4   di4,18
3883,阿不思•邓布 利多,a1 bu4 si1 • deng4 bu4   li4 duo1,17
4084,邓布利多 和,deng4 bu4 li4 duo1   he2,16
4284,邓布利多 平静 地 说,deng4 bu4 li4 duo1   ping2 jing4   di4   shuo1,16
4285,布莱克 说,bu4 lai2 ke4   shuo1,16
4397,和 邓布利多,he2   deng4 bu4 li4 duo1,15
4515,是 邓布,shi4   deng4 bu4,15
4722,是 邓布 利多,shi4   deng4 bu4   li4 duo1,15
4759,着 布莱克,zhe   bu4 lai2 ke4,14
5226,着 邓布,zhe   deng4 bu4,13
5292,着 邓布 利多,zhe   deng4 bu4   li4 duo1,13
5787,克拉布 的,ke4 la1 bu4   de,13
5842,但 邓布,dan4   deng4 bu4,12
5845,但 邓布 利多,dan4   deng4 bu4   li4 duo1,12
5852,邓布 利多 站,deng4 bu4   li4 duo1   zhan4,12
5894,了 布莱克,le   bu4 lai2 ke4,12
6210,布莱克 和,bu4 lai2 ke4   he2,12
6213,布莱克 是,bu4 lai2 ke4   shi4,12
6501,邓布 利多 会,deng4 bu4   li4 duo1   hui4,11
6893,克拉布 和 高尔 的,ke4 la1 bu4   he2   gao1 er3   de,11
6926,邓布利多 的,deng4 bu4 li4 duo1   de,11
7270,邓布 利多 也,deng4 bu4   li4 duo1   ye3,10
7290,布置 的,bu4 zhi4   de,10
7413,邓布利多 又,deng4 bu4 li4 duo1   you4,10
7414,布斯巴顿 和,bu4 si1 ba1 dun4   he2,10
7415,邓布利多 继续,deng4 bu4 li4 duo1   ji4 xu4,10
7835,布斯巴顿 和 德姆斯特朗,bu4 si1 ba1 dun4   he2   de2 mu3 si1 te4 lang3,10
8428,布莱克 家族,bu4 lai2 ke4   jia1 zu2,9
8517,见 邓布利多,jian4   deng4 bu4 li4 duo1,9
8639,了 邓布利多,le   deng4 bu4 li4 duo1,9
8656,对 邓布利多,dui4   deng4 bu4 li4 duo1,9
8682,对 邓布利多 说,dui4   deng4 bu4 li4 duo1   shuo1,9
8718,找 邓布利多,zhao3   deng4 bu4 li4 duo1,9
8892,告诉 邓布 利多,gao4 su4   deng4 bu4   li4 duo1,9
8965,邓布利多 问,deng4 bu4 li4 duo1   wen4,9
8966,布莱克 不,bu4 lai2 ke4   bu4,9
9350,告诉 邓布,gao4 su4   deng4 bu4,9
9453,给 邓布,gei3   deng4 bu4,8
9481,朝 邓布,chao2   deng4 bu4,8
9491,邓布利多 说 着,deng4 bu4 li4 duo1   shuo1   zhe,8
9625,给 邓布 利多,gei3   deng4 bu4   li4 duo1,8
9714,邓布 利多 一,deng4 bu4   li4 duo1   yi1,8
9715,邓布 利多 是,deng4 bu4   li4 duo1   shi4,8
9716,邓布利多 对,deng4 bu4 li4 duo1   dui4,8
9717,布斯 巴顿 的,bu4 si1   ba1 dun4   de,8
9718,布满 了,bu4 man3   le,8
10385,邓布 利多 的 办公室,deng4 bu4   li4 duo1   de   ban4 gong1 shi4,8
10388,朝 邓布 利多,chao2   deng4 bu4   li4 duo1,8
10391,邓布利多 轻声,deng4 bu4 li4 duo1   qing1 sheng1,8
10396,邓布 利多 把,deng4 bu4   li4 duo1   ba3,8
10850,在 邓布 利多 的,zai4   deng4 bu4   li4 duo1   de,8
11123,知道 布莱克,zhi1 dao4   bu4 lai2 ke4,7
11217,如果 邓布,ru2 guo3   deng4 bu4,7
11220,如果 邓布 利多,ru2 guo3   deng4 bu4   li4 duo1,7
11384,过 邓布利多,guo4   deng4 bu4 li4 duo1,7
11474,邓布利多 不,deng4 bu4 li4 duo1   bu4,7
11705,与 邓布,yu3   deng4 bu4,7
11707,与 邓布 利多,yu3   deng4 bu4   li4 duo1,7
11871,去 找 邓布利多,qu4   zhao3   deng4 bu4 li4 duo1,7
12024,跟 邓布 利多,gen1   deng4 bu4   li4 duo1,7
12026,跟 邓布,gen1   deng4 bu4,7
12407,望 着 邓布利多,wang4   zhe   deng4 bu4 li4 duo1,7
12426,布斯巴顿 和 德姆斯特朗 的,bu4 si1 ba1 dun4   he2   de2 mu3 si1 te4 lang3   de,7
12432,布置 了,bu4 zhi4   le,7
12445,布莱克 夫人,bu4 lai2 ke4   fu1 ren2,7
12988,的 邓布利多,de   deng4 bu4 li4 duo1,7
13238,知道 邓布,zhi1 dao4   deng4 bu4,6
13448,知道 邓布 利多,zhi1 dao4   deng4 bu4   li4 duo1,6
13625,认为 邓布 利多,ren4 wei2   deng4 bu4   li4 duo1,6
13626,认为 邓布,ren4 wei2   deng4 bu4,6
13682,说 邓布,shuo1   deng4 bu4,6
13697,对 克拉布,dui4   ke4 la1 bu4,6
13698,对 克拉布 和,dui4   ke4 la1 bu4   he2,6
13699,对 克拉布 和 高尔,dui4   ke4 la1 bu4   he2   gao1 er3,6
14000,邓布 利多 有,deng4 bu4   li4 duo1   you3,6
14004,邓布利多 微笑,deng4 bu4 li4 duo1   wei1 xiao4,6
