Order Number,Item,Pinyin,Frequency
622,我 希望,wo3   xi1 wang4,67
936,真 希望,zhen1   xi1 wang4,51
1293,希望 你,xi1 wang4   ni3,40
1617,不 希望,bu4   xi1 wang4,34
1858,希望 他,xi1 wang4   ta1,30
2227,希望 我,xi1 wang4   wo3,26
3423,他 希望,ta1   xi1 wang4,19
4339,的 希望,de   xi1 wang4,16
4429,希望 你们,xi1 wang4   ni3 men,15
4442,我 真 希望,wo3   zhen1   xi1 wang4,15
4633,希望 自己,xi1 wang4   zi4 ji3,15
5430,我 希望 你,wo3   xi1 wang4   ni3,13
5503,只 希望,zhi3   xi1 wang4,13
5914,他 真 希望,ta1   zhen1   xi1 wang4,12
6002,希望 能,xi1 wang4   neng2,12
6291,满怀 希望,man3 huai2   xi1 wang4,12
6536,希望 的,xi1 wang4   de,11
6935,希望 地,xi1 wang4   di4,11
7484,满怀 希望 地,man3 huai2   xi1 wang4   di4,10
8429,希望 他们,xi1 wang4   ta1 men,9
8980,希望 我们,xi1 wang4   wo3 men,9
9723,希望 她,xi1 wang4   ta1,8
9728,希望 这,xi1 wang4   zhe4,8
9969,我 希望 他,wo3   xi1 wang4   ta1,8
10694,他们 希望,ta1 men   xi1 wang4,8
11479,希望 了,xi1 wang4   le,7
11481,希望 在,xi1 wang4   zai4,7
12480,哈利 希望,ha1 li4   xi1 wang4,7
12616,都 希望,dou1   xi1 wang4,7
13085,真 希望 我,zhen1   xi1 wang4   wo3,7
14013,希望 他 能,xi1 wang4   ta1   neng2,6
14015,希望 你 能,xi1 wang4   ni3   neng2,6
14018,希望 地 说,xi1 wang4   di4   shuo1,6
14022,希望 有,xi1 wang4   you3,6
14024,希望 看到,xi1 wang4   kan4 dao4,6
14498,我 不 希望,wo3   bu4   xi1 wang4,6
14536,我 希望 你们,wo3   xi1 wang4   ni3 men,6
15102,是 希望,shi4   xi1 wang4,6
16136,会 希望,hui4   xi1 wang4,6
16247,真 希望 自己,zhen1   xi1 wang4   zi4 ji3,6
16307,似乎 希望,si4 hu1   xi1 wang4,5
16834,罗恩 满怀 希望,luo2 en1   man3 huai2   xi1 wang4,5
17599,罗恩 满怀 希望 地,luo2 en1   man3 huai2   xi1 wang4   di4,5
17846,希望 我 能,xi1 wang4   wo3   neng2,5
18079,人 希望,ren2   xi1 wang4,5
20211,满怀 希望 地 说,man3 huai2   xi1 wang4   di4   shuo1,5
20267,唯一 的 希望,wei2 yi1   de   xi1 wang4,5
20967,地 希望,di4   xi1 wang4,5
21060,真 希望 她,zhen1   xi1 wang4   ta1,5
