Order Number,Item,Pinyin,Frequency
720,一 年,yi1   nian2,60
764,一 年级,yi1   nian2 ji2,58
895,年 前,nian2   qian2,52
1004,年级 学生,nian2 ji2   xue2 sheng1,49
1715,一 年级 新生,yi1   nian2 ji2   xin1 sheng1,32
1720,年级 新生,nian2 ji2   xin1 sheng1,32
1866,年 来,nian2   lai2,30
2048,年级 的,nian2 ji2   de,28
2295,三 年级,san1   nian2 ji2,26
4005,四 年级,si4   nian2 ji2,17
4028,五 年级,wu3   nian2 ji2,17
4252,二 年级,er4   nian2 ji2,16
4377,五十 年,wu3 shi2   nian2,16
4626,三 年,san1   nian2,15
4799,五十 年 前,wu3 shi2   nian2   qian2,14
4930,十二 年,shi2 er4   nian2,14
5061,六 年级,liu4   nian2 ji2,14
5204,一 年级 学生,yi1   nian2 ji2   xue2 sheng1,13
5243,未成年 巫师,wei4 cheng2 nian2   wu1 shi1,13
5641,这 一 年,zhe4   yi1   nian2,13
5658,年轻 的,nian2 qing1   de,13
5929,年 了,nian2   le,12
6011,十三 年,shi2 san1   nian2,12
6576,每 年,mei3   nian2,11
6592,年 前 的,nian2   qian2   de,11
6693,十 年,shi2   nian2,11
6977,年 没有,nian2   mei2 you3,11
7280,未成年 巫师 加以 合理,wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3,10
7281,未成年 巫师 加以,wei4 cheng2 nian2   wu1 shi1   jia1 yi3,10
7295,多 年,duo1   nian2,10
7350,对 未成年,dui4   wei4 cheng2 nian2,10
7351,对 未成年 巫师 加以 合理,dui4   wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3,10
7424,年 的,nian2   de,10
7438,好多 年,hao3 duo1   nian2,10
7588,两 年,liang3   nian2,10
7653,对 未成年 巫师 加以,dui4   wei4 cheng2 nian2   wu1 shi1   jia1 yi3,10
7709,对 未成年 巫师,dui4   wei4 cheng2 nian2   wu1 shi1,10
7891,年级 时,nian2 ji2   shi2,10
8447,年级 女生,nian2 ji2   nv3 sheng1,9
9753,年纪 太,nian2 ji4   tai4,8
9898,许多 年,xu3 duo1   nian2,8
9929,三 年级 学生,san1   nian2 ji2   xue2 sheng1,8
9984,对 未成年 巫师 加以 合理 约束法,dui4   wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3   yue1 shu4 fa3,8
10370,六 年级 学生,liu4   nian2 ji2   xue2 sheng1,8
10390,未成年 巫师 加以 合理 约束法,wei4 cheng2 nian2   wu1 shi1   jia1 yi3   he2 li3   yue1 shu4 fa3,8
10489,年 都,nian2   dou1,8
10645,四 年,si4   nian2,8
10701,几 年,ji3   nian2,8
10829,很多 年,hen3 duo1   nian2,8
11255,你 今年,ni3   jin1 nian2,7
11505,年 以前,nian2   yi3 qian2,7
11508,年 来 最,nian2   lai2   zui4,7
11514,年纪 太 小,nian2 ji4   tai4   xiao3,7
12736,的 一 年级,de   yi1   nian2 ji2,7
13378,了 年纪,le   nian2 ji4,6
13719,一 年级 的,yi1   nian2 ji2   de,6
13909,二 年级 学生,er4   nian2 ji2   xue2 sheng1,6
13933,这么 多 年,zhe4 me   duo1   nian2,6
14073,年级 的 同学,nian2 ji2   de   tong2 xue2,6
14075,年龄 线,nian2 ling2   xian4,6
14379,七 年,qi1   nian2,6
14472,三 年级 的,san1   nian2 ji2   de,6
14487,成年 的,cheng2 nian2   de,6
14488,成年 巫师,cheng2 nian2   wu1 shi1,6
14586,上 了 年纪,shang4   le   nian2 ji4,6
14607,去年 夏天,qu4 nian2   xia4 tian1,6
14808,他 去年,ta1   qu4 nian2,6
14998,他 年纪,ta1   nian2 ji4,6
15064,是 五十 年 前,shi4   wu3 shi2   nian2   qian2,6
15065,是 五十 年,shi4   wu3 shi2   nian2,6
16072,了 一 年,le   yi1   nian2,6
17154,学年 的,xue2 nian2   de,5
17351,一 年 前,yi1   nian2   qian2,5
17724,二 年级 的,er4   nian2 ji2   de,5
17758,五 年级 学生,wu3   nian2 ji2   xue2 sheng1,5
17770,五十 年 前 的,wu3 shi2   nian2   qian2   de,5
17771,五 年,wu3   nian2,5
17916,年 之后,nian2   zhi1 hou4,5
17921,年 时间,nian2   shi2 jian1,5
17922,年 前 被,nian2   qian2   bei4,5
17924,年 没,nian2   mei2,5
17926,年 里,nian2   li3,5
17932,年纪 太 小 了,nian2 ji4   tai4   xiao3   le,5
17933,年级 的 时候,nian2 ji2   de   shi2 hou4,5
18483,今年 的,jin1 nian2   de,5
18569,三 年 前,san1   nian2   qian2,5
18631,三 年级 时,san1   nian2 ji2   shi2,5
18781,去年 就,qu4 nian2   jiu4,5
19291,整整 一 年,zheng3 zheng3   yi1   nian2,5
20364,四 年级 学生,si4   nian2 ji2   xue2 sheng1,5
20611,的 年轻人,de   nian2 qing1 ren2,5
