Order Number,Item,Pinyin,Frequency
359,床 上,chuang2   shang4,96
1824,的 床,de   chuang2,31
2255,在 床,zai4   chuang2,26
2355,在 床 上,zai4   chuang2   shang4,25
2542,上床 睡觉,shang4 chuang2   shui4 jiao4,24
3373,从 床,cong2   chuang2,19
3625,四 柱 床,si4   zhu4   chuang2,18
3687,柱 床,zhu4   chuang2,18
3991,的 床 上,de   chuang2   shang4,17
4222,床头柜 上,chuang2 tou2 gui4   shang4,16
4931,从 床 上,cong2   chuang2   shang4,14
4987,躺 在 床,tang3   zai4   chuang2,14
4992,躺 在 床 上,tang3   zai4   chuang2   shang4,14
5694,张 床,zhang1   chuang2,13
6265,床 底下,chuang2   di3 xia4,12
6559,了 床,le   chuang2,11
7094,在 床上,zai4   chuang2 shang4,11
7566,从 床上,cong2   chuang2 shang4,10
10763,的 床单,de   chuang2 dan1,8
11522,床头柜 上 的,chuang2 tou2 gui4   shang4   de,7
12365,上床 去,shang4 chuang2   qu4,7
12571,床 的,chuang2   de,7
12578,床边 的,chuang2 bian1   de,7
14087,床 边,chuang2   bian1,6
14155,张 床 上,zhang1   chuang2   shang4,6
14952,放 在 床头柜 上,fang4   zai4   chuang2 tou2 gui4   shang4,6
14953,放 在 床头柜,fang4   zai4   chuang2 tou2 gui4,6
15244,上床 睡觉 了,shang4 chuang2   shui4 jiao4   le,6
15358,柱 床 的,zhu4   chuang2   de,6
15688,四 柱 床 的,si4   zhu4   chuang2   de,6
15839,的 四 柱 床,de   si4   zhu4   chuang2,6
15911,在 床头柜 上,zai4   chuang2 tou2 gui4   shang4,6
15913,在 床头柜,zai4   chuang2 tou2 gui4,6
16301,地 躺 在 床,di4   tang3   zai4   chuang2,5
16305,地 躺 在 床 上,di4   tang3   zai4   chuang2   shang4,5
16764,了 床 上,le   chuang2   shang4,5
17584,一 张 床,yi1   zhang1   chuang2,5
17968,床单 上,chuang2 dan1   shang4,5
19779,他 的 床,ta1   de   chuang2,5
20051,哈利 的 床,ha1 li4   de   chuang2,5
20492,在 他 的 床,zai4   ta1   de   chuang2,5
20897,地 从 床 上,di4   cong2   chuang2   shang4,5
20898,地 从 床,di4   cong2   chuang2,5
