Order Number,Item,Pinyin,Frequency
1465,座位 上,zuo4 wei4   shang4,37
1596,一 座,yi1   zuo4,35
1874,的 座位,de   zuo4 wei4,30
2871,个 座位,ge4   zuo4 wei4,22
6360,的 座位 上,de   zuo4 wei4   shang4,12
7995,这 座,zhe4   zuo4,10
10764,在 座位,zai4   zuo4 wei4,8
11071,一 个 座位,yi1   ge4   zuo4 wei4,7
11530,座 房子,zuo4   fang2 zi,7
11809,从 座位,cong2   zuo4 wei4,7
11810,从 座位 上,cong2   zuo4 wei4   shang4,7
12844,在 座位 上,zai4   zuo4 wei4   shang4,7
14034,那 座,na4   zuo4,6
17992,座 城堡,zuo4   cheng2 bao3,5
18128,几 个 座位,ji3   ge4   zuo4 wei4,5
19381,是 一 座,shi4   yi1   zuo4,5
20449,在 一 座,zai4   yi1   zuo4,5
