Order Number,Item,Pinyin,Frequency
1437,家庭 作业,jia1 ting2   zuo4 ye4,38
2219,的 家庭,de   jia1 ting2,26
5472,的 家庭 作业,de   jia1 ting2   zuo4 ye4,13
11353,做 家庭,zuo4   jia1 ting2,7
11354,做 家庭 作业,zuo4   jia1 ting2   zuo4 ye4,7
12330,巫师 家庭,wu1 shi1   jia1 ting2,7
13064,麻瓜 家庭,ma2 gua1   jia1 ting2,7
16416,堆 家庭 作业,dui1   jia1 ting2   zuo4 ye4,5
16418,堆 家庭,dui1   jia1 ting2,5
16612,大 堆 家庭,da4   dui1   jia1 ting2,5
16619,大 堆 家庭 作业,da4   dui1   jia1 ting2   zuo4 ye4,5
20906,一 大 堆 家庭 作业,yi1   da4   dui1   jia1 ting2   zuo4 ye4,5
20953,一 大 堆 家庭,yi1   da4   dui1   jia1 ting2,5
