Order Number,Item,Pinyin,Frequency
638,走廊 里,zou3 lang2   li3,65
712,的 走廊,de   zou3 lang2,61
1522,在 走廊,zai4   zou3 lang2,36
2153,在 走廊 里,zai4   zou3 lang2   li3,27
2661,走廊 上,zou3 lang2   shang4,23
3038,的 走廊 里,de   zou3 lang2   li3,21
5606,条 走廊,tiao2   zou3 lang2,13
6065,走廊 的,zou3 lang2   de,12
6080,一 条 走廊,yi1   tiao2   zou3 lang2,12
8422,道 走廊,dao4   zou3 lang2,9
9614,走廊 尽头,zou3 lang2   jin4 tou2,8
10579,漆黑 的 走廊,qi1 hei1   de   zou3 lang2,8
11033,穿过 走廊,chuan1 guo4   zou3 lang2,7
12919,顺着 走廊,shun4 zhe   zou3 lang2,7
13742,走廊 往前,zou3 lang2   wang3 qian2,6
16044,在 走廊 上,zai4   zou3 lang2   shang4,6
19094,拥挤 的 走廊,yong1 ji3   de   zou3 lang2,5
20121,沿着 走廊,yan2 zhe   zou3 lang2,5
20214,漆黑 的 走廊 里,qi1 hei1   de   zou3 lang2   li3,5
20872,的 走廊 上,de   zou3 lang2   shang4,5
21009,一 道 走廊,yi1   dao4   zou3 lang2,5
