Order Number,Item,Pinyin,Frequency
365,离开 了,li2 kai1   le,95
666,开 了,kai1   le,63
726,打开 了,da3 kai1   le,60
975,被 开除,bei4   kai1 chu2,50
1742,开除 了,kai1 chu2   le,32
1761,走开 了,zou3 kai1   le,32
1794,又 开始,you4   kai1 shi3,31
1835,开心 地,kai1 xin1   di4,31
2086,他 开始,ta1   kai1 shi3,28
2113,门开 了,men2 kai1   le,27
2521,就 开始,jiu4   kai1 shi3,24
2757,开 玩笑,kai1   wan2 xiao4,22
3024,开始 了,kai1 shi3   le,21
3268,开 着,kai1   zhe,19
3354,敞开 的,chang3 kai1   de,19
3394,推开 了,tui1 kai1   le,19
3396,被 打开,bei4   da3 kai1,19
3506,要 离开,yao4   li2 kai1,18
3582,他 离开,ta1   li2 kai1,18
3663,他们 离开,ta1 men   li2 kai1,18
3705,开口 说话,kai1 kou3   shuo1 hua4,18
4004,的 门开,de   men2 kai1,17
4009,门 打开,men2   da3 kai1,17
4097,松开 了,song1 kai1   le,16
4217,睁开 眼睛,zheng1 kai1   yan3 jing1,16
4666,开除 的,kai1 chu2   de,15
4700,在 开玩笑,zai4   kai1 wan2 xiao4,15
4938,咧开 嘴,lie3 kai1   zui3,14
4993,拉开 了,la1 kai1   le,14
5103,开始 在,kai1 shi3   zai4,14
5126,他 打开,ta1   da3 kai1,14
5155,的 门开 了,de   men2 kai1   le,14
5196,不 开,bu4   kai1,13
5222,咧开 嘴 笑,lie3 kai1   zui3   xiao4,13
5250,离开 这里,li2 kai1   zhe4 li3,13
5358,被 开除 了,bei4   kai1 chu2   le,13
5496,把 门 打开,ba3   men2   da3 kai1,13
5636,开始 把,kai1 shi3   ba3,13
5904,绽开 了,zhan4 kai1   le,12
5970,开 一,kai1   yi1,12
6149,就 离开,jiu4   li2 kai1,12
6201,咧开 嘴 笑 了,lie3 kai1   zui3   xiao4   le,12
6541,很 开心,hen3   kai1 xin1,11
6568,你 在 开玩笑,ni3   zai4   kai1 wan2 xiao4,11
6634,被 开除 的,bei4   kai1 chu2   de,11
6640,要 开始,yao4   kai1 shi3,11
6837,放开 了,fang4 kai1   le,11
6913,已经 开始,yi3 jing1   kai1 shi3,11
6960,哈利 开始,ha1 li4   kai1 shi3,11
7011,开 的,kai1   de,11
7180,地 打开,di4   da3 kai1,11
7312,学校 开除,xue2 xiao4   kai1 chu2,10
7394,就 要 开始,jiu4   yao4   kai1 shi3,10
7467,打开 的,da3 kai1   de,10
7676,门 打开 了,men2   da3 kai1   le,10
7684,拨开 迷雾,bo1 kai1   mi2 wu4,10
7693,拨开 迷雾 看,bo1 kai1   mi2 wu4   kan4,10
7694,拨开 迷雾 看 未来,bo1 kai1   mi2 wu4   kan4   wei4 lai2,10
7767,就 离开 了,jiu4   li2 kai1   le,10
