Order Number,Item,Pinyin,Frequency
262,哈利 觉得,ha1 li4   jue2 de,120
263,得 很,de2   hen3,119
446,他 觉得,ta1   jue2 de,84
456,得 多,de2   duo1,82
458,得 更,de2   geng4,82
490,说 得,shuo1   de2,79
546,觉得 自己,jue2 de   zi4 ji3,73
649,得 太,de2   tai4,64
696,吓 得,xia4   de2,62
798,显得 很,xian3 de   hen3,57
873,长 得,zhang3   de2,53
971,得 不,de2   bu4,50
1009,得 像,de2   xiang4,49
1103,看 得,kan4   de2,46
1276,来 得,lai2   de2,41
1322,觉得 这,jue2 de   zhe4,40
1354,得 对,de2   dui4,39
1356,笑 得,xiao4   de2,39
1450,我 觉得,wo3   jue2 de,37
1518,得 及,de2   ji2,36
1533,气 得,qi4   de2,36
1544,来 得 及,lai2   de2   ji2,36
1581,说 得 对,shuo1   de2   dui4,35
1683,得 要命,de2   yao4 ming4,33
1709,大 得,da4   de2,32
1771,弄 得,nong4   de2,31
1820,觉得 他,jue2 de   ta1,31
1826,显得 非常,xian3 de   fei1 chang2,31
1867,涨 得,zhang3   de2,30
1879,走 得,zou3   de2,30
1908,得 比,de2   bi3,30
2022,哈利 觉得 自己,ha1 li4   jue2 de   zi4 ji3,28
2286,过 得,guo4   de2,26
2411,他 觉得 自己,ta1   jue2 de   zi4 ji3,25
2419,得意 地,de2 yi4   di4,25
2420,得 通红,de2   tong1 hong2,25
2422,我 得,wo3   de2,25
2430,得到 了,de2 dao4   le,25
2468,涨 得 通红,zhang3   de2   tong1 hong2,24
2547,显得 有些,xian3 de   you3 xie1,24
2622,干 得,gan4   de2,23
2642,做 得,zuo4   de2,23
2706,不 记得,bu4   ji4 de,23
2793,激动 得,ji1 dong4   de2,22
2858,听 得,ting1   de2,22
2991,得 出来,de2   chu1 lai2,21
3050,记得 吗,ji4 de   ma,21
3095,得 紧紧,de2   jin3 jin3,20
3126,得 好,de2   hao3,20
3130,不 得,bu4   de2,20
3136,疼 得,teng2   de2,20
3223,还 记得,hai2   ji4 de,20
3233,得 浑身,de2   hun2 shen1,20
3258,得 紧紧 的,de2   jin3 jin3   de,20
3317,没 来 得 及,mei2   lai2   de2   ji2,19
3332,睡 得,shui4   de2,19
3343,没 来 得,mei2   lai2   de2,19
3525,觉得 很,jue2 de   hen3,18
3698,得 他,de2   ta1,18
3716,飞 得,fei1   de2,18
3869,高兴 得,gao1 xing4   de2,17
4016,就 觉得,jiu4   jue2 de,17
4048,会 觉得,hui4   jue2 de,17
4099,震 得,zhen4   de2,16
4199,我 记得,wo3   ji4 de,16
4259,他 显得,ta1   xian3 de,16
4369,显得 十分,xian3 de   shi2 fen1,16
4374,得到 的,de2 dao4   de,16
4490,打 得,da3   de2,15
4519,想 得,xiang3   de2,15
4539,赢得 了,ying2 de2   le,15
4599,得 出,de2   chu1,15
4621,哈利 觉得 他,ha1 li4   jue2 de   ta1,15
4636,得 更 厉害,de2   geng4   li4 hai4,15
4652,得 非常,de2   fei1 chang2,15
