Order Number,Item,Pinyin,Frequency
1765,念 了,nian4   le,32
4171,念 了 一,nian4   le   yi1,16
5387,快速 念咒,kuai4 su4   nian4 zhou4,13
5983,念 一,nian4   yi1,12
7729,个 念头,ge4   nian4 tou,10
8037,的 念头,de   nian4 tou,10
9877,念 一 个,nian4   yi1   ge4,8
9879,念叨 着,nian4 dao1   zhe,8
11251,大声 念道,da4 sheng1   nian4 dao4,7
11271,一 个 念头,yi1   ge4   nian4 tou,7
16775,给 你 念,gei3   ni3   nian4,5
16854,你 念,ni3   nian4,5
18192,集中 意念,ji2 zhong1   yi4 nian4,5
18435,念 了 一 个,nian4   le   yi1   ge4,5
20978,地 念叨,di4   nian4 dao1,5
