Order Number,Item,Pinyin,Frequency
2953,怀疑 地,huai2 yi2   di4,21
5388,怀里 抱,huai2 li3   bao4,13
5688,怀里 抱 着,huai2 li3   bao4   zhe,13
5900,哈利 怀疑,ha1 li4   huai2 yi2,12
6291,满怀 希望,man3 huai2   xi1 wang4,12
7484,满怀 希望 地,man3 huai2   xi1 wang4   di4,10
7499,怀疑 他,huai2 yi2   ta1,10
7500,怀疑 的,huai2 yi2   de,10
7501,怀里 抱 着 一,huai2 li3   bao4   zhe   yi1,10
9974,我 怀疑,wo3   huai2 yi2,8
10617,不怀好意 地,bu4 huai2 hao4 yi4   di4,8
12197,他 怀疑,ta1   huai2 yi2,7
14396,怀 着,huai2   zhe,6
14397,怀里 抱 着 一 大,huai2 li3   bao4   zhe   yi1   da4,6
16833,罗恩 满怀,luo2 en1   man3 huai2,5
16834,罗恩 满怀 希望,luo2 en1   man3 huai2   xi1 wang4,5
17599,罗恩 满怀 希望 地,luo2 en1   man3 huai2   xi1 wang4   di4,5
18093,不怀好意 的,bu4 huai2 hao4 yi4   de,5
18436,怀疑 到,huai2 yi2   dao4,5
18437,怀疑 地 说,huai2 yi2   di4   shuo1,5
18694,我 怀疑 他,wo3   huai2 yi2   ta1,5
20211,满怀 希望 地 说,man3 huai2   xi1 wang4   di4   shuo1,5
