Order Number,Item,Pinyin,Frequency
2499,他 总是,ta1   zong3 shi4,24
3587,总 有,zong3   you3,18
4161,总 是,zong3   shi4,16
5111,他 总,ta1   zong3,14
5993,总 觉得,zong3   jue2 de,12
7512,总 有 一,zong3   you3   yi1,10
8241,你 总,ni3   zong3,9
8546,总 有 一 天,zong3   you3   yi1   tian1,9
8547,总 能,zong3   neng2,9
8548,总是 在,zong3 shi4   zai4,9
8613,我 总是,wo3   zong3 shi4,9
9896,总 会,zong3   hui4,8
10236,他 总算,ta1   zong3 suan4,8
11458,她 总是,ta1   zong3 shi4,7
11563,人 总是,ren2   zong3 shi4,7
11722,总是 把,zong3 shi4   ba3,7
11723,总算 把,zong3 suan4   ba3,7
14419,总 不,zong3   bu4,6
15797,他们 总,ta1 men   zong3,6
18469,总 喜欢,zong3   xi3 huan1,5
18472,总 想,zong3   xiang3,5
18473,总 有 一 天 会,zong3   you3   yi1   tian1   hui4,5
18476,总是 说,zong3 shi4   shuo1,5
18477,总是 很,zong3 shi4   hen3,5
18816,我们 总算,wo3 men   zong3 suan4,5
19347,时 总是,shi2   zong3 shi4,5
19363,他 总 觉得,ta1   zong3   jue2 de,5
20497,他们 总是,ta1 men   zong3 shi4,5
