Order Number,Item,Pinyin,Frequency
526,不 愿意,bu4   yuan4 yi4,75
1313,不 愿,bu4   yuan4,40
3310,你 愿意,ni3   yuan4 yi4,19
4409,也 不 愿,ye3   bu4   yuan4,15
4926,愿意 让,yuan4 yi4   rang4,14
4927,愿意 跟,yuan4 yi4   gen1,14
5435,我 愿意,wo3   yuan4 yi4,13
6415,会 愿意,hui4   yuan4 yi4,12
6448,不 情愿,bu4   qing2 yuan4,11
6821,可 不 愿意,ke3   bu4   yuan4 yi4,11
6833,如果 你 愿意,ru2 guo3   ni3   yuan4 yi4,11
7718,人 愿意,ren2   yuan4 yi4,10
8162,不 情愿 地,bu4   qing2 yuan4   di4,9
9134,不 会 愿意,bu4   hui4   yuan4 yi4,9
9218,情愿 地,qing2 yuan4   di4,9
10245,他 愿意,ta1   yuan4 yi4,8
11829,我 可 不 愿意,wo3   ke3   bu4   yuan4 yi4,7
12664,也 不 愿意,ye3   bu4   yuan4 yi4,7
12857,的 愿望,de   yuan4 wang4,7
13176,不 愿意 让,bu4   yuan4 yi4   rang4,6
14481,愿意 跟 我,yuan4 yi4   gen1   wo3,6
14543,我 情愿,wo3   qing2 yuan4,6
14671,他 不 愿意,ta1   bu4   yuan4 yi4,6
15290,哈利 不 愿意,ha1 li4   bu4   yuan4 yi4,6
16638,你 不 愿意,ni3   bu4   yuan4 yi4,5
17353,谁 愿意,shui2   yuan4 yi4,5
18598,愿意 告诉,yuan4 yi4   gao4 su4,5
18599,愿意 听,yuan4 yi4   ting1,5
18600,愿意 把,yuan4 yi4   ba3,5
19485,是 愿意,shi4   yuan4 yi4,5
20079,没有 人 愿意,mei2 you3   ren2   yuan4 yi4,5
21053,真 不 愿意,zhen1   bu4   yuan4 yi4,5
