Order Number,Item,Pinyin,Frequency
9,我 的,wo3   de,646
41,我 不,wo3   bu4,390
54,我 想,wo3   xiang3,345
100,是 我,shi4   wo3,216
114,我 是,wo3   shi4,195
142,我 要,wo3   yao4,172
153,我 知道,wo3   zhi1 dao4,166
163,我 就,wo3   jiu4,160
182,我 说,wo3   shuo1,151
220,我 在,wo3   zai4,135
222,我们 的,wo3 men   de,134
241,了 我,le   wo3,128
243,把 我,ba3   wo3,127
251,给 我,gei3   wo3,123
260,我 认为,wo3   ren4 wei2,121
316,让 我,rang4   wo3,105
325,告诉 我,gao4 su4   wo3,104
345,我 还,wo3   hai2,99
397,我 没有,wo3   mei2 you3,90
402,我 也,wo3   ye3,89
409,我 不 知道,wo3   bu4   zhi1 dao4,88
435,但 我,dan4   wo3,85
442,我 真,wo3   zhen1,84
444,在 我,zai4   wo3,84
503,跟 我,gen1   wo3,78
506,对 我,dui4   wo3,78
521,我 会,wo3   hui4,76
564,我 来,wo3   lai2,72
567,我 把,wo3   ba3,71
608,我们 不,wo3 men   bu4,68
622,我 希望,wo3   xi1 wang4,67
629,我 可以,wo3   ke3 yi3,67
657,我们 在,wo3 men   zai4,64
658,如果 我,ru2 guo3   wo3,64
679,知道 我,zhi1 dao4   wo3,63
716,我们 要,wo3 men   yao4,61
724,我 一直,wo3   yi4 zhi2,60
727,是 我们,shi4   wo3 men,60
730,我 去,wo3   qu4,60
745,我 能,wo3   neng2,59
756,我 已经,wo3   yi3 jing1,59
758,和 我,he2   wo3,59
807,我 一,wo3   yi1,56
857,我们 就,wo3 men   jiu4,54
879,我 有,wo3   you3,53
897,我 敢,wo3   gan3,52
901,我 相信,wo3   xiang1 xin4,52
902,我 必须,wo3   bi4 xu1,52
912,我 的 意思,wo3   de   yi4 si,52
918,是 我 的,shi4   wo3   de,52
963,我 父亲,wo3   fu4 qin1,50
970,告诉 我们,gao4 su4   wo3 men,50
973,我们 都,wo3 men   dou1,50
981,我 对,wo3   dui4,50
982,我 很,wo3   hen3,50
1029,我们 还,wo3 men   hai2,48
1073,我 是 说,wo3   shi4   shuo1,47
1086,我 的 意思 是,wo3   de   yi4 si   shi4,46
1105,我 看,wo3   kan4,46
1118,说 我,shuo1   wo3,45
1123,我 不 能,wo3   bu4   neng2,45
1133,我 告诉,wo3   gao4 su4,45
1139,我们 必须,wo3 men   bi4 xu1,44
1155,听 我,ting1   wo3,44
1185,如果 我们,ru2 guo3   wo3 men,43
1201,我 刚才,wo3   gang1 cai2,43
1227,我们 可以,wo3 men   ke3 yi3,42
1249,我 猜,wo3   cai1,41
1257,了 我 的,le   wo3   de,41
1343,我 不 是,wo3   bu4   shi4,39
1362,我 只是,wo3   zhi3 shi4,39
1363,我 爸爸,wo3   ba4 ba4,39
1401,我们 会,wo3 men   hui4,38
1406,因为 我,yin1 wei4   wo3,38
1423,我 只,wo3   zhi3,38
1436,在 我们,zai4   wo3 men,38
1450,我 觉得,wo3   jue2 de,37
1513,我 了,wo3   le,36
1535,我 可,wo3   ke3,36
1623,听 我 说,ting1   wo3   shuo1,34
1629,给 我们,gei3   wo3 men,34
1642,我 敢 说,wo3   gan3   shuo1,34
1648,不 是 我,bu4   shi4   wo3,34
1666,在 我 的,zai4   wo3   de,33
1680,把 我 的,ba3   wo3   de,33
1684,我 叫,wo3   jiao4,33
1714,让 我们,rang4   wo3 men,32
1728,要 我,yao4   wo3,32
1822,我 自己,wo3   zi4 ji3,31
1847,我 和,wo3   he2,30
1857,我们 没有,wo3 men   mei2 you3,30
1877,我 现在,wo3   xian4 zai4,30
1892,我 没,wo3   mei2,30
1915,不过 我,bu4 guo4   wo3,30
1953,我们 去,wo3 men   qu4,29
2001,我 看见,wo3   kan4 jian4,29
2038,我们 是,wo3 men   shi4,28
2143,我 需要,wo3   xu1 yao4,27
2207,我 不 想,wo3   bu4   xiang3,27
2211,我 给,wo3   gei3,26
2227,希望 我,xi1 wang4   wo3,26
2228,我 都,wo3   dou1,26
2234,我 这,wo3   zhe4,26
2239,我们 也,wo3 men   ye3,26
2244,可是 我,ke3 shi4   wo3,26
2249,我 从,wo3   cong2,26
2252,着 我,zhe   wo3,26
2278,我 以为,wo3   yi3 wei2,26
2324,我 再,wo3   zai4,25
2329,但是 我,dan4 shi4   wo3,25
2330,帮 我,bang1   wo3,25
2331,我 当然,wo3   dang1 ran2,25
2367,我 听说,wo3   ting1 shuo1,25
2398,我 亲爱 的,wo3   qin1 ai4   de,25
2415,我 亲爱,wo3   qin1 ai4,25
2422,我 得,wo3   de2,25
2435,我 什么,wo3   shen2 me,24
2436,知道 我们,zhi1 dao4   wo3 men,24
2442,我 可 不,wo3   ke3   bu4,24
2447,我 想 你,wo3   xiang3   ni3,24
2455,我 知道 你,wo3   zhi1 dao4   ni3,24
2463,我们 应该,wo3 men   ying1 gai1,24
2492,从 我,cong2   wo3,24
2535,我 想 我们,wo3   xiang3   wo3 men,24
2541,我们 需要,wo3 men   xu1 yao4,24
2544,想 我们,xiang3   wo3 men,24
2552,我 真 不,wo3   zhen1   bu4,24
2565,为 我,wei4   wo3,23
2591,把 我们,ba3   wo3 men,23
2637,我 也 不,wo3   ye3   bu4,23
2685,我 还 以为,wo3   hai2   yi3 wei2,23
2701,我们 有,wo3 men   you3,23
2705,找 我,zhao3   wo3,23
2711,所以 我,suo3 yi3   wo3,23
2724,相信 我,xiang1 xin4   wo3,23
2725,看 我,kan4   wo3,23
2746,我 应该,wo3   ying1 gai1,22
2768,对 我 说,dui4   wo3   shuo1,22
2795,我们 只,wo3 men   zhi3,22
2796,我 以前,wo3   yi3 qian2,22
2799,我 的 办公室,wo3   de   ban4 gong1 shi4,22
2803,我们 已经,wo3 men   yi3 jing1,22
2809,跟 我们,gen1   wo3 men,22
