Order Number,Item,Pinyin,Frequency
1667,保护 神奇 动物,bao3 hu4   shen2 qi2   dong4 wu4,33
1691,保护 神奇,bao3 hu4   shen2 qi2,33
2068,呼神 护卫,hu1 shen2   hu4 wei4,28
2251,保护 神奇 动物 课,bao3 hu4   shen2 qi2   dong4 wu4   ke4,26
3205,的 守护神,de   shou3 hu4 shen2,20
5714,的 保护,de   bao3 hu4,13
8618,保护 神奇 动物 课 的,bao3 hu4   shen2 qi2   dong4 wu4   ke4   de,9
11644,飞天 扫帚 护理,fei1 tian1   sao4 zhou3   hu4 li3,7
11964,扫帚 护理,sao4 zhou3   hu4 li3,7
14615,上 保护,shang4   bao3 hu4,6
14619,上 保护 神奇 动物,shang4   bao3 hu4   shen2 qi2   dong4 wu4,6
14638,上 保护 神奇,shang4   bao3 hu4   shen2 qi2,6
15777,的 保护 神奇,de   bao3 hu4   shen2 qi2,6
15780,的 保护 神奇 动物,de   bao3 hu4   shen2 qi2   dong4 wu4,6
17376,保护 自己,bao3 hu4   zi4 ji3,5
18285,飞天 扫帚 护理 工具箱,fei1 tian1   sao4 zhou3   hu4 li3   gong1 ju4 xiang1,5
18820,上 保护 神奇 动物 课,shang4   bao3 hu4   shen2 qi2   dong4 wu4   ke4,5
18925,扫帚 护理 工具箱,sao4 zhou3   hu4 li3   gong1 ju4 xiang1,5
19036,护理 工具箱,hu4 li3   gong1 ju4 xiang1,5
