Order Number,Item,Pinyin,Frequency
7247,坚持 要,jian1 chi2   yao4,10
7249,坚持 说,jian1 chi2   shuo1,10
9595,保持 警惕,bao3 chi2   jing3 ti4,8
11313,保持 着,bao3 chi2   zhe,7
11921,保持 沉默,bao3 chi2   chen2 mo4,7
12866,的 支持者们,de   zhi1 chi2 zhe3 men,7
14874,持续 了,chi2 xu4   le,6
17369,保持 平静,bao3 chi2   ping2 jing4,5
17375,保持 联系,bao3 chi2   lian2 xi4,5
19183,他 坚持,ta1   jian1 chi2,5
19217,支持 塞德里克•迪戈 里 的,zhi1 chi2   sai1 de2 li3 ke4 • di2 ge1   li3   de,5
19218,支持 塞德里克•迪戈 里,zhi1 chi2   sai1 de2 li3 ke4 • di2 ge1   li3,5
19219,支持 塞德里克•迪戈,zhi1 chi2   sai1 de2 li3 ke4 • di2 ge1,5
19224,支持 塞德里克•迪戈 里 的 徽章,zhi1 chi2   sai1 de2 li3 ke4 • di2 ge1   li3   de   hui1 zhang1,5
19355,时刻 保持 警惕,shi2 ke4   bao3 chi2   jing3 ti4,5
19358,时刻 保持,shi2 ke4   bao3 chi2,5
20645,的 支持,de   zhi1 chi2,5
