Order Number,Item,Pinyin,Frequency
2608,交换 了,jiao1 huan4   le,23
3442,换 了,huan4   le,19
4768,交换 了 一下,jiao1 huan4   le   yi1 xia4,14
9298,地 交换,di4   jiao1 huan4,9
10141,换 了 我,huan4   le   wo3,8
12402,交换 了 一下 目光,jiao1 huan4   le   yi1 xia4   mu4 guang1,7
13990,交换 了 一 个,jiao1 huan4   le   yi1   ge4,6
13992,交换 了 一,jiao1 huan4   le   yi1,6
14888,换 一,huan4   yi1,6
14889,换上 睡衣,huan4 shang4   shui4 yi1,6
16121,地 交换 了,di4   jiao1 huan4   le,6
16122,地 交换 了 一下,di4   jiao1 huan4   le   yi1 xia4,6
17826,交换 了 一下 眼色,jiao1 huan4   le   yi1 xia4   yan3 se4,5
19143,换上 了,huan4 shang4   le,5
19357,时间 转换器,shi2 jian1   zhuan3 huan4 qi4,5
