Order Number,Item,Pinyin,Frequency
35,麦格 教授,mai4 ge2   jiao4 shou4,405
242,卢平 教授,lu2 ping2   jiao4 shou4,128
286,特里劳尼 教授,te4 li3 lao2 ni2   jiao4 shou4,113
379,教授 说,jiao4 shou4   shuo1,93
388,教授 的,jiao4 shou4   de,91
620,邓布利多 教授,deng4 bu4 li4 duo1   jiao4 shou4,67
848,弗立维 教授,fu2 li4 wei2   jiao4 shou4,54
898,斯内普 教授,si1 nei4 pu3   jiao4 shou4,52
929,麦格 教授 说,mai4 ge2   jiao4 shou4   shuo1,51
1212,斯普劳特 教授,si1 pu3 lao2 te4   jiao4 shou4,42
1936,穆迪 教授,mu4 di2   jiao4 shou4,29
2429,麦格 教授 的,mai4 ge2   jiao4 shou4   de,25
2583,利多 教授,li4 duo1   jiao4 shou4,23
3135,奇洛 教授,qi2 luo4   jiao4 shou4,20
3216,教授 在,jiao4 shou4   zai4,20
3237,宾斯 教授,bin1 si1   jiao4 shou4,20
3386,邓布 利多 教授,deng4 bu4   li4 duo1   jiao4 shou4,19
3420,教授 是,jiao4 shou4   shi4,19
3424,教授 和,jiao4 shou4   he2,19
3536,特里劳尼 教授 的,te4 li3 lao2 ni2   jiao4 shou4   de,18
4191,卢平 教授 说,lu2 ping2   jiao4 shou4   shuo1,16
4283,教授 用,jiao4 shou4   yong4,16
4936,卡卡洛夫 教授,ka3 ka3 luo4 fu1   jiao4 shou4,14
5180,格拉普兰 教授,ge2 la1 pu3 lan2   jiao4 shou4,14
5409,劳尼 教授,lao2 ni2   jiao4 shou4,13
5534,教授 又,jiao4 shou4   you4,13
5535,教授 把,jiao4 shou4   ba3,13
5965,洛哈特 教授,luo4 ha1 te4   jiao4 shou4,12
6912,和 麦格 教授,he2   mai4 ge2   jiao4 shou4,11
7183,麦格 教授 和,mai4 ge2   jiao4 shou4   he2,11
7570,卢平 教授 的,lu2 ping2   jiao4 shou4   de,10
7697,了 麦格 教授,le   mai4 ge2   jiao4 shou4,10
7833,教授 从,jiao4 shou4   cong2,10
7834,教授 就,jiao4 shou4   jiu4,10
8522,麦格 教授 在,mai4 ge2   jiao4 shou4   zai4,9
8824,教授 没有,jiao4 shou4   mei2 you3,9
10188,教授 不,jiao4 shou4   bu4,8
10189,教授 也,jiao4 shou4   ye3,8
10193,教授 对,jiao4 shou4   dui4,8
10194,教授 的 声音,jiao4 shou4   de   sheng1 yin1,8
10196,教授 给,jiao4 shou4   gei3,8
10610,特里 劳尼 教授,te4 li3   lao2 ni2   jiao4 shou4,8
10611,特里劳尼 教授 说,te4 li3 lao2 ni2   jiao4 shou4   shuo1,8
10919,麦格 教授 把,mai4 ge2   jiao4 shou4   ba3,8
11679,麦格 教授 用,mai4 ge2   jiao4 shou4   yong4,7
12139,教授 一,jiao4 shou4   yi1,7
12142,教授 告诉,jiao4 shou4   gao4 su4,7
12166,斯普劳特 教授 说,si1 pu3 lao2 te4   jiao4 shou4   shuo1,7
12985,在 麦格 教授,zai4   mai4 ge2   jiao4 shou4,7
13184,着 麦格 教授,zhe   mai4 ge2   jiao4 shou4,6
14061,平 教授,ping2   jiao4 shou4,6
14350,麦格 教授 严厉 地,mai4 ge2   jiao4 shou4   yan2 li4   di4,6
14351,麦格 教授 从,mai4 ge2   jiao4 shou4   cong2,6
14352,麦格 教授 严厉,mai4 ge2   jiao4 shou4   yan2 li4,6
14528,卢 平 教授,lu2   ping2   jiao4 shou4,6
14966,教授 严厉,jiao4 shou4   yan2 li4,6
14967,教授 严厉 地,jiao4 shou4   yan2 li4   di4,6
14969,教授 似乎,jiao4 shou4   si4 hu1,6
14970,教授 喊道,jiao4 shou4   han3 dao4,6
14971,教授 叫,jiao4 shou4   jiao4,6
14974,教授 布置,jiao4 shou4   bu4 zhi4,6
14979,教授 站,jiao4 shou4   zhan4,6
14980,教授 突然,jiao4 shou4   tu1 ran2,6
14981,教授 说 着,jiao4 shou4   shuo1   zhe,6
14982,教授 继续,jiao4 shou4   ji4 xu4,6
15199,和 弗立维 教授,he2   fu2 li4 wei2   jiao4 shou4,6
16795,维克多 教授,wei2 ke4 duo1   jiao4 shou4,5
17496,跟 麦格 教授,gen1   mai4 ge2   jiao4 shou4,5
17560,辛尼斯塔 教授,xin1 ni2 si1 ta3   jiao4 shou4,5
18016,里 劳尼 教授,li3   lao2 ni2   jiao4 shou4,5
18072,弗立维 教授 的,fu2 li4 wei2   jiao4 shou4   de,5
18367,麦格 教授 对,mai4 ge2   jiao4 shou4   dui4,5
18368,麦格 教授 又,mai4 ge2   jiao4 shou4   you4,5
19255,教授 厉声,jiao4 shou4   li4 sheng1,5
19262,教授 坐 在,jiao4 shou4   zuo4   zai4,5
19263,教授 坐,jiao4 shou4   zuo4,5
19264,教授 回来,jiao4 shou4   hui2 lai2,5
19266,教授 正,jiao4 shou4   zheng4,5
19267,教授 布置 的,jiao4 shou4   bu4 zhi4   de,5
19268,教授 大声,jiao4 shou4   da4 sheng1,5
19270,教授 的 办公室,jiao4 shou4   de   ban4 gong1 shi4,5
19271,教授 正在,jiao4 shou4   zheng4 zai4,5
19501,是 斯内普 教授,shi4   si1 nei4 pu3   jiao4 shou4,5
19582,是 麦格 教授,shi4   mai4 ge2   jiao4 shou4,5
19686,和 邓布利多 教授,he2   deng4 bu4 li4 duo1   jiao4 shou4,5
20285,特 里 劳尼 教授,te4   li3   lao2 ni2   jiao4 shou4,5
20502,的 卢平 教授,de   lu2 ping2   jiao4 shou4,5
