Order Number,Item,Pinyin,Frequency
1236,掏出 一,tao1 chu1   yi1,42
1610,里 掏出,li3   tao1 chu1,34
3063,里 掏出 一,li3   tao1 chu1   yi1,21
3186,口袋 里 掏出,kou3 dai4   li3   tao1 chu1,20
4182,从 口袋 里 掏出,cong2   kou3 dai4   li3   tao1 chu1,16
5495,口袋 里 掏出 一,kou3 dai4   li3   tao1 chu1   yi1,13
7545,从 口袋 里 掏出 一,cong2   kou3 dai4   li3   tao1 chu1   yi1,10
7704,掏出 了,tao1 chu1   le,10
10147,掏出 一 个,tao1 chu1   yi1   ge4,8
10220,掏出 一 块,tao1 chu1   yi1   kuai4,8
12093,掏出 一 只,tao1 chu1   yi1   zhi3,7
14898,掏出 魔杖,tao1 chu1   mo2 zhang4,6
19145,掏 出来,tao1   chu1 lai2,5
19146,掏 了,tao1   le,5
19150,掏出 一 张,tao1 chu1   yi1   zhang1,5
