Order Number,Item,Pinyin,Frequency
1453,一 支,yi1   zhi1,37
8814,支撑 着,zhi1 cheng1   zhe,9
9959,一 支 羽毛笔,yi1   zhi1   yu3 mao2 bi3,8
10177,支 羽毛笔,zhi1   yu3 mao2 bi3,8
12866,的 支持者们,de   zhi1 chi2 zhe3 men,7
14947,支 蜡烛,zhi1   la4 zhu2,6
16082,了 一 支,le   yi1   zhi1,6
19217,支持 塞德里克•迪戈 里 的,zhi1 chi2   sai1 de2 li3 ke4 • di2 ge1   li3   de,5
19218,支持 塞德里克•迪戈 里,zhi1 chi2   sai1 de2 li3 ke4 • di2 ge1   li3,5
19219,支持 塞德里克•迪戈,zhi1 chi2   sai1 de2 li3 ke4 • di2 ge1,5
19220,支 着,zhi1   zhe,5
19224,支持 塞德里克•迪戈 里 的 徽章,zhi1 chi2   sai1 de2 li3 ke4 • di2 ge1   li3   de   hui1 zhang1,5
20645,的 支持,de   zhi1 chi2,5
