Order Number,Item,Pinyin,Frequency
557,拉文 克劳,la1 wen2   ke4 lao2,72
3122,的 文字,de   wen2 zi4,20
5493,拉文 克劳 的,la1 wen2   ke4 lao2   de,13
5739,的 文章,de   wen2 zhang1,13
6333,的 英文,de   ying1 wen2,12
6549,篇 文章,pian1   wen2 zhang1,11
6807,拉文 克劳 和,la1 wen2   ke4 lao2   he2,11
11207,如 尼文,ru2   ni2 wen2,7
11405,了 拉文,le   la1 wen2,7
12159,文章 里,wen2 zhang1   li3,7
12343,和 拉文德,he2   la1 wen2 de2,7
13438,了 拉文 克劳,le   la1 wen2   ke4 lao2,6
14030,帕瓦蒂 和 拉文德,pa4 wa3 di4   he2   la1 wen2 de2,6
14050,那 篇 文章,na4   pian1   wen2 zhang1,6
14842,拉文 克劳 和 赫奇 帕奇,la1 wen2   ke4 lao2   he2   he4 qi2   pa4 qi2,6
14843,拉文 克劳 和 赫奇,la1 wen2   ke4 lao2   he2   he4 qi2,6
15935,在 拉文 克劳,zai4   la1 wen2   ke4 lao2,6
15936,在 拉文,zai4   la1 wen2,6
16096,的 论文,de   lun4 wen2,6
19076,拉文 克劳队,la1 wen2   ke4 lao2 dui4,5
19294,文章 的,wen2 zhang1   de,5
20648,的 文件,de   wen2 jian4,5
