Order Number,Item,Pinyin,Frequency
719,旁边 的,pang2 bian1   de,61
1204,桌子 旁,zhuo1 zi   pang2,43
2454,在 旁边,zai4   pang2 bian1,24
2505,在 一旁,zai4   yi1 pang2,24
3401,他 旁边,ta1   pang2 bian1,19
3697,旁边 的 一,pang2 bian1   de   yi1,18
3937,旁边 一,pang2 bian1   yi1,17
4606,旁 的,pang2   de,15
5339,的 桌子 旁,de   zhuo1 zi   pang2,13
5717,在 他 旁边,zai4   ta1   pang2 bian1,13
7963,张 桌子 旁,zhang1   zhuo1 zi   pang2,10
9275,餐桌 旁,can1 zhuo1   pang2,9
9630,身 旁,shen1   pang2,8
10187,教工 桌子 旁,jiao4 gong1   zhuo1 zi   pang2,8
10217,旁 的 一,pang2   de   yi1,8
10218,旁边 有,pang2 bian1   you3,8
10707,他们 旁边,ta1 men   pang2 bian1,8
12178,旁边 是,pang2 bian1   shi4,7
12179,旁边 的 那,pang2 bian1   de   na4,7
12515,哈利 旁边,ha1 li4   pang2 bian1,7
12935,在 近旁,zai4   jin4 pang2,7
13842,近旁 的,jin4 pang2   de,6
13876,一 张 桌子 旁,yi1   zhang1   zhuo1 zi   pang2,6
15007,旁边 一 个,pang2 bian1   yi1   ge4,6
15009,旁边 那,pang2 bian1   na4,6
15533,他 身 旁,ta1   shen1   pang2,6
15855,在 哈利 旁边,zai4   ha1 li4   pang2 bian1,6
16944,她 旁边,ta1   pang2 bian1,5
18726,两 旁,liang3   pang2,5
19317,旁 坐下,pang2   zuo4 xia4,5
19325,旁 站,pang2   zhan4,5
19326,旁边 的 一 个,pang2 bian1   de   yi1   ge4,5
19763,朝 旁边,chao2   pang2 bian1,5
19894,桌子 旁 的,zhuo1 zi   pang2   de,5
19980,哈利 旁边 的,ha1 li4   pang2 bian1   de,5
20500,在 他 身 旁,zai4   ta1   shen1   pang2,5
20654,在 旁边 的,zai4   pang2 bian1   de,5
