Order Number,Item,Pinyin,Frequency
648,早 就,zao3   jiu4,64
1353,吃 早饭,chi1   zao3 fan4,39
2555,天 早晨,tian1   zao3 chen2,24
2835,我 早,wo3   zao3,22
3051,我 早 就,wo3   zao3   jiu4,21
3451,早 就 知道,zao3   jiu4   zhi1 dao4,19
4803,第二 天 早晨,di4 er4   tian1   zao3 chen2,14
5653,早饭 时,zao3 fan4   shi2,13
5992,今天 早晨,jin1 tian1   zao3 chen2,12
7341,天 早上,tian1   zao3 shang4,10
7592,我 早 就 知道,wo3   zao3   jiu4   zhi1 dao4,10
7738,吃 早饭 时,chi1   zao3 fan4   shi2,10
7747,早上 好,zao3 shang4   hao3,10
7748,早饭 的,zao3 fan4   de,10
7789,他 早,ta1   zao3,10
8466,下楼 吃 早饭,xia4 lou2   chi1   zao3 fan4,9
8827,吃 早饭 的,chi1   zao3 fan4   de,9
8844,早 已,zao3   yi3,9
11720,今天 早上,jin1 tian1   zao3 shang4,7
12285,他 早 就,ta1   zao3   jiu4,7
13336,第二 天 早上,di4 er4   tian1   zao3 shang4,6
14990,吃 早饭 的 时候,chi1   zao3 fan4   de   shi2 hou4,6
15019,早 该,zao3   gai1,6
15021,早饭 的 时候,zao3 fan4   de   shi2 hou4,6
15032,明天 早晨,ming2 tian1   zao3 chen2,6
16713,天 吃 早饭,tian1   chi1   zao3 fan4,5
17579,过 早饭,guo4   zao3 fan4,5
18737,一 早,yi1   zao3,5
19295,吃 过 早饭,chi1   guo4   zao3 fan4,5
19977,每 天 早晨,mei3   tian1   zao3 chen2,5
