Order Number,Item,Pinyin,Frequency
551,个 月,ge4   yue4,73
1956,一 个 月,yi1   ge4   yue4,29
5134,几 个 月,ji3   ge4   yue4,14
6904,月亮 脸,yue4 liang4   lian3,11
7215,月 来,yue4   lai2,10
8931,月光 下,yue4 guang1   xia4,9
9161,个 月 来,ge4   yue4   lai2,9
9950,半月形 的,ban4 yue4 xing2   de,8
10212,新月 街,xin1 yue4   jie1,8
10780,在 月光,zai4   yue4 guang1,8
11540,花 新月,hua1   xin1 yue4,7
11542,花 新月 街,hua1   xin1 yue4   jie1,7
12224,个 月 的,ge4   yue4   de,7
12359,月 的,yue4   de,7
12425,木兰 花 新月,mu4 lan2   hua1   xin1 yue4,7
12427,木兰 花 新月 街,mu4 lan2   hua1   xin1 yue4   jie1,7
12640,九月 一日,jiu3 yue4   yi1 ri4,7
13980,八月 二日,ba1 yue4   er4 ri4,6
14509,两 个 月,liang3   ge4   yue4,6
15951,在 月光 下,zai4   yue4 guang1   xia4,6
17722,二月 二十四日,er4 yue4   er4 shi2 si4 ri4,5
18965,一 个 月 来,yi1   ge4   yue4   lai2,5
19391,个 月 前,ge4   yue4   qian2,5
19402,个 月 里,ge4   yue4   li3,5
19663,月 前,yue4   qian2,5
19664,月 里,yue4   li3,5
20519,在 八月,zai4   ba1 yue4,5
20744,了 一 个 月,le   yi1   ge4   yue4,5
