Order Number,Item,Pinyin,Frequency
455,根本 不,gen1 ben3   bu4,82
565,一 本,yi1   ben3,71
736,本 书,ben3   shu1,60
1305,那 本,na4   ben3,40
1502,根本 没有,gen1 ben3   mei2 you3,36
1768,根本 就,gen1 ben3   jiu4,32
2269,这 本,zhe4   ben3,26
3015,本 日记,ben3   ri4 ji4,21
3138,他 根本,ta1   gen1 ben3,20
3549,根本 没,gen1 ben3   mei2,18
4094,原原本本 地,yuan2 yuan2 ben3 ben3   di4,16
4341,一 本 书,yi1   ben3   shu1,16
4640,那 本 书,na4   ben3   shu1,15
4699,这 本 书,zhe4   ben3   shu1,15
5013,根本 不 知道,gen1 ben3   bu4   zhi1 dao4,14
5443,我 本来,wo3   ben3 lai2,13
5603,本来 就,ben3 lai2   jiu4,13
5617,根本 就 不,gen1 ben3   jiu4   bu4,13
6227,根本 就 没有,gen1 ben3   jiu4   mei2 you3,12
6690,一本正经 地,yi1 ben3 zheng4 jing1   di4,11
7097,这 本 日记,zhe4   ben3   ri4 ji4,11
8913,他 本来,ta1   ben3 lai2,9
9398,似乎 根本,si4 hu1   gen1 ben3,8
9574,一本正经 地 说,yi1 ben3 zheng4 jing1   di4   shuo1,8
10247,几 本,ji3   ben3,8
10319,他 本人,ta1   ben3 ren2,8
10322,他 根本 不,ta1   gen1 ben3   bu4,8
10393,本来 想,ben3 lai2   xiang3,8
10394,本能 地,ben3 neng2   di4,8
10423,根本 不 是,gen1 ben3   bu4   shi4,8
11196,好像 根本,hao3 xiang4   gen1 ben3,7
11493,那 本 日记,na4   ben3   ri4 ji4,7
11858,原原本本 地 告诉,yuan2 yuan2 ben3 ben3   di4   gao4 su4,7
11863,我 根本,wo3   gen1 ben3,7
12995,的 那 本,de   na4   ben3,7
13479,你 本来,ni3   ben3 lai2,6
14807,把 课本,ba3   ke4 ben3,6
15301,本 书 里,ben3   shu1   li3,6
15303,本 想,ben3   xiang3,6
15305,本来 是,ben3 lai2   shi4,6
15365,根本 不 可能,gen1 ben3   bu4   ke3 neng2,6
16104,的 课本,de   ke4 ben3,6
17653,事情 原原本本 地,shi4 qing2   yuan2 yuan2 ben3 ben3   di4,5
17658,事情 原原本本,shi4 qing2   yuan2 yuan2 ben3 ben3,5
17899,其实 根本,qi2 shi2   gen1 ben3,5
18845,一 本 名叫,yi1   ben3   ming2 jiao4,5
19313,新 课本,xin1   ke4 ben3,5
19512,是 根本,shi4   gen1 ben3,5
19638,他 根本 就,ta1   gen1 ben3   jiu4,5
19677,有 一 本,you3   yi1   ben3,5
19782,本 书 的,ben3   shu1   de,5
19783,本 书 主人公,ben3   shu1   zhu3 ren2 gong1,5
19786,本来 就 不,ben3 lai2   jiu4   bu4,5
19787,本来 以为,ben3 lai2   yi3 wei2,5
19788,本 名叫,ben3   ming2 jiao4,5
19790,本来 还,ben3 lai2   hai2,5
19878,根本 不 像,gen1 ben3   bu4   xiang4,5
19879,根本 没有 注意,gen1 ben3   mei2 you3   zhu4 yi4,5
19986,哈利 根本,ha1 li4   gen1 ben3,5
19988,哈利 本,ha1 li4   ben3,5
20521,他们 根本,ta1 men   gen1 ben3,5
