Order Number,Item,Pinyin,Frequency
56,一 条,yi1   tiao2,330
314,那 条,na4   tiao2,106
1563,两 条,liang3   tiao2,35
1643,是 一 条,shi4   yi1   tiao2,34
1657,条 腿,tiao2   tui3,33
1663,这 条,zhe4   tiao2,33
1786,了 一 条,le   yi1   tiao2,31
1912,着 一 条,zhe   yi1   tiao2,30
2004,条 火龙,tiao2   huo3 long2,29
2326,条 狗,tiao2   gou3,25
2509,条 路,tiao2   lu4,24
2657,一 条 火龙,yi1   tiao2   huo3 long2,23
2981,的 一 条,de   yi1   tiao2,21
3356,条 蛇,tiao2   she2,19
3421,条 大,tiao2   da4,19
3731,的 那 条,de   na4   tiao2,18
4470,有 一 条,you3   yi1   tiao2,15
4678,一 条 腿,yi1   tiao2   tui3,15
5438,一 条 路,yi1   tiao2   lu4,13
5606,条 走廊,tiao2   zou3 lang2,13
6080,一 条 走廊,yi1   tiao2   zou3 lang2,12
6169,像 一 条,xiang4   yi1   tiao2,12
6306,张 纸条,zhang1   zhi3 tiao2,12
6331,几 条,ji3   tiao2,12
6574,那 条 大,na4   tiao2   da4,11
6930,条 缝,tiao2   feng4,11
6964,那 条 狗,na4   tiao2   gou3,11
7595,两 条 腿,liang3   tiao2   tui3,10
7966,四 条,si4   tiao2,10
8713,一 条 缝,yi1   tiao2   feng4,9
8970,条 炸 尾螺,tiao2   zha4   wei3 luo2,9
8971,条 炸,tiao2   zha4,9
8973,条 街,tiao2   jie1,9
9003,那 条 蛇,na4   tiao2   she2,9
9743,那 条 大 狗,na4   tiao2   da4   gou3,8
10029,一 条 大,yi1   tiao2   da4,8
10046,一 条 狗,yi1   tiao2   gou3,8
10092,另 一 条,ling4   yi1   tiao2,8
10397,条 三,tiao2   san1,8
10398,条 三 个,tiao2   san1   ge4,8
10399,条 三 个 脑袋,tiao2   san1   ge4   nao3 dai4,8
10400,条 三 个 脑袋 的,tiao2   san1   ge4   nao3 dai4   de,8
10401,条 大 狗,tiao2   da4   gou3,8
10403,条 通道,tiao2   tong1 dao4,8
10688,在 一 条,zai4   yi1   tiao2,8
10988,着 那 条,zhe   na4   tiao2,7
11380,过 一 条,guo4   yi1   tiao2,7
11987,一 条 蛇,yi1   tiao2   she2,7
12124,一 张 纸条,yi1   zhang1   zhi3 tiao2,7
12699,张 字条,zhang1   zi4 tiao2,7
13376,细 条纹,xi4   tiao2 wen2,6
13377,纸条 上,zhi3 tiao2   shang4,6
13727,了 那 条,le   na4   tiao2,6
14692,一 条 炸,yi1   tiao2   zha4,6
14704,一 条 炸 尾螺,yi1   tiao2   zha4   wei3 luo2,6
15616,他 那 条,ta1   na4   tiao2,6
15949,的 是 一 条,de   shi4   yi1   tiao2,6
17700,这 条 路,zhe4   tiao2   lu4,5
17879,那 条 三,na4   tiao2   san1,5
17881,那 条 三 个 脑袋,na4   tiao2   san1   ge4   nao3 dai4,5
17882,那 条 三 个 脑袋 的,na4   tiao2   san1   ge4   nao3 dai4   de,5
17883,那 条 三 个,na4   tiao2   san1   ge4,5
19002,把 那 条,ba3   na4   tiao2,5
19082,一 条 通道,yi1   tiao2   tong1 dao4,5
19801,条 三 个 脑袋 的 大,tiao2   san1   ge4   nao3 dai4   de   da4,5
19803,条 胳膊,tiao2   ge1 bo2,5
19804,条 秘密,tiao2   mi4 mi4,5
19805,条 船,tiao2   chuan2,5
19807,条 长长 的,tiao2   chang2 chang2   de,5
19808,条 长长,tiao2   chang2 chang2,5
19810,条 鼻涕虫,tiao2   bi2 ti4 chong2,5
19976,每 一 条,mei3   yi1   tiao2,5
19983,每 条,mei3   tiao2,5
20416,的 一 条 腿,de   yi1   tiao2   tui3,5
20668,的 枝条,de   zhi1 tiao2,5
