Order Number,Item,Pinyin,Frequency
204,一 根,yi1   gen1,142
455,根本 不,gen1 ben3   bu4,82
1059,根 魔杖,gen1   mo2 zhang4,47
1502,根本 没有,gen1 ben3   mei2 you3,36
1768,根本 就,gen1 ben3   jiu4,32
2623,两 根,liang3   gen1,23
2923,那 根,na4   gen1,21
3138,他 根本,ta1   gen1 ben3,20
3389,一 根 魔杖,yi1   gen1   mo2 zhang4,19
3521,卡多根 爵士,ka3 duo1 gen1   jue2 shi4,18
3549,根本 没,gen1 ben3   mei2,18
4634,根 手指,gen1   shou3 zhi3,15
4762,着 一 根,zhe   yi1   gen1,14
5013,根本 不 知道,gen1 ben3   bu4   zhi1 dao4,14
5143,这 根,zhe4   gen1,14
5448,两 根 魔杖,liang3   gen1   mo2 zhang4,13
5511,一 根 手指,yi1   gen1   shou3 zhi3,13
5617,根本 就 不,gen1 ben3   jiu4   bu4,13
5719,几 根,ji3   gen1,13
6227,根本 就 没有,gen1 ben3   jiu4   mei2 you3,12
7152,了 一 根,le   yi1   gen1,11
7855,根 长长,gen1   chang2 chang2,10
7856,根 长长 的,gen1   chang2 chang2   de,10
7880,每 根,mei3   gen1,10
8778,一 根 长长,yi1   gen1   chang2 chang2,9
8782,一 根 长长 的,yi1   gen1   chang2 chang2   de,9
9162,的 一 根,de   yi1   gen1,9
9398,似乎 根本,si4 hu1   gen1 ben3,8
10242,是 一 根,shi4   yi1   gen1,8
10322,他 根本 不,ta1   gen1 ben3   bu4,8
10423,根本 不 是,gen1 ben3   bu4   shi4,8
10884,的 那 根,de   na4   gen1,8
11196,好像 根本,hao3 xiang4   gen1 ben3,7
11433,这 根 魔杖,zhe4   gen1   mo2 zhang4,7
11852,压根儿 就,ya4 gen1 er2   jiu4,7
11863,我 根本,wo3   gen1 ben3,7
12466,根 树枝,gen1   shu4 zhi1,7
15365,根本 不 可能,gen1 ben3   bu4   ke3 neng2,6
15426,每 一 根,mei3   yi1   gen1,6
16276,伸出 一 根,shen1 chu1   yi1   gen1,5
16306,着 一 根 魔杖,zhe   yi1   gen1   mo2 zhang4,5
17888,那 根 魔杖,na4   gen1   mo2 zhang4,5
17899,其实 根本,qi2 shi2   gen1 ben3,5
18939,把 一 根,ba3   yi1   gen1,5
19512,是 根本,shi4   gen1 ben3,5
19638,他 根本 就,ta1   gen1 ben3   jiu4,5
19679,有 一 根,you3   yi1   gen1,5
19873,根 头发,gen1   tou2 fa4,5
19878,根本 不 像,gen1 ben3   bu4   xiang4,5
19879,根本 没有 注意,gen1 ben3   mei2 you3   zhu4 yi4,5
19986,哈利 根本,ha1 li4   gen1 ben3,5
20361,用 一 根,yong4   yi1   gen1,5
20521,他们 根本,ta1 men   gen1 ben3,5
