Order Number,Item,Pinyin,Frequency
2448,很 清楚,hen3   qing1 chu3,24
2470,清楚 地,qing1 chu3   di4,24
4444,更 清楚,geng4   qing1 chu3,15
5939,不 清楚,bu4   qing1 chu3,12
6648,清楚 了,qing1 chu3   le,11
7155,得 很 清楚,de2   hen3   qing1 chu3,11
7162,得 更 清楚,de2   geng4   qing1 chu3,11
10924,看 得 更 清楚,kan4   de2   geng4   qing1 chu3,8
11788,说 清楚,shuo1   qing1 chu3,7
12546,哈利 清楚,ha1 li4   qing1 chu3,7
14133,弄 清楚,nong4   qing1 chu3,6
14332,得 更 清楚 些,de2   geng4   qing1 chu3   xie1,6
15183,更 清楚 些,geng4   qing1 chu3   xie1,6
15458,哈利 清楚 地,ha1 li4   qing1 chu3   di4,6
15569,清楚 些,qing1 chu3   xie1,6
15571,清楚 地 看到,qing1 chu3   di4   kan4 dao4,6
15574,清清楚楚 地,qing1 qing1 chu3 chu3   di4,6
20196,清楚 他,qing1 chu3   ta1,5
