Order Number,Item,Pinyin,Frequency
943,的 父母,de   fu4 mu3,51
2230,他 母亲,ta1   mu3 qin1,26
2275,父母 的,fu4 mu3   de,26
2771,母亲 的,mu3 qin1   de,22
2856,的 母亲,de   mu3 qin1,22
3172,我 母亲,wo3   mu3 qin1,20
3612,你 父母,ni3   fu4 mu3,18
4145,你 的 父母,ni3   de   fu4 mu3,16
5213,他 父母,ta1   fu4 mu3,13
6507,你 母亲,ni3   mu3 qin1,11
7330,我 的 父母,wo3   de   fu4 mu3,10
8437,你 父母 的,ni3   fu4 mu3   de,9
8976,他 的 父母,ta1   de   fu4 mu3,9
12347,他 母亲 的,ta1   mu3 qin1   de,7
12512,母亲 是,mu3 qin1   shi4,7
12550,哈利 父母,ha1 li4   fu4 mu3,7
12823,的 字母,de   zi4 mu3,7
14568,我 母亲 的,wo3   mu3 qin1   de,6
18732,我 父母,wo3   fu4 mu3,5
20272,父母 都,fu4 mu3   dou1,5
20273,父母 是,fu4 mu3   shi4,5
