Order Number,Item,Pinyin,Frequency
2148,波特 先生,bo1 te4   xian1 sheng1,27
3046,波特 的,bo1 te4   de,21
3950,波特 夫妇,bo1 te4   fu1 fu4,17
7786,是 波特,shi4   bo1 te4,10
10534,波特 在,bo1 te4   zai4,8
10535,波特 夫妇 的,bo1 te4   fu1 fu4   de,8
12018,把 波特,ba3   bo1 te4,7
12589,波特 和,bo1 te4   he2,7
12590,波特 是,bo1 te4   shi4,7
12591,波特 臭,bo1 te4   chou4,7
12625,哈利·波特 与,ha1 li4 · bo1 te4   yu3,7
14001,巴波 块茎,ba1 bo1   kuai4 jing1,6
15514,波特 不,bo1 te4   bu4,6
15518,波特 必须,bo1 te4   bi4 xu1,6
15520,波特 臭 大粪,bo1 te4   chou4   da4 fen4,6
15580,哈利·波特 先生,ha1 li4 · bo1 te4   xian1 sheng1,6
15980,的 波特,de   bo1 te4,6
17063,了 波特,le   bo1 te4,5
19651,和 波特,he2   bo1 te4,5
20120,波特 一,bo1 te4   yi1,5
20122,波特 会,bo1 te4   hui4,5
20123,波特 一 家,bo1 te4   yi1   jia1,5
20689,在 波特,zai4   bo1 te4,5
