Order Number,Item,Pinyin,Frequency
1917,活 着,huo2   zhe,30
1981,活 点,huo2   dian3,29
1996,活 点 地图,huo2   dian3   di4 tu2,29
2362,还 活,hai2   huo2,25
2373,还 活 着,hai2   huo2   zhe,25
2579,的 生活,de   sheng1 huo2,23
4487,活像 一,huo2 xiang4   yi1,15
6667,快活 地,kuai4 huo2   di4,11
9140,生活 的,sheng1 huo2   de,9
10547,活像 一 个,huo2 xiang4   yi1   ge4,8
10802,的 活动,de   huo2 dong4,8
11610,活动 的,huo2 dong4   de,7
13580,你 还 活,ni3   hai2   huo2,6
13584,你 还 活 着,ni3   hai2   huo2   zhe,6
14171,一起 生活,yi4 qi3   sheng1 huo2,6
15525,活 了,huo2   le,6
15526,活 下来,huo2   xia4 lai2,6
15527,活 板门,huo2   ban3 men2,6
15528,活 的,huo2   de,6
16952,能 活,neng2   huo2,5
17955,庆祝 活动,qing4 zhu4   huo2 dong4,5
18425,快 活,kuai4   huo2,5
18431,快活 地 说,kuai4 huo2   di4   shuo1,5
19470,个 活,ge4   huo2,5
20143,活 得,huo2   de2,5
