Order Number,Item,Pinyin,Frequency
4087,禁止 滥用,jin4 zhi3   lan4 yong4,16
7488,滥用 魔法,lan4 yong4   mo2 fa3,10
9400,禁止 滥用 魔法,jin4 zhi3   lan4 yong4   mo2 fa3,8
9402,禁止 滥用 麻瓜 物品 办公室,jin4 zhi3   lan4 yong4   ma2 gua1   wu4 pin3   ban4 gong1 shi4,8
9500,禁止 滥用 魔法 办公室,jin4 zhi3   lan4 yong4   mo2 fa3   ban4 gong1 shi4,8
9502,禁止 滥用 麻瓜,jin4 zhi3   lan4 yong4   ma2 gua1,8
9505,禁止 滥用 麻瓜 物品,jin4 zhi3   lan4 yong4   ma2 gua1   wu4 pin3,8
9856,滥用 魔法 办公室,lan4 yong4   mo2 fa3   ban4 gong1 shi4,8
10574,滥用 麻瓜,lan4 yong4   ma2 gua1,8
10576,滥用 麻瓜 物品 办公室,lan4 yong4   ma2 gua1   wu4 pin3   ban4 gong1 shi4,8
10577,滥用 麻瓜 物品,lan4 yong4   ma2 gua1   wu4 pin3,8
