Order Number,Item,Pinyin,Frequency
208,亲爱 的,qin1 ai4   de,139
2398,我 亲爱 的,wo3   qin1 ai4   de,25
2415,我 亲爱,wo3   qin1 ai4,25
5684,爱尔兰队 的,ai4 er3 lan2 dui4   de,13
6953,亲爱 的 孩子,qin1 ai4   de   hai2 zi,11
7723,可爱 的,ke3 ai4   de,10
9727,亲爱 的 哈利,qin1 ai4   de   ha1 li4,8
11716,专爱 搞,zhuan1 ai4   gao3,7
11719,专爱 搞 恶作剧,zhuan1 ai4   gao3   e4 zuo4 ju4,7
11721,专爱 搞 恶作剧 的,zhuan1 ai4   gao3   e4 zuo4 ju4   de,7
11791,慈爱 地,ci2 ai4   di4,7
14371,心爱 的,xin1 ai4   de,6
14510,我 亲爱 的 孩子,wo3   qin1 ai4   de   hai2 zi,6
15631,爱尔兰 的,ai4 er3 lan2   de,6
16985,不 爱,bu4   ai4,5
17861,亲爱 的 小,qin1 ai4   de   xiao3,5
18606,慈爱 地 说,ci2 ai4   di4   shuo1,5
