Order Number,Item,Pinyin,Frequency
286,特里劳尼 教授,te4 li3 lao2 ni2   jiao4 shou4,113
523,斯莱特林 的,si1 lai2 te4 lin2   de,76
1212,斯普劳特 教授,si1 pu3 lao2 te4   jiao4 shou4,42
1350,博格 特,bo2 ge2   te4,39
1506,德姆斯特朗 的,de2 mu3 si1 te4 lang3   de,36
1940,霍格沃茨 特 快,huo4 ge2 wo4 ci2   te4   kuai4,29
1942,特 快 列车,te4   kuai4   lie4 che1,29
1952,霍格沃茨 特,huo4 ge2 wo4 ci2   te4,29
1968,特 快,te4   kuai4,29
1973,霍格沃茨 特 快 列车,huo4 ge2 wo4 ci2   te4   kuai4   lie4 che1,29
2148,波特 先生,bo1 te4   xian1 sheng1,27
2546,洛哈特 的,luo4 ha1 te4   de,24
3046,波特 的,bo1 te4   de,21
3536,特里劳尼 教授 的,te4 li3 lao2 ni2   jiao4 shou4   de,18
3720,洛哈特 说,luo4 ha1 te4   shuo1,18
3950,波特 夫妇,bo1 te4   fu1 fu4,17
4646,斯莱特林 的 继承人,si1 lai2 te4 lin2   de   ji4 cheng2 ren2,15
5049,和 德姆斯特朗,he2   de2 mu3 si1 te4 lang3,14
5089,丽塔•斯基特 的,li4 ta3 • si1 ji1 te4   de,14
5637,斯莱特林 的 学生,si1 lai2 te4 lin2   de   xue2 sheng1,13
5743,是 斯莱特林,shi4   si1 lai2 te4 lin2,13
5805,和 斯莱特林,he2   si1 lai2 te4 lin2,12
5965,洛哈特 教授,luo4 ha1 te4   jiao4 shou4,12
6877,是 斯莱特林 的,shi4   si1 lai2 te4 lin2   de,11
7779,个 特别,ge4   te4 bie2,10
7786,是 波特,shi4   bo1 te4,10
7835,布斯巴顿 和 德姆斯特朗,bu4 si1 ba1 dun4   he2   de2 mu3 si1 te4 lang3,10
8834,斯莱特林队 的,si1 lai2 te4 lin2 dui4   de,9
8918,和 德姆斯特朗 的,he2   de2 mu3 si1 te4 lang3   de,9
9010,的 斯莱特林,de   si1 lai2 te4 lin2,9
9114,特别 的,te4 bie2   de,9
9236,在 斯莱特林,zai4   si1 lai2 te4 lin2,9
9250,的 洛哈特,de   luo4 ha1 te4,9
10221,个 斯莱特林,ge4   si1 lai2 te4 lin2,8
10534,波特 在,bo1 te4   zai4,8
10535,波特 夫妇 的,bo1 te4   fu1 fu4   de,8
10609,特里 劳尼,te4 li3   lao2 ni2,8
10610,特里 劳尼 教授,te4 li3   lao2 ni2   jiao4 shou4,8
10611,特里劳尼 教授 说,te4 li3 lao2 ni2   jiao4 shou4   shuo1,8
10905,得 特别,de2   te4 bie2,8
11395,奇特 的,qi2 te4   de,7
11684,德姆斯特朗 的 学生,de2 mu3 si1 te4 lang3   de   xue2 sheng1,7
12011,个 博格 特,ge4   bo2 ge2   te4,7
12018,把 波特,ba3   bo1 te4,7
12143,一 个 特别,yi1   ge4   te4 bie2,7
12166,斯普劳特 教授 说,si1 pu3 lao2 te4   jiao4 shou4   shuo1,7
12177,吉德罗•洛哈特 著,ji2 de2 luo2 • luo4 ha1 te4   zhu4,7
12313,显得 特别,xian3 de   te4 bie2,7
12346,和 斯莱特林 的,he2   si1 lai2 te4 lin2   de,7
12426,布斯巴顿 和 德姆斯特朗 的,bu4 si1 ba1 dun4   he2   de2 mu3 si1 te4 lang3   de,7
12589,波特 和,bo1 te4   he2,7
12590,波特 是,bo1 te4   shi4,7
12591,波特 臭,bo1 te4   chou4,7
12625,哈利·波特 与,ha1 li4 · bo1 te4   yu3,7
12672,特有 的,te4 you3   de,7
12673,特别 不,te4 bie2   bu4,7
13542,了 洛哈特,le   luo4 ha1 te4,6
14047,了 斯莱特林,le   si1 lai2 te4 lin2,6
14395,什么 特别,shen2 me   te4 bie2,6
15006,吉德罗•洛哈特 的,ji2 de2 luo2 • luo4 ha1 te4   de,6
15243,他 特别,ta1   te4 bie2,6
15514,波特 不,bo1 te4   bu4,6
15518,波特 必须,bo1 te4   bi4 xu1,6
15520,波特 臭 大粪,bo1 te4   chou4   da4 fen4,6
15580,哈利·波特 先生,ha1 li4 · bo1 te4   xian1 sheng1,6
15980,的 波特,de   bo1 te4,6
17063,了 波特,le   bo1 te4,5
17081,了 洛哈特 的,le   luo4 ha1 te4   de,5
17213,觉得 特别,jue2 de   te4 bie2,5
