Order Number,Item,Pinyin,Frequency
2953,怀疑 地,huai2 yi2   di4,21
3961,迟疑 了,chi2 yi2   le,17
5900,哈利 怀疑,ha1 li4   huai2 yi2,12
6852,无疑 是,wu2 yi2   shi4,11
6903,迟疑 地,chi2 yi2   di4,11
7499,怀疑 他,huai2 yi2   ta1,10
7500,怀疑 的,huai2 yi2   de,10
8415,迟疑 了 一下,chi2 yi2   le   yi1 xia4,9
9081,哈利 迟疑,ha1 li4   chi2 yi2,9
9974,我 怀疑,wo3   huai2 yi2,8
11463,迟疑 着,chi2 yi2   zhe,7
12197,他 怀疑,ta1   huai2 yi2,7
12634,他 迟疑,ta1   chi2 yi2,7
15562,哈利 迟疑 了,ha1 li4   chi2 yi2   le,6
17422,赫敏 迟疑,he4 min3   chi2 yi2,5
18436,怀疑 到,huai2 yi2   dao4,5
18437,怀疑 地 说,huai2 yi2   di4   shuo1,5
18694,我 怀疑 他,wo3   huai2 yi2   ta1,5
20388,疑惑 地,yi2 huo4   di4,5
20732,的 疑问,de   yi2 wen4,5
