Order Number,Item,Pinyin,Frequency
2,他 的,ta1   de,1857
8,的 一,de   yi1,651
9,我 的,wo3   de,646
10,的 声音,de   sheng1 yin1,596
12,哈利 的,ha1 li4   de,559
17,的 人,de   ren2,512
19,你 的,ni3   de,493
25,的 那,de   na4,456
34,自己 的,zi4 ji3   de,413
43,上 的,shang4   de,382
47,的 东西,de   dong1 xi1,368
48,她 的,ta1   de,366
53,里 的,li3   de,347
58,他们 的,ta1 men   de,323
63,的 时候,de   shi2 hou4,298
69,的 是,de   shi4,277
80,的 眼睛,de   yan3 jing1,251
84,的 事,de   shi4,242
91,的 脸,de   lian3,223
95,的 魔杖,de   mo2 zhang4,220
97,的 地方,de   di4 fang1,220
111,的 事情,de   shi4 qing2,198
116,的 大,de   da4,193
121,的 小,de   xiao3,188
123,它 的,ta1   de,187
146,了 他 的,le   ta1   de,169
149,人 的,ren2   de,168
150,说 的,shuo1   de,168
157,好 的,hao3   de,164
160,的 名字,de   ming2 zi4,163
164,罗恩 的,luo2 en1   de,160
167,的 巫师,de   wu1 shi1,160
173,的 目光,de   mu4 guang1,156
185,过 的,guo4   de,150
189,的 样子,de   yang4 zi,148
197,的 一 个,de   yi1   ge4,144
198,多 的,duo1   de,144
208,亲爱 的,qin1 ai4   de,139
210,是 的,shi4   de,137
212,的 话,de   hua4,137
216,海格 的,hai3 ge2   de,136
217,大 的,da4   de,136
219,这样 的,zhe4 yang4   de,136
222,我们 的,wo3 men   de,134
232,的 脑袋,de   nao3 dai4,131
235,长长 的,chang2 chang2   de,129
238,所有 的,suo3 you3   de,128
240,的 表情,de   biao3 qing2,128
250,的 学生,de   xue2 sheng1,124
253,的 头发,de   tou2 fa4,123
278,的 手,de   shou3,115
290,着 他 的,zhe   ta1   de,112
310,做 的,zuo4   de,107
328,巨大 的,ju4 da4   de,103
337,赫敏 的,he4 min3   de,101
339,霍格沃茨 的,huo4 ge2 wo4 ci2   de,101
351,出来 的,chu1 lai2   de,99
361,的 朋友,de   peng2 you3,95
370,的 门,de   men2,94
378,可怕 的,ke3 pa4   de,93
383,着 的,zhe   de,92
386,的 情况,de   qing2 kuang4,91
388,教授 的,jiao4 shou4   de,91
392,般 的,ban1   de,90
396,的 办公室,de   ban4 gong1 shi4,90
412,学校 的,xue2 xiao4   de,87
443,的 那个,de   na4 ge,84
449,的 每,de   mei3,84
450,的 胳膊,de   ge1 bo2,83
459,的 意思,de   yi4 si,82
460,的 声音 说,de   sheng1 yin1   shuo1,82
465,伏地魔 的,fu2 di4 mo2   de,82
489,知道 的,zhi1 dao4   de,79
505,的 神情,de   shen2 qing2,78
507,斯内普 的,si1 nei4 pu3   de,78
512,的 感觉,de   gan3 jue2,77
523,斯莱特林 的,si1 lai2 te4 lin2   de,76
529,你们 的,ni3 men   de,75
534,的 两,de   liang3,75
541,来 的,lai2   de,74
542,格兰芬 多 的,ge2 lan2 fen1   duo1   de,74
561,在 他 的,zai4   ta1   de,72
573,周围 的,zhou1 wei2   de,71
575,利多 的,li4 duo1   de,70
576,的 伤疤,de   shang1 ba1,70
585,的 一 声,de   yi1   sheng1,70
588,的 笑容,de   xiao4 rong2,69
610,的 黑,de   hei1,68
614,邓布 利多 的,deng4 bu4   li4 duo1   de,68
619,魔法 的,mo2 fa3   de,67
624,的 那些,de   na4 xie1,67
626,脸上 的,lian3 shang4   de,67
630,的 第一,de   di4 yi1,66
670,的 人 都,de   ren2   dou1,63
671,最 好 的,zui4   hao3   de,63
675,的 信,de   xin4,63
678,的 魔法,de   mo2 fa3,63
681,把 他 的,ba3   ta1   de,62
695,的 肩膀,de   jian1 bang3,62
701,的 几,de   ji3,61
704,的 耳朵,de   er3 duo3,61
707,发生 的,fa1 sheng1   de,61
712,的 走廊,de   zou3 lang2,61
719,旁边 的,pang2 bian1   de,61
723,着 哈利 的,zhe   ha1 li4   de,60
739,的 长袍,de   chang2 pao2,59
740,的 桌子,de   zhuo1 zi,59
743,的 箱子,de   xiang1 zi,59
746,的 鼻子,de   bi2 zi,59
752,的 同学,de   tong2 xue2,59
767,的 身体,de   shen1 ti3,58
772,麻瓜 的,ma2 gua1   de,58
785,先生 的,xian1 sheng1   de,57
790,的 手指,de   shou3 zhi3,57
792,中 的,zhong1   de,57
804,的 时间,de   shi2 jian1,56
808,漆黑 的,qi1 hei1   de,56
826,的 书,de   shu1,56
827,的 最,de   zui4,56
828,奇怪 的,qi2 guai4   de,56
829,的 那 个,de   na4   ge4,55
836,的 窗户,de   chuang1 hu4,55
850,的 问题,de   wen4 ti2,54
853,天狼星 的,tian1 lang2 xing1   de,54
856,了 哈利 的,le   ha1 li4   de,54
859,小 天狼星 的,xiao3   tian1 lang2 xing1   de,54
860,头 的,tou2   de,54
867,的 猫头鹰,de   mao1 tou2 ying1,54
868,用 的,yong4   de,54
872,的 飞天 扫帚,de   fei1 tian1   sao4 zhou3,53
880,的 飞天,de   fei1 tian1,53
892,的 一切,de   yi1 qie4,53
900,的 意思 是,de   yi4 si   shi4,52
912,我 的 意思,wo3   de   yi4 si,52
918,是 我 的,shi4   wo3   de,52
922,后面 的,hou4 mian4   de,52
927,的 房间,de   fang2 jian1,52
935,大大 的,da4 da4   de,51
943,的 父母,de   fu4 mu3,51
