Order Number,Item,Pinyin,Frequency
273,瞪 着,deng4   zhe,116
604,地 瞪,di4   deng4,68
928,地 瞪 着,di4   deng4   zhe,52
2188,地 瞪着,di4   deng4 zhe,27
2467,瞪 了,deng4   le,24
4386,地 瞪 了,di4   deng4   le,15
4467,瞪 着 他,deng4   zhe   ta1,15
4774,瞪 着 哈利,deng4   zhe   ha1 li4,14
4778,瞪大 了,deng4 da4   le,14
4945,狠狠 地 瞪,hen3 hen3   di4   deng4,14
6812,瞪大 眼睛,deng4 da4   yan3 jing1,11
7904,哈利 瞪,ha1 li4   deng4,10
8124,目瞪口呆 地,mu4 deng4 kou3 dai1   di4,10
8230,瞪着 他,deng4 zhe   ta1,9
9059,哈利 瞪 着,ha1 li4   deng4   zhe,9
9117,狠狠 地 瞪 着,hen3 hen3   di4   deng4   zhe,9
9386,瞪大 了 眼睛,deng4 da4   le   yan3 jing1,8
9456,瞪 着 她,deng4   zhe   ta1,8
9461,瞪视 着,deng4 shi4   zhe,8
10947,地 瞪 着 他,di4   deng4   zhe   ta1,8
12561,哈利 目瞪口呆,ha1 li4   mu4 deng4 kou3 dai1,7
13087,地 瞪着 他,di4   deng4 zhe   ta1,7
13203,瞪 着 他们,deng4   zhe   ta1 men,6
13207,瞪眼 望 着,deng4 yan3   wang4   zhe,6
13208,瞪眼 望,deng4 yan3   wang4,6
13403,瞪 了 他,deng4   le   ta1,6
15122,呆呆 地 瞪着,dai1 dai1   di4   deng4 zhe,6
16245,地 瞪 着 哈利,di4   deng4   zhe   ha1 li4,6
16291,眼睛 瞪,yan3 jing1   deng4,5
16447,瞪 了 他 一 眼,deng4   le   ta1   yi1   yan3,5
16448,瞪 了 他 一,deng4   le   ta1   yi1,5
16449,瞪 着 那,deng4   zhe   na4,5
16450,瞪大 眼睛 望 着,deng4 da4   yan3 jing1   wang4   zhe,5
16451,瞪大 眼睛 望,deng4 da4   yan3 jing1   wang4,5
16452,瞪 着 邓布利多,deng4   zhe   deng4 bu4 li4 duo1,5
16455,瞪着 哈利,deng4 zhe   ha1 li4,5
19939,他 瞪,ta1   deng4,5
19944,他 瞪 着,ta1   deng4   zhe,5
20014,气呼呼 地 瞪,qi4 hu1 hu1   di4   deng4,5
20081,哈利 目瞪口呆 地,ha1 li4   mu4 deng4 kou3 dai1   di4,5
20297,狠狠 地 瞪 了,hen3 hen3   di4   deng4   le,5
20749,的 目光 瞪,de   mu4 guang1   deng4,5
20958,目光 瞪,mu4 guang1   deng4,5
