Order Number,Item,Pinyin,Frequency
1537,在 空中,zai4   kong1 zhong1,36
1985,空荡荡 的,kong1 dang4 dang4   de,29
2482,的 天空,de   tian1 kong1,24
3667,的 夜空,de   ye4 kong1,18
3739,的 空气,de   kong1 qi4,18
4332,在 半空,zai4   ban4 kong1,16
4658,空空 的,kong1 kong1   de,15
4785,空地 上,kong4 di4   shang4,14
5419,半空 中,ban4 kong1   zhong1,13
5471,的 空,de   kong1,13
5875,空 椅子,kong1   yi3 zi,12
5876,空气 中,kong1 qi4   zhong1,12
6085,把 空,ba3   kong1,12
6140,向 空中,xiang4   kong1 zhong1,12
6476,空无一人 的,kong1 wu2 yi4 ren2   de,11
6523,空 的,kong1   de,11
7798,个 空,ge4   kong1,10
8189,夜空 中,ye4 kong1   zhong1,9
8190,空气 里,kong1 qi4   li3,9
8267,空 着,kong1   zhe,9
8738,把 空 椅子,ba3   kong1   yi3 zi,9
8905,一 片 空白,yi1   pian4   kong4 bai2,9
9084,一 个 空,yi1   ge4   kong1,9
9111,片 空地,pian4   kong4 di4,9
9112,片 空白,pian4   kong4 bai2,9
9201,在 半空 中,zai4   ban4 kong1   zhong1,9
9836,了 空中,le   kong1 zhong1,8
9870,一 把 空,yi1   ba3   kong1,8
9967,从 空中,cong2   kong1 zhong1,8
11028,空洞 的,kong1 dong4   de,7
11206,空 教室,kong1   jiao4 shi4,7
11697,一 把 空 椅子,yi1   ba3   kong1   yi3 zi,7
13127,一 间 空,yi1   jian1   kong1,6
13137,着 天空,zhe   tian1 kong1,6
13278,空 椅子 上,kong1   yi3 zi   shang4,6
13280,空中 的,kong1 zhong1   de,6
14432,悬 在 半空,xuan2   zai4   ban4 kong1,6
14503,升到 空中,sheng1 dao4   kong1 zhong1,6
15139,是 空 的,shi4   kong1   de,6
15140,是 空,shi4   kong1,6
15163,一 片 空地,yi1   pian4   kong4 di4,6
15800,间 空,jian1   kong1,6
16032,的 空地 上,de   kong4 di4   shang4,6
16033,的 空地,de   kong4 di4,6
16367,一 间 空 教室,yi1   jian1   kong1   jiao4 shi4,5
16433,了 半空,le   ban4 kong1,5
16582,空 了,kong1   le,5
18162,间 空 教室,jian1   kong1   jiao4 shi4,5
18215,凭空 编造,ping2 kong1   bian1 zao4,5
18283,飞到 空中,fei1 dao4   kong1 zhong1,5
19765,朝 空中,chao2   kong1 zhong1,5
20344,球场 上空,qiu2 chang3   shang4 kong1,5
20543,在 半空中,zai4   ban4 kong1 zhong1,5
20769,的 空间,de   kong1 jian1,5
20770,的 空气 中,de   kong1 qi4   zhong1,5
