Order Number,Item,Pinyin,Frequency
836,的 窗户,de   chuang1 hu4,55
1183,窗 外,chuang1   wai4,43
3411,的 窗口,de   chuang1 kou3,19
4193,着 窗,zhe   chuang1,16
4194,着 窗 外,zhe   chuang1   wai4,16
5266,窗户 上,chuang1 hu4   shang4,13
6026,从 窗口,cong2   chuang1 kou3,12
6061,扇 窗户,shan4   chuang1 hu4,12
6533,窗 外 的,chuang1   wai4   de,11
6534,窗台 上,chuang1 tai2   shang4,11
8957,望 着 窗,wang4   zhe   chuang1,9
8958,望 着 窗 外,wang4   zhe   chuang1   wai4,9
9266,的 窗户 上,de   chuang1 hu4   shang4,9
10823,在 窗,zai4   chuang1,8
11042,窗户 里,chuang1 hu4   li3,7
12144,敞开 的 窗口,chang3 kai1   de   chuang1 kou3,7
16037,的 窗帘,de   chuang1 lian2,6
16384,着 窗户,zhe   chuang1 hu4,5
16631,窗口 飞,chuang1 kou3   fei1,5
16632,窗帘 的,chuang1 lian2   de,5
17902,一 扇 窗户,yi1   shan4   chuang1 hu4,5
18989,把 窗户,ba3   chuang1 hu4,5
19916,橱窗 里,chu2 chuang1   li3,5
20112,没有 窗户,mei2 you3   chuang1 hu4,5
20720,在 窗台,zai4   chuang1 tai2,5
20730,在 窗户,zai4   chuang1 hu4,5
20737,在 窗台 上,zai4   chuang1 tai2   shang4,5
