Order Number,Item,Pinyin,Frequency
848,弗立维 教授,fu2 li4 wei2   jiao4 shou4,54
1723,立刻 就,li4 ke4   jiu4,32
3579,哈利 立刻,ha1 li4   li4 ke4,18
6535,立刻 说道,li4 ke4   shuo1 dao4,11
8381,他 立刻,ta1   li4 ke4,9
9606,赫敏 立刻,he4 min3   li4 ke4,8
11043,立刻 问道,li4 ke4   wen4 dao4,7
12335,和 弗立维,he2   fu2 li4 wei2,7
13298,立刻 把,li4 ke4   ba3,6
14145,弗立维 的,fu2 li4 wei2   de,6
15199,和 弗立维 教授,he2   fu2 li4 wei2   jiao4 shou4,6
16635,立 着,li4   zhe,5
16851,罗恩 立刻,luo2 en1   li4 ke4,5
16904,耸立 着,song3 li4   zhe,5
18072,弗立维 教授 的,fu2 li4 wei2   jiao4 shou4   de,5
