Order Number,Item,Pinyin,Frequency
1672,的 徽章,de   hui1 zhang1,33
5739,的 文章,de   wen2 zhang1,13
6549,篇 文章,pian1   wen2 zhang1,11
7316,第1 章,di4 1  zhang1,10
7317,第10 章,di4 10  zhang1,10
7321,第4 章,di4 4  zhang1,10
7322,第5 章,di4 5  zhang1,10
7324,第9 章,di4 9  zhang1,10
7392,第7 章,di4 7  zhang1,10
7586,第3 章,di4 3  zhang1,10
8204,第6 章,di4 6  zhang1,9
8205,第8 章,di4 8  zhang1,9
8293,第13 章,di4 13  zhang1,9
8294,第12 章,di4 12  zhang1,9
8296,第17 章,di4 17  zhang1,9
8298,第2 章,di4 2  zhang1,9
8299,第11 章,di4 11  zhang1,9
9421,第14 章,di4 14  zhang1,8
9558,第15 章,di4 15  zhang1,8
11089,级长 的 徽章,ji2 zhang3   de   hui1 zhang1,7
11257,第16 章,di4 16  zhang1,7
11258,第18 章,di4 18  zhang1,7
12159,文章 里,wen2 zhang1   li3,7
13374,级 勋章,ji2   xun1 zhang1,6
13606,章 魁地奇,zhang1   kui2 di4 qi2,6
14050,那 篇 文章,na4   pian1   wen2 zhang1,6
14781,把 徽章,ba3   hui1 zhang1,6
15630,里 的 徽章,li3   de   hui1 zhang1,6
16439,塞德里克•迪戈 里 的 徽章,sai1 de2 li3 ke4 • di2 ge1   li3   de   hui1 zhang1,5
16666,第22 章,di4 22  zhang1,5
16667,第20 章,di4 20  zhang1,5
16668,第19 章,di4 19  zhang1,5
16748,级长 徽章,ji2 zhang3   hui1 zhang1,5
19224,支持 塞德里克•迪戈 里 的 徽章,zhi1 chi2   sai1 de2 li3 ke4 • di2 ge1   li3   de   hui1 zhang1,5
19294,文章 的,wen2 zhang1   de,5
19850,枚 徽章,mei2   hui1 zhang1,5
20788,的 级长 徽章,de   ji2 zhang3   hui1 zhang1,5
20964,目次 第1 章,mu4 ci4   di4 1  zhang1,5
