Order Number,Item,Pinyin,Frequency
269,笑 了,xiao4   le,117
293,笑 着,xiao4   zhe,111
436,地 笑,di4   xiao4,84
588,的 笑容,de   xiao4 rong2,69
1356,笑 得,xiao4   de2,39
1442,地 笑 了,di4   xiao4   le,37
1556,地 笑 着,di4   xiao4   zhe,35
1644,笑 着 说,xiao4   zhe   shuo1,34
1653,微笑 着,wei1 xiao4   zhe,34
1806,的 微笑,de   wei1 xiao4,31
2125,笑 了 起来,xiao4   le   qi3 lai2,27
2534,笑眯眯 地,xiao4 mi1 mi1   di4,24
2697,一 笑,yi1   xiao4,23
2757,开 玩笑,kai1   wan2 xiao4,22
3019,的 笑声,de   xiao4 sheng1,21
3523,咯咯 地 笑,ge1 ge1   di4   xiao4,18
3802,笑 了 笑,xiao4   le   xiao4,17
3871,了 笑,le   xiao4,17
3905,嘴 笑,zui3   xiao4,17
4436,笑 起来,xiao4   qi3 lai2,15
4500,了 笑容,le   xiao4 rong2,15
4528,咧嘴 笑,lie3 zui3   xiao4,15
4700,在 开玩笑,zai4   kai1 wan2 xiao4,15
4793,大 笑,da4   xiao4,14
5222,咧开 嘴 笑,lie3 kai1   zui3   xiao4,13
5422,咧嘴 一 笑,lie3 zui3   yi1   xiao4,13
5602,放声 大笑,fang4 sheng1   da4 xiao4,13
5695,嘴 笑 了,zui3   xiao4   le,13
6200,咧嘴 笑 着,lie3 zui3   xiao4   zhe,12
6201,咧开 嘴 笑 了,lie3 kai1   zui3   xiao4   le,12
6482,笑 了 一下,xiao4   le   yi1 xia4,11
6540,笑话 店,xiao4 hua4   dian4,11
6568,你 在 开玩笑,ni3   zai4   kai1 wan2 xiao4,11
6608,脸上 的 笑容,lian3 shang4   de   xiao4 rong2,11
6853,哈利 笑,ha1 li4   xiao4,11
6995,微笑 着 说,wei1 xiao4   zhe   shuo1,11
7244,笑眯眯 地 望,xiao4 mi1 mi1   di4   wang4,10
7320,笑眯眯 地 望 着,xiao4 mi1 mi1   di4   wang4   zhe,10
7745,他 微笑,ta1   wei1 xiao4,10
7936,开玩笑 吧,kai1 wan2 xiao4   ba,10
8036,在 开玩笑 吧,zai4   kai1 wan2 xiao4   ba,10
8222,你 在 开玩笑 吧,ni3   zai4   kai1 wan2 xiao4   ba,9
9375,着 笑,zhe   xiao4,8
9378,地 笑 了 起来,di4   xiao4   le   qi3 lai2,8
9419,笑 得 更,xiao4   de2   geng4,8
9689,他 笑,ta1   xiao4,8
9844,得意 地 笑,de2 yi4   di4   xiao4,8
10183,可笑 的,ke3 xiao4   de,8
10268,是 开 玩笑,shi4   kai1   wan2 xiao4,8
10270,个 玩笑,ge4   wan2 xiao4,8
10540,都 笑,dou1   xiao4,8
10789,露出 了 笑容,lu4 chu1   le   xiao4 rong2,8
10922,得意 地 笑 着,de2 yi4   di4   xiao4   zhe,8
11044,大 笑 起来,da4   xiao4   qi3 lai2,7
11053,笑嘻嘻 地,xiao4 xi1 xi1   di4,7
11066,大笑 起来,da4 xiao4   qi3 lai2,7
