Order Number,Item,Pinyin,Frequency
336,等 着,deng3   zhe,101
1531,等 他,deng3   ta1,36
1576,没 等,mei2   deng3,35
1733,等待 着,deng3 dai4   zhe,32
3298,等 你,deng3   ni3,19
3547,等 我,deng3   wo3,18
3938,没 等 他,mei2   deng3   ta1,17
4345,等 了,deng3   le,16
4546,在 等,zai4   deng3,15
4929,在 等待,zai4   deng3 dai4,14
5450,等 他们,deng3   ta1 men,13
5680,一 等,yi1   deng3,13
5837,等 一 等,deng3   yi1   deng3,12
5884,等 一,deng3   yi1,12
7250,等 我们,deng3   wo3 men,10
7538,不 等,bu4   deng3,10
7603,我 等,wo3   deng3,10
8308,等 着 瞧,deng3   zhe   qiao2,9
8470,里 等,li3   deng3,9
9543,要 等,yao4   deng3,8
9568,等 在,deng3   zai4,8
9569,等 着 瞧 吧,deng3   zhe   qiao2   ba,8
9720,一直 等到,yi4 zhi2   deng3 dao4,8
11068,等待 时机,deng3 dai4   shi2 ji1,7
11090,但 没 等,dan4   mei2   deng3,7
11273,等 哈利,deng3   ha1 li4,7
11276,等 着 他们,deng3   zhe   ta1 men,7
13341,等 着 吧,deng3   zhe   ba,6
13961,这里 等,zhe4 li3   deng3,6
14070,那里 等,na4 li3   deng3,6
15507,哈利 等,ha1 li4   deng3,6
16010,在 等 着,zai4   deng3   zhe,6
16064,在 这里 等,zai4   zhe4 li3   deng3,6
16074,在 那里 等,zai4   na4 li3   deng3,6
16693,等 你们,deng3   ni3 men,5
16694,等 它,deng3   ta1,5
17042,你 等,ni3   deng3,5
17676,就 等,jiu4   deng3,5
17765,巫师 等级,wu1 shi1   deng3 ji2,5
18068,里 等 着,li3   deng3   zhe,5
19227,可是 没 等,ke3 shi4   mei2   deng3,5
19600,普通 巫师 等级,pu3 tong1   wu1 shi1   deng3 ji2,5
