Order Number,Item,Pinyin,Frequency
743,的 箱子,de   xiang1 zi,59
1101,箱子 里,xiang1 zi   li3,46
3236,在 箱子,zai4   xiang1 zi,20
4073,着 箱子,zhe   xiang1 zi,16
6792,把 箱子,ba3   xiang1 zi,11
8074,在 箱子 里,zai4   xiang1 zi   li3,10
10409,他 的 箱子,ta1   de   xiang1 zi,8
11045,大 箱子,da4   xiang1 zi,7
11076,箱子 里 的,xiang1 zi   li3   de,7
12555,哈利 的 箱子,ha1 li4   de   xiang1 zi,7
13353,箱子 和,xiang1 zi   he2,6
14537,从 箱子,cong2   xiang1 zi,6
14855,拖 着 箱子,tuo1   zhe   xiang1 zi,6
16045,的 箱子 里,de   xiang1 zi   li3,6
16712,箱子 上,xiang1 zi   shang4,5
17020,自己 的 箱子,zi4 ji3   de   xiang1 zi,5
17226,了 箱子,le   xiang1 zi,5
18285,飞天 扫帚 护理 工具箱,fei1 tian1   sao4 zhou3   hu4 li3   gong1 ju4 xiang1,5
18698,从 箱子 里,cong2   xiang1 zi   li3,5
18911,打开 箱子,da3 kai1   xiang1 zi,5
18925,扫帚 护理 工具箱,sao4 zhou3   hu4 li3   gong1 ju4 xiang1,5
19036,护理 工具箱,hu4 li3   gong1 ju4 xiang1,5
19234,放 在 箱子,fang4   zai4   xiang1 zi,5
20742,的 皮箱,de   pi2 xiang1,5
