Order Number,Item,Pinyin,Frequency
2913,粗声粗气 地,cu1 sheng1 cu1 qi4   di4,21
2975,着 粗气,zhe   cu1 qi4,21
3933,喘 着 粗气,chuan3   zhe   cu1 qi4,17
4202,粗声粗气 地 说,cu1 sheng1 cu1 qi4   di4   shuo1,16
4814,粗暴 地,cu1 bao4   di4,14
4817,粗糙 的,cu1 cao1   de,14
5228,粗大 的,cu1 da4   de,13
8322,粗声大气 地,cu1 sheng1 da4 qi4   di4,9
8347,粗暴 地 说,cu1 bao4   di4   shuo1,9
9024,他 粗声粗气,ta1   cu1 sheng1 cu1 qi4,9
9025,他 粗声粗气 地,ta1   cu1 sheng1 cu1 qi4   di4,9
9486,声音 粗哑 地,sheng1 yin1   cu1 ya3   di4,8
9488,声音 粗哑,sheng1 yin1   cu1 ya3,8
9583,粗哑 地,cu1 ya3   di4,8
13246,声音 粗哑 地 说,sheng1 yin1   cu1 ya3   di4   shuo1,6
13354,粗哑 地 说,cu1 ya3   di4   shuo1,6
16572,穆迪 粗声粗气,mu4 di2   cu1 sheng1 cu1 qi4,5
16573,穆迪 粗声粗气 地,mu4 di2   cu1 sheng1 cu1 qi4   di4,5
16574,穆迪 粗声,mu4 di2   cu1 sheng1,5
16719,粗声大气 地 说,cu1 sheng1 da4 qi4   di4   shuo1,5
17046,穆迪 粗声粗气 地 说,mu4 di2   cu1 sheng1 cu1 qi4   di4   shuo1,5
20001,他 粗声粗气 地 说,ta1   cu1 sheng1 cu1 qi4   di4   shuo1,5
