Order Number,Item,Pinyin,Frequency
196,给 你,gei3   ni3,145
201,给 他,gei3   ta1,143
251,给 我,gei3   wo3,123
801,给 他们,gei3   ta1 men,57
994,给 了,gei3   le,49
1304,要 给,yao4   gei3,40
1505,给 哈利,gei3   ha1 li4,36
1629,给 我们,gei3   wo3 men,34
1843,会 给,hui4   gei3,30
2211,我 给,wo3   gei3,26
2458,他 给,ta1   gei3,24
2651,你 给,ni3   gei3,23
2655,给 自己,gei3   zi4 ji3,23
2802,给 你们,gei3   ni3 men,22
2885,送给 他,song4 gei3   ta1,21
3030,还 给,hai2   gei3,21
3139,能 给,neng2   gei3,20
3341,想 给,xiang3   gei3,19
3531,给 他 的,gei3   ta1   de,18
3558,给 你 的,gei3   ni3   de,18
3694,递给 了,di4 gei3   le,18
4276,送给 他 的,song4 gei3   ta1   de,16
4320,就 给,jiu4   gei3,16
4399,送给 你,song4 gei3   ni3,15
4453,给 她,gei3   ta1,15
4455,给 小,gei3   xiao3,15
4819,给 小 天狼星,gei3   xiao3   tian1 lang2 xing1,14
4827,给 它,gei3   ta1,14
5758,在 给,zai4   gei3,13
5834,递给 哈利,di4 gei3   ha1 li4,12
5890,猫头鹰 给,mao1 tou2 ying1   gei3,12
6019,不 给,bu4   gei3,12
6167,是 给,shi4   gei3,12
6560,去 给,qu4   gei3,11
6562,给 人,gei3   ren2,11
6619,你 给 我,ni3   gei3   wo3,11
6938,来 给,lai2   gei3,11
6997,没有 给,mei2 you3   gei3,11
7358,给 了 他,gei3   le   ta1,10
7360,给 你 一,gei3   ni3   yi1,10
7362,给 大家,gei3   da4 jia1,10
7363,给 我 的,gei3   wo3   de,10
7829,递给 他,di4 gei3   ta1,10
7892,再 给,zai4   gei3,10
8302,它 给,ta1   gei3,9
8346,给 你 买,gei3   ni3   mai3,9
8351,给 我 一,gei3   wo3   yi1,9
8353,给 罗恩,gei3   luo2 en1,9
8507,要 给 你,yao4   gei3   ni3,9
9063,哈利 给,ha1 li4   gei3,9
9076,海格 给,hai3 ge2   gei3,9
9448,给 了 我,gei3   le   wo3,8
9453,给 邓布,gei3   deng4 bu4,8
9616,给 了 他 一,gei3   le   ta1   yi1,8
9622,给 他 买,gei3   ta1   mai3,8
9625,给 邓布 利多,gei3   deng4 bu4   li4 duo1,8
10016,我们 给,wo3 men   gei3,8
10196,教授 给,jiao4 shou4   gei3,8
10387,交给 我,jiao1 gei3   wo3,8
10466,为了 给,wei4 le   gei3,8
10734,他们 给,ta1 men   gei3,8
10986,地 给,di4   gei3,7
11059,着 给,zhe   gei3,7
11095,给 他们 看,gei3   ta1 men   kan4,7
11100,给 格兰芬,gei3   ge2 lan2 fen1,7
11101,给 格兰芬 多,gei3   ge2 lan2 fen1   duo1,7
11161,能 给 你,neng2   gei3   ni3,7
11166,她 给,ta1   gei3,7
11356,给 格兰芬多,gei3   ge2 lan2 fen1 duo1,7
11599,人 给,ren2   gei3,7
11874,信 给,xin4   gei3,7
11928,又 给,you4   gei3,7
12366,送给 哈利,song4 gei3   ha1 li4,7
13389,给 你 一 个,gei3   ni3   yi1   ge4,6
13391,给 它们,gei3   ta1 men,6
13394,给 海格,gei3   hai3 ge2,6
13395,给 达力,gei3   da2 li4,6
13680,寄给 他,ji4 gei3   ta1,6
13871,还 给 他,hai2   gei3   ta1,6
13984,递给 了 哈利,di4 gei3   le   ha1 li4,6
14103,应该 给,ying1 gai1   gei3,6
14465,东西 给,dong1 xi1   gei3,6
14598,我 要 给,wo3   yao4   gei3,6
14776,把 它 给,ba3   ta1   gei3,6
14851,只 猫头鹰 给,zhi3   mao1 tou2 ying1   gei3,6
14929,可以 给,ke3 yi3   gei3,6
15048,一 只 猫头鹰 给,yi1   zhi3   mao1 tou2 ying1   gei3,6
15231,送给 你 的,song4 gei3   ni3   de,6
15564,写信 给,xie3 xin4   gei3,6
15872,也 给,ye3   gei3,6
16198,会 给 你,hui4   gei3   ni3,6
16199,会 给 他,hui4   gei3   ta1,6
16388,着 给 他们,zhe   gei3   ta1 men,5
16765,给 一,gei3   yi1,5
16767,给 他 一,gei3   ta1   yi1,5
16770,给 他 带来,gei3   ta1   dai4 lai2,5
16775,给 你 念,gei3   ni3   nian4,5
16776,给 哈利 看,gei3   ha1 li4   kan4,5
16779,给 我 买,gei3   wo3   mai3,5
16780,给 小 天狼星 写信,gei3   xiao3   tian1 lang2 xing1   xie3 xin4,5
16782,给 我 找,gei3   wo3   zhao3,5
17103,妈妈 给,ma1 ma1   gei3,5
17428,封 信 给,feng1   xin4   gei3,5
17792,送给 他 的 礼物,song4 gei3   ta1   de   li3 wu4,5
17796,送给 我,song4 gei3   wo3,5
17807,递给 哈利 一,di4 gei3   ha1 li4   yi1,5
17869,带给 他,dai4 gei3   ta1,5
17934,再 给 你,zai4   gei3   ni3,5
17981,都 给,dou1   gei3,5
18329,刚 给,gang1   gei3,5
18543,想 给 你,xiang3   gei3   ni3,5
18764,我 给 你,wo3   gei3   ni3,5
18765,我 给 他,wo3   gei3   ta1,5
18920,扔给 哈利,reng1 gei3   ha1 li4,5
19273,教给 我们,jiao1 gei3   wo3 men,5
20066,没 给,mei2   gei3,5
20157,海德薇 给,hai3 de2 wei1   gei3,5
20755,在 给 他,zai4   gei3   ta1,5
