Order Number,Item,Pinyin,Frequency
275,注视 着,zhu4 shi4   zhe,115
2488,凝视 着,ning2 shi4   zhe,24
2879,地 注视,di4   zhu4 shi4,21
2893,地 注视 着,di4   zhu4 shi4   zhe,21
3002,注视 着 他,zhu4 shi4   zhe   ta1,21
3085,的 视线,de   shi4 xian4,20
3787,扫视 着,sao3 shi4   zhe,17
6247,哈利 注视,ha1 li4   zhu4 shi4,12
6755,对视 了,dui4 shi4   le,11
7914,注视 着 哈利,zhu4 shi4   zhe   ha1 li4,10
8680,对视 了 一下,dui4 shi4   le   yi1 xia4,9
9030,哈利 注视 着,ha1 li4   zhu4 shi4   zhe,9
9461,瞪视 着,deng4 shi4   zhe,8
10420,他 的 视线,ta1   de   shi4 xian4,8
12594,注视 着 他们,zhu4 shi4   zhe   ta1 men,7
12896,在 注视,zai4   zhu4 shi4,7
12897,在 注视 着,zai4   zhu4 shi4   zhe,7
15213,他 注视,ta1   zhu4 shi4,6
15216,他 注视 着,ta1   zhu4 shi4   zhe,6
16636,窥视 着,kui1 shi4   zhe,5
17301,审视 着,shen3 shi4   zhe,5
17332,密切 监视,mi4 qie4   jian1 shi4,5
17426,对视 着,dui4 shi4   zhe,5
17427,俯视 着,fu3 shi4   zhe,5
18922,扫视 了,sao3 shi4   le,5
19434,他 扫视,ta1   sao3 shi4,5
19935,正 注视,zheng4   zhu4 shi4,5
19936,正 注视 着,zheng4   zhu4 shi4   zhe,5
20128,注视 下,zhu4 shi4   xia4,5
20134,注视 着 自己,zhu4 shi4   zhe   zi4 ji3,5
20137,注视 着 那,zhu4 shi4   zhe   na4,5
20727,的 电视,de   dian4 shi4,5
20908,地 凝视 着,di4   ning2 shi4   zhe,5
20909,地 凝视,di4   ning2 shi4,5
