Order Number,Item,Pinyin,Frequency
260,我 认为,wo3   ren4 wei2,121
884,认为 他,ren4 wei2   ta1,53
1013,你 认为,ni3   ren4 wei2,49
1740,他 认为,ta1   ren4 wei2,32
2097,认为 你,ren4 wei2   ni3,28
2720,认为 这,ren4 wei2   zhe4,23
2790,认为 是,ren4 wei2   shi4,22
3476,认出 了,ren4 chu1   le,19
3874,认为 我,ren4 wei2   wo3,17
4504,不 认识,bu4   ren4 shi2,15
4895,认为 他们,ren4 wei2   ta1 men,14
5382,认真 地,ren4 zhen1   di4,13
5949,都 认为,dou1   ren4 wei2,12
6569,我 认为 你,wo3   ren4 wei2   ni3,11
7318,认为 他 是,ren4 wei2   ta1   shi4,10
7319,认为 我们,ren4 wei2   wo3 men,10
7905,认为 不,ren4 wei2   bu4,10
8018,他们 认为,ta1 men   ren4 wei2,10
8133,会 认为,hui4   ren4 wei2,10
8184,似乎 认为,si4 hu1   ren4 wei2,9
8529,认为 她,ren4 wei2   ta1,9
8533,认识 的,ren4 shi2   de,9
9066,哈利 认为,ha1 li4   ren4 wei2,9
9860,认为 哈利,ren4 wei2   ha1 li4,8
9995,我 认为 不,wo3   ren4 wei2   bu4,8
10018,我们 认为,wo3 men   ren4 wei2,8
10259,不 认为,bu4   ren4 wei2,8
11218,你 认为 他,ni3   ren4 wei2   ta1,7
11431,就 认出,jiu4   ren4 chu1,7
11451,这样 认为,zhe4 yang4   ren4 wei2,7
11696,认为 这 是,ren4 wei2   zhe4   shi4,7
11703,认为 自己,ren4 wei2   zi4 ji3,7
11880,我 认为 他,wo3   ren4 wei2   ta1,7
12573,他 认识,ta1   ren4 shi2,7
12852,人 认为,ren2   ren4 wei2,7
13559,你 认识,ni3   ren4 shi2,6
13620,认 出来,ren4   chu1 lai2,6
13621,认为 不 是,ren4 wei2   bu4   shi4,6
13624,认为 有,ren4 wei2   you3,6
13625,认为 邓布 利多,ren4 wei2   deng4 bu4   li4 duo1,6
13626,认为 邓布,ren4 wei2   deng4 bu4,6
13628,认出 那,ren4 chu1   na4,6
13629,认真 地 说,ren4 zhen1   di4   shuo1,6
14606,我 认为 这,wo3   ren4 wei2   zhe4,6
15532,哈利 认出,ha1 li4   ren4 chu1,6
16424,但 我 认为,dan4   wo3   ren4 wei2,5
16976,她 认为,ta1   ren4 wei2,5
17037,好像 认为,hao3 xiang4   ren4 wei2,5
17227,认为 你们,ren4 wei2   ni3 men,5
17228,认为 应该,ren4 wei2   ying1 gai1,5
17229,认为 克劳奇,ren4 wei2   ke4 lao2 qi2,5
17231,认为 最,ren4 wei2   zui4,5
17234,认出 那 是,ren4 chu1   na4   shi4,5
17235,认出 了 那,ren4 chu1   le   na4,5
17236,认识 到,ren4 shi2   dao4,5
17237,认识 他,ren4 shi2   ta1,5
17693,就 认出 了,jiu4   ren4 chu1   le,5
17901,一致 认为,yi2 zhi4   ren4 wei2,5
18523,仍然 认为,reng2 ran2   ren4 wei2,5
18704,我 承认,wo3   cheng2 ren4,5
18777,我 认为 不 是,wo3   ren4 wei2   bu4   shi4,5
18779,我 认为 是,wo3   ren4 wei2   shi4,5
18780,我 认识,wo3   ren4 shi2,5
18935,承认 这,cheng2 ren4   zhe4,5
20091,他 认出,ta1   ren4 chu1,5
20094,他 认为 他,ta1   ren4 wei2   ta1,5
20624,也 认为,ye3   ren4 wei2,5
