Order Number,Item,Pinyin,Frequency
683,不 许,bu4   xu3,62
1000,了 许多,le   xu3 duo1,49
1175,有 许多,you3   xu3 duo1,44
1318,许多 人,xu3 duo1   ren2,40
1607,也许 是,ye3 xu3   shi4,34
2195,着 许多,zhe   xu3 duo1,27
2333,也许 他,ye3 xu3   ta1,25
3485,的 许多,de   xu3 duo1,19
4512,许多 人 都,xu3 duo1   ren2   dou1,15
7381,还 有 许多,hai2   you3   xu3 duo1,10
7755,允许 我,yun3 xu3   wo3,10
8004,不 允许,bu4   yun3 xu3,10
8545,许 你,xu3   ni3,9
8704,他 也许,ta1   ye3 xu3,9
9319,不 许 你,bu4   xu3   ni3,9
9898,许多 年,xu3 duo1   nian2,8
10291,是 许多,shi4   xu3 duo1,8
10772,也许 就,ye3 xu3   jiu4,8
10773,也许 她,ye3 xu3   ta1,8
11269,许多 事情,xu3 duo1   shi4 qing2,7
11296,请 允许,qing3   yun3 xu3,7
11410,这 也许 是,zhe4   ye3 xu3   shi4,7
11812,我 也许,wo3   ye3 xu3,7
11816,请 允许 我,qing3   yun3 xu3   wo3,7
12121,过 许多,guo4   xu3 duo1,7
12214,这 也许,zhe4   ye3 xu3,7
12840,也许 不,ye3 xu3   bu4,7
12862,也许 是 因为,ye3 xu3   shi4   yin1 wei4,7
13314,你 也许,ni3   ye3 xu3,6
13648,许多 巫师,xu3 duo1   wu1 shi1,6
13649,许多 次,xu3 duo1   ci4,6
13892,允许 你,yun3 xu3   ni3,6
14423,许多 东西,xu3 duo1   dong1 xi1,6
15925,也许 你,ye3 xu3   ni3,6
15932,也许 只,ye3 xu3   zhi3,6
16036,在 许多,zai4   xu3 duo1,6
17270,许 动,xu3   dong4,5
17271,许可 表,xu3 ke3   biao3,5
17273,许多 同学,xu3 duo1   tong2 xue2,5
17336,请 允许 我 介绍,qing3   yun3 xu3   wo3   jie4 shao4,5
17655,允许 我 介绍,yun3 xu3   wo3   jie4 shao4,5
17802,不 许 动,bu4   xu3   dong4,5
20621,也许 会,ye3 xu3   hui4,5
20622,也许 他们,ye3 xu3   ta1 men,5
20650,也许 还,ye3 xu3   hai2,5
20651,也许 只 是,ye3 xu3   zhi3   shi4,5
