Order Number,Item,Pinyin,Frequency
1060,的 咒语,de   zhou4 yu3,47
2010,个 咒语,ge4   zhou4 yu3,29
2674,窃窃 私语,qie4 qie4   si1 yu3,23
2843,的 语气,de   yu3 qi4,22
6579,这 个 咒语,zhe4   ge4   zhou4 yu3,11
7235,咒语 的,zhou4 yu3   de,10
7515,一 个 咒语,yi1   ge4   zhou4 yu3,10
8304,标准 咒语,biao1 zhun3   zhou4 yu3,9
10348,咒语 书,zhou4 yu3   shu1,8
11072,简单 的 咒语,jian3 dan1   de   zhou4 yu3,7
13267,种 咒语,zhong3   zhou4 yu3,6
13531,种 语言,zhong3   yu3 yan2,6
13662,语气 里,yu3 qi4   li3,6
16102,的 语调,de   yu3 diao4,6
17294,语气 沉重,yu3 qi4   chen2 zhong4,5
17295,语气 显得,yu3 qi4   xian3 de,5
17297,语气 说,yu3 qi4   shuo1,5
17298,语气 沉重 地 说,yu3 qi4   chen2 zhong4   di4   shuo1,5
18524,语气 沉重 地,yu3 qi4   chen2 zhong4   di4,5
19000,句 咒语,ju4   zhou4 yu3,5
20860,的 语气 说,de   yu3 qi4   shuo1,5
20863,的 语言,de   yu3 yan2,5
