Order Number,Item,Pinyin,Frequency
27,和 赫敏,he2   he4 min3,448
61,罗恩 和 赫敏,luo2 en1   he2   he4 min3,303
79,赫敏 说,he4 min3   shuo1,252
337,赫敏 的,he4 min3   de,101
479,哈利 和 赫敏,ha1 li4   he2   he4 min3,81
520,赫奇 帕奇,he4 qi2   pa4 qi2,76
852,赫敏 和,he4 min3   he2,54
1090,着 赫敏,zhe   he4 min3,46
1102,赫敏 在,he4 min3   zai4,46
1780,赫敏 都,he4 min3   dou1,31
1852,和 赫敏 都,he2   he4 min3   dou1,30
1951,赫敏 不,he4 min3   bu4,29
1999,赫奇 帕奇 的,he4 qi2   pa4 qi2   de,29
2013,赫敏 小声,he4 min3   xiao3 sheng1,28
2102,赫敏 也,he4 min3   ye3,28
2426,了 赫敏,le   he4 min3,25
2477,和 赫敏 的,he2   he4 min3   de,24
2530,是 赫敏,shi4   he4 min3,24
2566,罗恩 和 赫敏 都,luo2 en1   he2   he4 min3   dou1,23
2628,赫敏 把,he4 min3   ba3,23
2648,赫敏 用,he4 min3   yong4,23
2915,对 赫敏,dui4   he4 min3,21
3352,赫敏 从,he4 min3   cong2,19
3379,他 和 赫敏,ta1   he2   he4 min3,19
3554,赫敏 小声 说,he4 min3   xiao3 sheng1   shuo1,18
3563,罗恩 和 赫敏 的,luo2 en1   he2   he4 min3   de,18
3577,和 赫敏 说,he2   he4 min3   shuo1,18
3616,赫敏 一起,he4 min3   yi4 qi3,18
4063,和 赫敏 在,he2   he4 min3   zai4,16
4441,赫敏 似乎,he4 min3   si4 hu1,15
4462,赫敏 突然,he4 min3   tu1 ran2,15
4758,看 着 赫敏,kan4   zhe   he4 min3,14
4947,赫敏 又,he4 min3   you4,14
5206,和 赫敏 一起,he2   he4 min3   yi4 qi3,13
5232,但 赫敏,dan4   he4 min3,13
5314,赫敏 没有,he4 min3   mei2 you3,13
5453,对 赫敏 说,dui4   he4 min3   shuo1,13
5897,赫敏 说 着,he4 min3   shuo1   zhe,12
5913,罗恩 和 赫敏 在,luo2 en1   he2   he4 min3   zai4,12
6035,赫敏 不 耐烦,he4 min3   bu4   nai4 fan2,12
6036,赫敏 不 耐烦 地,he4 min3   bu4   nai4 fan2   di4,12
6183,和 赫奇,he2   he4 qi2,12
6184,和 赫奇 帕奇,he2   he4 qi2   pa4 qi2,12
6497,罗恩 和 赫敏 说,luo2 en1   he2   he4 min3   shuo1,11
6556,赫敏 和 罗恩,he4 min3   he2   luo2 en1,11
6727,赫敏 一,he4 min3   yi1,11
6733,赫敏 坐,he4 min3   zuo4,11
6734,赫敏 对,he4 min3   dui4,11
6735,赫敏 就,he4 min3   jiu4,11
6743,赫敏 正,he4 min3   zheng4,11
6789,跟 赫敏,gen1   he4 min3,11
6906,和 赫敏 也,he2   he4 min3   ye3,11
7156,的 赫敏,de   he4 min3,11
7206,着 罗恩 和 赫敏,zhe   luo2 en1   he2   he4 min3,10
7606,赫敏 很,he4 min3   hen3,10
7722,可是 赫敏,ke3 shi4   he4 min3,10
8082,在 赫敏,zai4   he4 min3,10
8232,望 着 赫敏,wang4   zhe   he4 min3,9
8622,赫奇 帕奇 学院,he4 qi2   pa4 qi2   xue2 yuan4,9
8635,对 罗恩 和 赫敏,dui4   luo2 en1   he2   he4 min3,9
8647,赫敏 显得,he4 min3   xian3 de,9
8669,赫敏 紧张,he4 min3   jin3 zhang1,9
8933,和 赫奇 帕奇 的,he2   he4 qi2   pa4 qi2   de,9
9464,罗恩 和 赫敏 也,luo2 en1   he2   he4 min3   ye3,8
9593,赫敏 不 耐烦 地 说,he4 min3   bu4   nai4 fan2   di4   shuo1,8
9596,赫敏 吃惊,he4 min3   chi1 jing1,8
9603,赫敏 气愤,he4 min3   qi4 fen4,8
9606,赫敏 立刻,he4 min3   li4 ke4,8
9607,赫敏 轻声,he4 min3   qing1 sheng1,8
9988,赫敏 吃惊 地,he4 min3   chi1 jing1   di4,8
9998,赫敏 已经,he4 min3   yi3 jing1,8
9999,赫敏 气愤 地,he4 min3   qi4 fen4   di4,8
10006,赫敏 紧张 地,he4 min3   jin3 zhang1   di4,8
10009,赫敏 气愤 地 说,he4 min3   qi4 fen4   di4   shuo1,8
10010,赫敏 脸上,he4 min3   lian3 shang4,8
10011,赫敏 还,he4 min3   hai2,8
10945,看见 赫敏,kan4 jian4   he4 min3,8
11306,对 哈利 和 赫敏 说,dui4   ha1 li4   he2   he4 min3   shuo1,7
11314,赫敏 则,he4 min3   ze2,7
11316,赫敏 听,he4 min3   ting1,7
11317,赫敏 和 金妮,he4 min3   he2   jin1 ni1,7
11319,赫敏 正 在,he4 min3   zheng4   zai4,7
11844,对 哈利 和 赫敏,dui4   ha1 li4   he2   he4 min3,7
11849,从 赫敏,cong2   he4 min3,7
11898,赫敏 的 脸,he4 min3   de   lian3,7
11911,赫敏 问,he4 min3   wen4,7
12074,只有 赫敏,zhi3 you3   he4 min3,7
12310,这时 赫敏,zhe4 shi2   he4 min3,7
12462,哈利 和 赫敏 说,ha1 li4   he2   he4 min3   shuo1,7
13707,赫奇 帕奇 的 学生,he4 qi2   pa4 qi2   de   xue2 sheng1,6
13708,赫敏 一样,he4 min3   yi1 yang4,6
13709,赫敏 一边,he4 min3   yi1 bian1,6
13711,赫敏 低声,he4 min3   di1 sheng1,6
13713,赫敏 呢,he4 min3   ne,6
13716,对 罗恩 和 赫敏 说,dui4   luo2 en1   he2   he4 min3   shuo1,6
13717,赫敏 尖刻,he4 min3   jian1 ke4,6
13718,赫敏 尖声,he4 min3   jian1 sheng1,6
13720,赫敏 激动,he4 min3   ji1 dong4,6
13724,赫敏 说道,he4 min3   shuo1 dao4,6
13880,像 赫敏,xiang4   he4 min3,6
13934,克劳 和 赫奇,ke4 lao2   he2   he4 qi2,6
13938,克劳 和 赫奇 帕奇,ke4 lao2   he2   he4 qi2   pa4 qi2,6
14187,问 赫敏,wen4   he4 min3,6
14588,赫敏 坐 在,he4 min3   zuo4   zai4,6
14593,赫敏 尖刻 地,he4 min3   jian1 ke4   di4,6
14620,赫敏 激动 地,he4 min3   ji1 dong4   di4,6
14630,赫敏 离开,he4 min3   li2 kai1,6
14635,赫敏 赶紧,he4 min3   gan3 jin3,6
14636,赫敏 身边,he4 min3   shen1 bian1,6
14842,拉文 克劳 和 赫奇 帕奇,la1 wen2   ke4 lao2   he2   he4 qi2   pa4 qi2,6
14843,拉文 克劳 和 赫奇,la1 wen2   ke4 lao2   he2   he4 qi2,6
15215,个 赫奇,ge4   he4 qi2,6
15217,个 赫奇 帕奇,ge4   he4 qi2   pa4 qi2,6
16815,罗恩 和 赫敏 一起,luo2 en1   he2   he4 min3   yi4 qi3,5
17010,好 朋友 赫敏•格兰杰,hao3   peng2 you3   he4 min3 • ge2 lan2 jie2,5
17256,让 赫敏,rang4   he4 min3,5
17320,了 赫敏 的,le   he4 min3   de,5
17370,赫奇 帕奇队,he4 qi2   pa4 qi2 dui4,5
17372,赫敏 严厉 地 说,he4 min3   yan2 li4   di4   shuo1,5
17373,赫敏 严厉 地,he4 min3   yan2 li4   di4,5
17374,赫敏 严厉,he4 min3   yan2 li4,5
17378,赫敏 却,he4 min3   que4,5
17379,赫敏 喊道,he4 min3   han3 dao4,5
17380,赫敏 和 纳威,he4 min3   he2   na4 wei1,5
17381,赫敏 低声 说,he4 min3   di1 sheng1   shuo1,5
17382,赫敏 大声,he4 min3   da4 sheng1,5
17384,赫敏 小心翼翼 地,he4 min3   xiao3 xin1 yi4 yi4   di4,5
17385,赫敏 小心翼翼,he4 min3   xiao3 xin1 yi4 yi4,5
17387,赫敏 屏住,he4 min3   bing3 zhu4,5
17388,赫敏 尖刻 地 说,he4 min3   jian1 ke4   di4   shuo1,5
17389,赫敏 屏住 呼吸,he4 min3   bing3 zhu4   hu1 xi1,5
17390,赫敏 干脆,he4 min3   gan1 cui4,5
17395,赫敏 悄声,he4 min3   qiao3 sheng1,5
17396,赫敏 急切 地,he4 min3   ji2 qie4   di4,5
17397,赫敏 是,he4 min3   shi4,5
17398,赫敏 有,he4 min3   you3,5
17399,赫敏 抓住,he4 min3   zhua1 zhu4,5
17400,赫敏 急切,he4 min3   ji2 qie4,5
17401,赫敏 气喘吁吁,he4 min3   qi4 chuan3 xu1 xu1,5
17403,赫敏 没,he4 min3   mei2,5
17406,赫敏 看,he4 min3   kan4,5
17407,赫敏 猛地,he4 min3   meng3 di4,5
17408,赫敏 知道,he4 min3   zhi1 dao4,5
17409,赫敏 离开 了,he4 min3   li2 kai1   le,5
17417,赫敏 跟,he4 min3   gen1,5
17418,赫敏 高兴,he4 min3   gao1 xing4,5
17419,赫敏尖 叫,he4 min3 jian1   jiao4,5
17420,赫敏用 一,he4 min3 yong4   yi1,5
17421,赫敏不安 地,he4 min3 bu4 an1   di4,5
17422,赫敏 迟疑,he4 min3   chi2 yi2,5
17495,跟 罗恩 和 赫敏,gen1   luo2 en1   he2   he4 min3,5
18784,赫敏 气喘吁吁 地,he4 min3   qi4 chuan3 xu1 xu1   di4,5
18821,赫敏用 一 种,he4 min3 yong4   yi1   zhong3,5
19228,他 对 赫敏,ta1   dui4   he4 min3,5
19232,他 对 罗恩 和 赫敏,ta1   dui4   luo2 en1   he2   he4 min3,5
19545,告诉 罗恩 和 赫敏,gao4 su4   luo2 en1   he2   he4 min3,5
19557,是 赫奇 帕奇,shi4   he4 qi2   pa4 qi2,5
19558,是 赫奇,shi4   he4 qi2,5
19560,是 赫敏 的,shi4   he4 min3   de,5
19680,和 赫敏 从,he2   he4 min3   cong2,5
19737,朋友 赫敏•格兰杰,peng2 you3   he4 min3 • ge2 lan2 jie2,5
19860,哈利 和 赫敏 都,ha1 li4   he2   he4 min3   dou1,5
20866,的 赫奇,de   he4 qi2,5
20867,的 赫奇 帕奇,de   he4 qi2   pa4 qi2,5
21012,看 着 罗恩 和 赫敏,kan4   zhe   luo2 en1   he2   he4 min3,5
21014,看 赫敏,kan4   he4 min3,5
21052,地 看 着 赫敏,di4   kan4   zhe   he4 min3,5
