Order Number,Item,Pinyin,Frequency
30,不 知道,bu4   zhi1 dao4,426
140,你 知道,ni3   zhi1 dao4,173
153,我 知道,wo3   zhi1 dao4,166
179,一 道,yi1   dao4,153
259,知道 他,zhi1 dao4   ta1,121
409,我 不 知道,wo3   bu4   zhi1 dao4,88
413,知道 你,zhi1 dao4   ni3,87
489,知道 的,zhi1 dao4   de,79
504,他 知道,ta1   zhi1 dao4,78
663,哈利 知道,ha1 li4   zhi1 dao4,64
679,知道 我,zhi1 dao4   wo3,63
755,知道 自己,zhi1 dao4   zi4 ji3,59
805,知道 了,zhi1 dao4   le,56
822,都 知道,dou1   zhi1 dao4,56
916,想 知道,xiang3   zhi1 dao4,52
945,就 知道,jiu4   zhi1 dao4,51
1071,知道 这,zhi1 dao4   zhe4,47
1158,会 知道,hui4   zhi1 dao4,44
1235,你们 知道,ni3 men   zhi1 dao4,42
1244,知道 吗,zhi1 dao4   ma,42
1431,也 不 知道,ye3   bu4   zhi1 dao4,38
1445,知道 是,zhi1 dao4   shi4,37
1485,继续 说道,ji4 xu4   shuo1 dao4,37
1554,怎么 知道,zen3 me   zhi1 dao4,35
1574,那 道,na4   dao4,35
1681,知道 他们,zhi1 dao4   ta1 men,33
1804,赶紧 说道,gan3 jin3   shuo1 dao4,31
1815,哈利 喊道,ha1 li4   han3 dao4,31
1850,他 不 知道,ta1   bu4   zhi1 dao4,30
1935,声音 说道,sheng1 yin1   shuo1 dao4,29
1948,不 知道 自己,bu4   zhi1 dao4   zi4 ji3,29
2122,哈利 不 知道,ha1 li4   bu4   zhi1 dao4,27
2396,要 知道,yao4   zhi1 dao4,25
2436,知道 我们,zhi1 dao4   wo3 men,24
2455,我 知道 你,wo3   zhi1 dao4   ni3,24
2498,他们 知道,ta1 men   zhi1 dao4,24
2517,哈利 问道,ha1 li4   wen4 dao4,24
2745,已经 知道,yi3 jing1   zhi1 dao4,22
2788,不 知道 他,bu4   zhi1 dao4   ta1,22
2829,你 不 知道,ni3   bu4   zhi1 dao4,22
2836,不 知道 你,bu4   zhi1 dao4   ni3,22
2905,突然 说道,tu1 ran2   shuo1 dao4,21
2954,了 一 道,le   yi1   dao4,21
3000,知道 那,zhi1 dao4   na4,21
