Order Number,Item,Pinyin,Frequency
235,长长 的,chang2 chang2   de,129
612,长 时间,zhang3   shi2 jian1,68
739,的 长袍,de   chang2 pao2,59
842,长 着,zhang3   zhe,55
873,长 得,zhang3   de2,53
1376,很 长,hen3   zhang3,39
1987,的 长,de   zhang3,29
2009,长袍 的,chang2 pao2   de,29
2019,很 长 时间,hen3   zhang3   shi2 jian1,28
2664,魔法部 部长,mo2 fa3 bu4   bu4 zhang3,23
2810,好 长,hao3   zhang3,22
2859,长 的,zhang3   de,22
2911,礼服 长袍,li3 fu2   chang2 pao2,21
3569,长 着 一,zhang3   zhe   yi1,18
3843,好 长 时间,hao3   zhang3   shi2 jian1,17
4115,级长 的,ji2 zhang3   de,16
4119,了 很 长,le   hen3   zhang3,16
4159,的 校长,de   xiao4 zhang3,16
4408,着 长长,zhe   chang2 chang2,15
4428,多 长,duo1   zhang3,15
4454,了 很 长 时间,le   hen3   zhang3   shi2 jian1,15
4763,个 长,ge4   zhang3,14
5673,一 个 长,yi1   ge4   zhang3,13
6077,长 了,zhang3   le,12
6237,英尺 长,ying1 chi3   zhang3,12
6314,长袍 上,chang2 pao2   shang4,12
6414,的 院长,de   yuan4 zhang3,12
7095,的 级长,de   ji2 zhang3,11
7128,的 礼服 长袍,de   li3 fu2   chang2 pao2,11
7165,的 队长,de   dui4 zhang3,11
7229,多 长 时间,duo1   zhang3   shi2 jian1,10
7253,着 长长 的,zhe   chang2 chang2   de,10
7259,细长 的,xi4 chang2   de,10
7473,学院 的 院长,xue2 yuan4   de   yuan4 zhang3,10
7547,意味 深长,yi4 wei4   shen1 chang2,10
7613,修长 的,xiu1 chang2   de,10
7629,又 长,you4   zhang3,10
7855,根 长长,gen1   chang2 chang2,10
7856,根 长长 的,gen1   chang2 chang2   de,10
8211,着 长,zhe   zhang3,9
8465,英寸 长,ying1 cun4   zhang3,9
8778,一 根 长长,yi1   gen1   chang2 chang2,9
8782,一 根 长长 的,yi1   gen1   chang2 chang2   de,9
8944,个 长 着,ge4   zhang3   zhe,9
9158,长凳 上,zhang3 deng4   shang4,9
9168,当 级长,dang1   ji2 zhang3,9
9301,一 个 长 着,yi1   ge4   zhang3   zhe,9
9619,太 长,tai4   zhang3,8
9702,巫师 长袍,wu1 shi1   chang2 pao2,8
9778,长 鼻子,zhang3   bi2 zi,8
9804,霍格沃茨 魔法 学校 校长,huo4 ge2 wo4 ci2   mo2 fa3   xue2 xiao4   xiao4 zhang3,8
9819,学校 校长,xue2 xiao4   xiao4 zhang3,8
9840,魔法 部长,mo2 fa3   bu4 zhang3,8
10422,他 的 长袍,ta1   de   chang2 pao2,8
10904,魔法 学校 校长,mo2 fa3   xue2 xiao4   xiao4 zhang3,8
11089,级长 的 徽章,ji2 zhang3   de   hui1 zhang1,7
11171,她 长,ta1   zhang3,7
11245,一 件 长长,yi1   jian4   chang2 chang2,7
11576,长出 了,zhang3 chu1   le,7
11580,长袍 里,chang2 pao2   li3,7
11800,一 件 长长 的,yi1   jian4   chang2 chang2   de,7
12289,是 级长,shi4   ji2 zhang3,7
12301,这么 长,zhe4 me   zhang3,7
12329,个 级长,ge4   ji2 zhang3,7
12633,漫长 的,man4 chang2   de,7
12729,长 得 多,zhang3   de2   duo1,7
12914,件 长长 的,jian4   chang2 chang2   de,7
12916,件 长长,jian4   chang2 chang2,7
13004,的 长发,de   chang2 fa4,7
13112,着 一 件 长长,zhe   yi1   jian4   chang2 chang2,6
13113,着 一 件 长长 的,zhe   yi1   jian4   chang2 chang2   de,6
13330,了 好 长,le   hao3   zhang3,6
13529,花 了 很 长,hua1   le   hen3   zhang3,6
13940,这么 长 时间,zhe4 me   zhang3   shi2 jian1,6
14119,花 了 很 长 时间,hua1   le   hen3   zhang3   shi2 jian1,6
14168,长 又,zhang3   you4,6
14170,长 时间 才,zhang3   shi2 jian1   cai2,6
14471,意味 深长 地,yi4 wei4   shen1 chang2   di4,6
14694,又 长 又,you4   zhang3   you4,6
15478,哈利 的 长袍,ha1 li4   de   chang2 pao2,6
15561,深长 地,shen1 chang2   di4,6
15820,的 司长,de   si1 zhang3,6
16414,着 长 腔,zhe   zhang3   qiang1,5
16591,穿 着 一 件 长长 的,chuan1   zhe   yi1   jian4   chang2 chang2   de,5
16592,穿 着 一 件 长长,chuan1   zhe   yi1   jian4   chang2 chang2,5
16593,穿 着 长长 的,chuan1   zhe   chang2 chang2   de,5
16595,穿 着 长长,chuan1   zhe   chang2 chang2,5
16746,级长 呢,ji2 zhang3   ne,5
16748,级长 徽章,ji2 zhang3   hui1 zhang1,5
16991,她 长 得,ta1   zhang3   de2,5
17160,学校 副校长,xue2 xiao4   fu4 xiao4 zhang3,5
17415,一样 长,yi1 yang4   zhang3,5
18105,张 长长 的,zhang1   chang2 chang2   de,5
18106,张 长长,zhang1   chang2 chang2,5
18115,长 得 像,zhang3   de2   xiang4,5
18117,长 着 一 张,zhang3   zhe   yi1   zhang1,5
18118,长 睡衣,zhang3   shui4 yi1,5
18121,长 腔,zhang3   qiang1,5
18335,魔法 学校 副校长,mo2 fa3   xue2 xiao4   fu4 xiao4 zhang3,5
19089,拖 着 长 腔,tuo1   zhe   zhang3   qiang1,5
19090,拖 着 长,tuo1   zhe   zhang3,5
19723,个 长长 的,ge4   chang2 chang2   de,5
19731,个 长长,ge4   chang2 chang2,5
19807,条 长长 的,tiao2   chang2 chang2   de,5
19808,条 长长,tiao2   chang2 chang2,5
19871,校长 的,xiao4 zhang3   de,5
20271,他 长,ta1   zhang3,5
20398,长 胡子,zhang3   hu2 zi,5
20788,的 级长 徽章,de   ji2 zhang3   hui1 zhang1,5
21064,一 个 长长 的,yi1   ge4   chang2 chang2   de,5
21065,一 个 长长,yi1   ge4   chang2 chang2,5
