Order Number,Item,Pinyin,Frequency
1237,平静 地,ping2 jing4   di4,42
1608,平静 地 说,ping2 jing4   di4   shuo1,34
2418,安静 下来,an1 jing4   xia4 lai2,25
3682,邓布利多 平静,deng4 bu4 li4 duo1   ping2 jing4,18
3683,邓布利多 平静 地,deng4 bu4 li4 duo1   ping2 jing4   di4,18
4284,邓布利多 平静 地 说,deng4 bu4 li4 duo1   ping2 jing4   di4   shuo1,16
5473,的 寂静,de   ji4 jing4,13
6329,的 动静,de   dong4 jing4,12
7028,片 寂静,pian4   ji4 jing4,11
7248,了 动静,le   dong4 jing4,10
8048,静静 地,jing4 jing4   di4,10
8093,一 片 寂静,yi1   pian4   ji4 jing4,10
9578,寂静 中,ji4 jing4   zhong1,8
11056,大家 安静,da4 jia1   an1 jing4,7
11501,平静 下来,ping2 jing4   xia4 lai2,7
12161,他 平静,ta1   ping2 jing4,7
12364,有 了 动静,you3   le   dong4 jing4,7
12537,平静 的,ping2 jing4   de,7
13653,安静 了,an1 jing4   le,6
13678,寂静 的,ji4 jing4   de,6
14063,平静 多,ping2 jing4   duo1,6
14065,平静 多 了,ping2 jing4   duo1   le,6
14146,冷静 地,leng3 jing4   di4,6
14256,静悄悄 的,jing4 qiao1 qiao1   de,6
14997,他 平静 地,ta1   ping2 jing4   di4,6
15896,在 寂静,zai4   ji4 jing4,6
17204,宁静 的,ning2 jing4   de,5
17284,安安静静 地,an1 an1 jing4 jing4   di4,5
17369,保持 平静,bao3 chi2   ping2 jing4,5
17557,一片 寂静,yi1 pian4   ji4 jing4,5
17911,平静 了,ping2 jing4   le,5
17998,里 一片 寂静,li3   yi1 pian4   ji4 jing4,5
18092,冷静 地 说,leng3 jing4   di4   shuo1,5
