Order Number,Item,Pinyin,Frequency
1323,头顶 上,tou2 ding3   shang4,40
1338,一 顶,yi1   ding3,39
2554,顶 上,ding3   shang4,24
3043,的 头顶,de   tou2 ding3,21
3388,他们 头顶,ta1 men   tou2 ding3,19
4203,顶层 包厢,ding3 ceng2   bao1 xiang1,16
5542,在 他们 头顶,zai4   ta1 men   tou2 ding3,13
5846,头 顶,tou2   ding3,12
5921,那 顶,na4   ding3,12
6130,他们 头顶 上,ta1 men   tou2 ding3   shang4,12
7223,着 一 顶,zhe   yi1   ding3,10
9195,在 他们 头顶 上,zai4   ta1 men   tou2 ding3   shang4,9
9211,的 头顶 上,de   tou2 ding3   shang4,9
9818,顶 帐篷,ding3   zhang4 peng2,8
10826,顶 帽子,ding3   mao4 zi,8
10893,了 一 顶,le   yi1   ding3,8
12410,他 的 头顶,ta1   de   tou2 ding3,7
12484,楼梯 顶上,lou2 ti1   ding3 shang4,7
12969,在 顶层,zai4   ding3 ceng2,7
12970,在 顶层 包厢,zai4   ding3 ceng2   bao1 xiang1,7
13835,头顶 上方,tou2 ding3   shang4 fang1,6
13836,过头 顶,guo4 tou2   ding3,6
14276,顶 着,ding3   zhe,6
14277,顶上 的,ding3 shang4   de,6
14662,戴 着 一 顶,dai4   zhe   yi1   ding3,6
15137,这 顶,zhe4   ding3,6
15491,举 过头 顶,ju3   guo4 tou2   ding3,6
15867,的 头 顶,de   tou2   ding3,6
16813,头 顶 上,tou2   ding3   shang4,5
17727,这 顶 帽子,zhe4   ding3   mao4 zi,5
20440,圆顶 高帽,yuan2 ding3   gao1 mao4,5
