Order Number,Item,Pinyin,Frequency
95,的 魔杖,de   mo2 zhang4,220
207,魔法 部,mo2 fa3   bu4,140
356,黑 魔法,hei1   mo2 fa3,98
465,伏地魔 的,fu2 di4 mo2   de,82
527,用 魔杖,yong4   mo2 zhang4,75
530,魔法 学校,mo2 fa3   xue2 xiao4,75
619,魔法 的,mo2 fa3   de,67
678,的 魔法,de   mo2 fa3,63
729,把 魔杖,ba3   mo2 zhang4,60
903,魔法 石,mo2 fa3   shi2,52
944,他 的 魔杖,ta1   de   mo2 zhang4,51
1019,魔法 防御,mo2 fa3   fang2 yu4,48
1059,根 魔杖,gen1   mo2 zhang4,47
1062,黑 魔法 防御,hei1   mo2 fa3   fang2 yu4,47
1159,魔法 防御 术,mo2 fa3   fang2 yu4   shu4,44
1165,黑 魔法 防御 术,hei1   mo2 fa3   fang2 yu4   shu4,44
1166,在 魔法,zai4   mo2 fa3,44
1178,了 魔法,le   mo2 fa3,43
1269,着 魔杖,zhe   mo2 zhang4,41
1294,举起 魔杖,ju3 qi3   mo2 zhang4,40
1375,魔法部 的,mo2 fa3 bu4   de,39
1438,只 魔眼,zhi3   mo2 yan3,38
1456,那 只 魔眼,na4   zhi3   mo2 yan3,37
1473,魔药 课,mo2 yao4   ke4,37
1559,魔法 防御 术 课,mo2 fa3   fang2 yu4   shu4   ke4,35
1598,黑 魔法 防御 术 课,hei1   mo2 fa3   fang2 yu4   shu4   ke4,35
1599,魔杖 的,mo2 zhang4   de,35
1628,使用 魔法,shi3 yong4   mo2 fa3,34
1693,了 魔杖,le   mo2 zhang4,33
1743,自己 的 魔杖,zi4 ji3   de   mo2 zhang4,32
1916,抽出 魔杖,chou1 chu1   mo2 zhang4,30
1944,用 魔法,yong4   mo2 fa3,29
2007,施 了 魔法,shi1   le   mo2 fa3,29
2029,霍格沃茨 魔法,huo4 ge2 wo4 ci2   mo2 fa3,28
2035,黑魔 标记,hei1 mo2   biao1 ji4,28
2071,霍格沃茨 魔法 学校,huo4 ge2 wo4 ci2   mo2 fa3   xue2 xiao4,28
2149,哈利 的 魔杖,ha1 li4   de   mo2 zhang4,27
2640,魔法 世界,mo2 fa3   shi4 jie4,23
2664,魔法部 部长,mo2 fa3 bu4   bu4 zhang3,23
2866,魔法 学校 的,mo2 fa3   xue2 xiao4   de,22
3097,是 魔法,shi4   mo2 fa3,20
3141,的 黑 魔法,de   hei1   mo2 fa3,20
3241,是 伏地魔,shi4   fu2 di4 mo2,20
3260,的 魔药,de   mo2 yao4,20
3266,黑 魔王,hei1   mo2 wang2,19
3338,了 魔法 的,le   mo2 fa3   de,19
3389,一 根 魔杖,yi1   gen1   mo2 zhang4,19
3467,在 魔法 学校,zai4   mo2 fa3   xue2 xiao4,19
3468,在 魔法 学校 的,zai4   mo2 fa3   xue2 xiao4   de,19
3548,哈利 在 魔法,ha1 li4   zai4   mo2 fa3,18
3650,哈利 在 魔法 学校,ha1 li4   zai4   mo2 fa3   xue2 xiao4,18
3744,哈利 在 魔法 学校 的,ha1 li4   zai4   mo2 fa3   xue2 xiao4   de,18
3998,在 伏地魔,zai4   fu2 di4 mo2,17
4036,魔杖 里,mo2 zhang4   li3,17
4133,了 伏地魔,le   fu2 di4 mo2,16
4244,施 了 魔法 的,shi1   le   mo2 fa3   de,16
4279,魔杖 指 着,mo2 zhang4   zhi3   zhe,16
4292,魔杖 指,mo2 zhang4   zhi3,16
4483,魔咒 课,mo2 zhou4   ke4,15
4536,他 把 魔杖,ta1   ba3   mo2 zhang4,15
4723,魔杖 指着,mo2 zhang4   zhi3 zhe,15
4726,和 伏地魔,he2   fu2 di4 mo2,15
4733,黑 魔头,hei1   mo2 tou2,15
4790,从 魔杖,cong2   mo2 zhang4,14
5094,举起 了 魔杖,ju3 qi3   le   mo2 zhang4,14
5448,两 根 魔杖,liang3   gen1   mo2 zhang4,13
5474,你 的 魔杖,ni3   de   mo2 zhang4,13
5609,在 魔法 部,zai4   mo2 fa3   bu4,13
5701,用 魔杖 指着,yong4   mo2 zhang4   zhi3 zhe,13
5885,我 的 魔杖,wo3   de   mo2 zhang4,12
6260,举 着 魔杖,ju3   zhe   mo2 zhang4,12
6321,国际 魔法,guo2 ji4   mo2 fa3,12
6416,魔杖 头,mo2 zhang4   tou2,12
6447,黑 魔法 防御 术 课 的,hei1   mo2 fa3   fang2 yu4   shu4   ke4   de,11
7139,伏地魔 回来,fu2 di4 mo2   hui2 lai2,11
7151,的 黑 魔法 防御,de   hei1   mo2 fa3   fang2 yu4,11
7153,的 黑 魔法 防御 术,de   hei1   mo2 fa3   fang2 yu4   shu4,11
7170,的 魔药 课,de   mo2 yao4   ke4,11
7177,魔法 防御 术 课 的,mo2 fa3   fang2 yu4   shu4   ke4   de,11
7199,着 伏地魔,zhe   fu2 di4 mo2,10
7477,魔法 石 的,mo2 fa3   shi2   de,10
7486,黑 魔法 防御术,hei1   mo2 fa3   fang2 yu4 shu4,10
7488,滥用 魔法,lan4 yong4   mo2 fa3,10
7699,拿 着 魔杖,na2   zhe   mo2 zhang4,10
7858,哈利 在 魔法 学校 的 好,ha1 li4   zai4   mo2 fa3   xue2 xiao4   de   hao3,10
8028,他 那 只 魔眼,ta1   na4   zhi3   mo2 yan3,10
8038,在 魔法 学校 的 好,zai4   mo2 fa3   xue2 xiao4   de   hao3,10
8069,魔杖 把,mo2 zhang4   ba3,10
8090,伏地魔 在,fu2 di4 mo2   zai4,10
8100,在 魔法 学校 的 好 朋友,zai4   mo2 fa3   xue2 xiao4   de   hao3   peng2 you3,10
8105,魔法 部 的,mo2 fa3   bu4   de,10
8109,魔法 防御术,mo2 fa3   fang2 yu4 shu4,10
8117,魔法 学校 的 好 朋友,mo2 fa3   xue2 xiao4   de   hao3   peng2 you3,10
8119,魔法 学校 的 好,mo2 fa3   xue2 xiao4   de   hao3,10
8123,魔法 部 工作,mo2 fa3   bu4   gong1 zuo4,10
8151,魔杖 在,mo2 zhang4   zai4,10
