Order Number,Item,Pinyin,Frequency
617,只 猫头鹰,zhi3   mao1 tou2 ying1,67
867,的 猫头鹰,de   mao1 tou2 ying1,54
905,鹰 头 马身 有,ying1   tou2   ma3 shen1   you3,52
906,鹰 头 马身,ying1   tou2   ma3 shen1,52
917,鹰 头,ying1   tou2,52
1188,鹰 头 马身 有 翼,ying1   tou2   ma3 shen1   you3   yi4,43
1426,一 只 猫头鹰,yi1   zhi3   mao1 tou2 ying1,38
1487,鹰 头 马身 有 翼 兽,ying1   tou2   ma3 shen1   you3   yi4   shou4,37
3252,猫头鹰 棚屋,mao1 tou2 ying1   peng2 wu1,20
4708,头 鹰,tou2   ying1,15
5451,猫头鹰 的,mao1 tou2 ying1   de,13
5890,猫头鹰 给,mao1 tou2 ying1   gei3,12
5912,头 鹰 头,tou2   ying1   tou2,12
5916,头 鹰 头 马身 有,tou2   ying1   tou2   ma3 shen1   you3,12
6099,头 鹰 头 马身,tou2   ying1   tou2   ma3 shen1,12
7374,头 鹰 头 马身 有 翼,tou2   ying1   tou2   ma3 shen1   you3   yi4,10
7542,那 头 鹰 头 马身,na4   tou2   ying1   tou2   ma3 shen1,10
7852,那 头 鹰,na4   tou2   ying1,10
7853,那 头 鹰 头,na4   tou2   ying1   tou2,10
7854,那 头 鹰 头 马身 有,na4   tou2   ying1   tou2   ma3 shen1   you3,10
8350,小 猫头鹰,xiao3   mao1 tou2 ying1,9
8521,鹰 头 马身 有 翼兽,ying1   tou2   ma3 shen1   you3   yi4 shou4,9
9589,谷仓 猫头鹰,gu3 cang1   mao1 tou2 ying1,8
10548,派 猫头鹰,pai4   mao1 tou2 ying1,8
10623,猫头鹰 在,mao1 tou2 ying1   zai4,8
10626,猫头鹰 送信,mao1 tou2 ying1   song4 xin4,8
11414,这 只 猫头鹰,zhe4   zhi3   mao1 tou2 ying1,7
12360,有 一 只 猫头鹰,you3   yi1   zhi3   mao1 tou2 ying1,7
12599,派 一 只 猫头鹰,pai4   yi1   zhi3   mao1 tou2 ying1,7
13026,的 鹰,de   ying1,7
14851,只 猫头鹰 给,zhi3   mao1 tou2 ying1   gei3,6
15048,一 只 猫头鹰 给,yi1   zhi3   mao1 tou2 ying1   gei3,6
15653,猫头鹰 去,mao1 tou2 ying1   qu4,6
15654,猫头鹰 传书,mao1 tou2 ying1   chuan2 shu1,6
15655,猫头鹰 从,mao1 tou2 ying1   cong2,6
16171,的 鹰 头 马身,de   ying1   tou2   ma3 shen1,6
16172,的 鹰 头,de   ying1   tou2,6
16173,的 鹰 头 马身 有 翼,de   ying1   tou2   ma3 shen1   you3   yi4,6
16174,的 鹰 头 马身 有,de   ying1   tou2   ma3 shen1   you3,6
17847,那 只 猫头鹰,na4   zhi3   mao1 tou2 ying1,5
18986,把 猫头鹰,ba3   mao1 tou2 ying1,5
19078,只 猫头鹰 从,zhi3   mao1 tou2 ying1   cong2,5
20319,猫头鹰 扑扇 着,mao1 tou2 ying1   pu1 shan1   zhe,5
20321,猫头鹰 送来,mao1 tou2 ying1   song4 lai2,5
20322,猫头鹰 扑扇,mao1 tou2 ying1   pu1 shan1,5
