Order Number,Item,Pinyin,Frequency,Definition,Usage,Part_of_Speech,Status
1,的,de,3678,"Possessive particle that shows ownership or describes a relationship between nouns, similar to 's or 'of' in English. Also used to mark adjectives modifying nouns.","Used in phrases like 我的书 (my book), 红的花 (red flowers), 中国的首都 (China's capital)",particle,success
2,一,yi1,1982,The number one; also used as an indefinite article similar to 'a/an' in English.,Common in counting and quantifying expressions like 一个人 (one person) or 一本书 (a book),number,success
3,了,le,1821,Aspect particle that indicates completion of an action or a change of state. Also used at the end of sentences to show that a new situation has occurred.,Placed after verbs (我吃了饭 - I ate) or at sentence end (下雨了 - It's raining now),particle,success
4,他,ta1,1636,"Third-person singular pronoun meaning 'he' or 'him', used to refer to a male person or sometimes gender-neutral.",Used in sentences like 他是老师 (he is a teacher),pronoun,success
5,地,di4,1162,"Earth, ground, or land; refers to the surface we stand on or a piece of territory.","Common in words like 土地 (land), 地方 (place), 地球 (Earth)",noun,success
6,不,bu4,1117,"Negative adverb meaning 'not' or 'no', used to negate verbs, adjectives, and certain other words.","Used in phrases like 不是 (is not), 不好 (not good), 不去 (not go). Note: changes to 'bú' (2nd tone) before 4th tone syllables.",adverb,success
7,在,zai4,1087,"Indicates location or ongoing action; means 'at', 'in', or 'on' when showing where something is, and forms the progressive tense (similar to '-ing') when placed before verbs.",Used in phrases like 我在家 (I'm at home) or 我在看书 (I am reading),preposition/verb,success
8,着,zhe,1016,"Aspect particle that indicates an ongoing state or continuous action, similar to '-ing' in English. Also shows that an action is in progress or a state is being maintained.","Attached directly after verbs, as in 坐着 (sitting), 穿着 (wearing), 开着 (open/turned on)",particle,success
9,是,shi4,1015,"The verb 'to be' used to link a subject with a noun or noun phrase, indicating identity or classification.",Used in sentences like 我是学生 (I am a student) or 这是书 (This is a book),verb,success
10,个,ge4,814,"The most common measure word (classifier) in Mandarin, used for counting general objects and people when no specific classifier applies.","Used in phrases like 一个人 (one person), 三个苹果 (three apples)",measure word,success
11,利,li4,800,"Benefit, profit, or advantage; also means sharp or favorable. Commonly used in business and economic contexts to refer to gains or interests.","Found in words like 利益 (benefit/interest), 胜利 (victory), and 利用 (to utilize)",noun/adjective,success
