Type,Pattern,Characters,Pinyin_Sequence,Num_Characters,Tones,Avg_Frequency,Difficulty,Tongue_Twister_Example,Notes
Tone_Series,de,得德的,de2-de2-de,3,"Tone2, Tone2, Neutral",1393,Easy,得德的，的德得,"3 tone variants of ""de"""
Tone_Series,le,肋乐了,le1-le4-le,3,"Tone1, Tone4, Neutral",612,Easy,肋乐了，了乐肋,"3 tone variants of ""le"""
Tone_Series,ta,他她它塔踏,ta1-ta1-ta1-ta3-ta4,5,"Tone1, Tone1, Tone1, Tone3, Tone4",402,Medium,他她它塔踏他她它,"5 tone variants of ""ta"""
Tone_Series,zhe,遮折者这着,zhe1-zhe2-zhe3-zhe4-zhe,5,"Tone1, Tone2, Tone3, Tone4, Neutral",319,Medium,遮折者这着遮折者,"5 tone variants of ""zhe"""
Tone_Series,men,门闷们,men2-men4-men,3,"Tone2, Tone4, Neutral",256,Easy,门闷们，们闷门,"3 tone variants of ""men"""
Tone_Series,zai,灾仔崽在再,zai1-zai3-zai3-zai4-zai4,5,"Tone1, Tone3, Tone3, Tone4, Tone4",237,Medium,灾仔崽在再灾仔崽,"5 tone variants of ""zai"""
Tone_Series,shuo,说烁硕,shuo1-shuo4-shuo4,3,"Tone1, Tone4, Tone4",233,Easy,说烁硕，硕烁说,"3 tone variants of ""shuo"""
Tone_Series,shang,伤商上,shang1-shang1-shang4,3,"Tone1, Tone1, Tone4",220,Easy,伤商上，上商伤,"3 tone variants of ""shang"""
Tone_Series,lai,来莱癞,lai2-lai2-lai4,3,"Tone2, Tone2, Tone4",208,Easy,来莱癞，癞莱来,"3 tone variants of ""lai"""
Tone_Series,bu,补捕不布步部怖,bu3-bu3-bu4-bu4-bu4-bu4-bu4,7,"Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4",191,Medium,补捕不布步部怖补捕不,"7 tone variants of ""bu"""
Tone_Series,wo,窝我沃卧握,wo1-wo3-wo4-wo4-wo4,5,"Tone1, Tone3, Tone4, Tone4, Tone4",170,Medium,窝我沃卧握窝我沃,"5 tone variants of ""wo"""
Tone_Series,ni,妮尼泥你,ni1-ni2-ni2-ni3,4,"Tone1, Tone2, Tone2, Tone3",167,Medium,妮妮泥，泥尼你,"4 tone variants of ""ni"""
Tone_Series,dao,叨刀到道倒,dao1-dao1-dao4-dao4-dao4,5,"Tone1, Tone1, Tone4, Tone4, Tone4",164,Medium,叨刀到道倒叨刀到,"5 tone variants of ""dao"""
Tone_Series,ren,人忍认任,ren2-ren3-ren4-ren4,4,"Tone2, Tone3, Tone4, Tone4",145,Medium,人人认，认忍任,"4 tone variants of ""ren"""
Tone_Series,kan,刊堪看,kan1-kan1-kan4,3,"Tone1, Tone1, Tone4",140,Easy,刊堪看，看堪刊,"3 tone variants of ""kan"""
Tone_Series,na,拿哪那纳娜,na2-na3-na4-na4-na4,5,"Tone2, Tone3, Tone4, Tone4, Tone4",120,Medium,拿哪那纳娜拿哪那,"5 tone variants of ""na"""
Tone_Series,di,低滴迪嘀底抵地第弟递蒂帝,di1-di1-di2-di2-di3-di3-di4-di4-di4-di4-di4-di4,12,"Tone1, Tone1, Tone2, Tone2, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",118,Medium,低滴迪嘀底抵地第弟递蒂帝低滴迪,"12 tone variants of ""di"""
Tone_Series,yi,一衣医依姨疑移遗仪以已椅意翼议易异忆益抑溢谊,yi1-yi1-yi1-yi1-yi2-yi2-yi2-yi2-yi2-yi3-yi3-yi3-yi4-yi4-yi4-yi4-yi4-yi4-yi4-yi4-yi4-yi4,22,"Tone1, Tone1, Tone1, Tone1, Tone2, Tone2, Tone2, Tone2, Tone2, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",117,Medium,一衣医依姨疑移遗仪以已椅意翼议易异忆益抑溢谊一衣医,"22 tone variants of ""yi"""
Tone_Series,fa,发罚法,fa1-fa2-fa3,3,"Tone1, Tone2, Tone3",113,Easy,发罚法，法罚发,"3 tone variants of ""fa"""
Tone_Series,li,离璃篱里礼理李利力厉立丽历莉隶,li2-li2-li2-li3-li3-li3-li3-li4-li4-li4-li4-li4-li4-li4-li4,15,"Tone2, Tone2, Tone2, Tone3, Tone3, Tone3, Tone3, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4, Tone4",112,Medium,离璃篱里礼理李利力厉立丽历莉隶离璃篱,"15 tone variants of ""li"""
Tone_Series,ge,胳戈咯歌哥搁格隔阁个各,ge1-ge1-ge1-ge1-ge1-ge1-ge2-ge2-ge2-ge4-ge4,11,"Tone1, Tone1, Tone1, Tone1, Tone1, Tone1, Tone2, Tone2, Tone2, Tone4, Tone4",100,Medium,胳戈咯歌哥搁格隔阁个各胳戈咯,"11 tone variants of ""ge"""
